role,csv_member,target_rows,emitted_rows,cumulative_total_rows,cache_status,elapsed_seconds,completed,notes
id_benign_train,processed/iotsim-cooler-motor-1.csv,23217,23217,23217,disabled_stateful_id_train,7.7,true,
id_benign_train,processed/iotsim-cooler-motor-3.csv,22478,22478,45695,disabled_stateful_id_train,10.6,true,
id_benign_train,processed/iotsim-cooler-motor-4.csv,22478,22478,68173,disabled_stateful_id_train,13.0,true,
id_benign_train,processed/iotsim-cooler-motor-10.csv,22476,22476,90649,disabled_stateful_id_train,8.6,true,
id_benign_train,processed/iotsim-cooler-motor-14.csv,22475,22475,113124,disabled_stateful_id_train,8.9,true,
id_benign_train,processed/iotsim-cooler-motor-11.csv,22472,22472,135596,disabled_stateful_id_train,9.4,true,
id_benign_train,processed/iotsim-cooler-motor-13.csv,15404,15404,151000,disabled_stateful_id_train,5.8,true,
id_benign_calib,cache_hit_file_not_logged,1944,1944,152944,hit,0.3,true,
id_benign_calib,cache_hit_file_not_logged,1944,1944,154888,hit,0.4,true,
id_benign_calib,cache_hit_file_not_logged,1944,1944,156832,hit,0.4,true,
id_benign_calib,cache_hit_file_not_logged,22475,22475,179307,hit,0.8,true,
id_benign_calib,cache_hit_file_not_logged,1693,1693,181000,hit,0.4,true,
ood_benign_val,cache_hit_file_not_logged,3869,3869,184869,hit,0.4,true,
ood_benign_val,cache_hit_file_not_logged,2506,2506,187375,hit,0.4,true,
ood_benign_val,cache_hit_file_not_logged,2501,2501,189876,hit,0.4,true,
ood_benign_val,cache_hit_file_not_logged,2496,2496,192372,hit,0.4,true,
ood_benign_val,cache_hit_file_not_logged,2496,2496,194868,hit,0.4,true,
ood_benign_val,cache_hit_file_not_logged,2481,2481,197349,hit,0.4,true,
ood_benign_val,cache_hit_file_not_logged,2481,2481,199830,hit,0.4,true,
ood_benign_val,cache_hit_file_not_logged,2466,2466,202296,hit,0.4,true,
ood_benign_val,cache_hit_file_not_logged,1740,1740,204036,hit,0.4,true,
ood_benign_val,cache_hit_file_not_logged,964,964,205000,hit,0.4,true,
ood_benign_stress,cache_hit_file_not_logged,80000,80000,285000,hit,2.1,true,
sealed_final_ood,cache_hit_file_not_logged,55000,55000,340000,hit,1.7,true,
attack_support_candidate_pool,cache_hit_file_not_logged,45000,45000,385000,hit,1.4,true,
dev_future_attack_query,cache_hit_file_not_logged,80000,80000,465000,hit,2.3,true,
sealed_final_attack,cache_hit_file_not_logged,35000,35000,500000,hit,1.2,true,
id_benign_calib,processed/iotsim-cooler-motor-5.csv,22471,22471,522471,miss_written,11.6,true,
id_benign_calib,processed/iotsim-cooler-motor-6.csv,22468,22468,544939,miss_written,11.6,true,
id_benign_calib,processed/iotsim-cooler-motor-8.csv,5061,5061,550000,miss_written,3.1,true,
ood_benign_stress,processed/iotsim-stream-consumer-1.csv,150000,150000,700000,miss_written,58.9,true,
sealed_final_ood,processed/iotsim-ip-camera-street-2.csv,100000,100000,800000,miss_written,31.3,true,
attack_support_candidate_pool,processed/iotsim-air-quality-1.csv,45000,45000,845000,miss_written,175.0,true,
dev_future_attack_query,processed/iotsim-building-monitor-1.csv,80000,0,845000,interrupted_runtime_bottleneck,,false,Stopped after >70 minutes of active CPU without file completion; canonical partial asset renamed INCOMPLETE_INTERRUPTED.
