seed,scorer_kind,weighting_policy,subspace_name,region_policy,prototype_budget,region_max,top_k,inner_radius_q,outer_radius_q,attack_outer_norm,benign_core_norm,conflict_slack,review_budget,role,rows,attack_outer_p50,attack_outer_p95,benign_outer_p50,benign_outer_p95,score_strength_mean
42,shared_histgb,medium_region_boost,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.03,id_calib,600,0.29510068893432617,0.43406830579042427,0.0008982758154161274,0.002319304272532463,-0.04448456501561149
42,shared_histgb,medium_region_boost,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.03,ood_val,1500,0.28949904441833496,2520.1706420898436,0.0005205014022067189,0.0008477508090436459,-0.04849922152232748
42,shared_histgb,medium_region_boost,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.03,ood_stress_val,2850,0.2887551039457321,92.42104682922363,0.0006632967852056026,1.2114520072937012,-0.043989976851001505
42,shared_histgb,medium_region_boost,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.03,support_medium_val,25,0.28791847825050354,0.30304778814315797,0.0012069623917341232,0.002348224865272641,0.6624594782467106
42,shared_histgb,medium_region_boost,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.03,support_heavy_val,8,0.2491297721862793,0.2896044597029686,0.01345076970756054,0.013527551665902138,0.8404565498064811
42,shared_histgb,medium_region_boost,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.03,pseudo_medium_query,28,0.27942921221256256,0.28879050314426424,0.0010406742803752422,0.0019049114780500531,0.3680242051735448
42,shared_histgb,medium_region_boost,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.03,pseudo_heavy_query,32,0.2984723150730133,0.7017810642719265,0.021221045404672623,0.021324096247553825,0.47686116037344395
42,shared_histgb,medium_region_boost,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.03,medium_attack_eval_report_only,2250,0.2884991765022278,0.28992408514022827,0.0008614691905677319,0.0014151036739349365,0.49715436275933594
42,shared_histgb,medium_region_boost,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.03,dev_heavy_query_report_only,4000,0.30343005061149597,2.2796239495277386,0.013538473285734653,0.02130798064172268,0.586942155767483
42,shared_histgb,medium_region_boost,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.03,final_ood_report_only,3000,0.2894991338253021,0.5712163478136061,0.0006447070045396686,0.005457394290715456,-0.04588179690333496
