seed,weighting_policy,role,score_mean,score_q50,score_q90,score_q95,score_q99,score_min,score_max,raw_alarm_rate
42,uniform_sample,id_calib,-0.02137701709173002,-0.02263813063041733,-0.01730596007679904,-0.012175366046116892,-0.005688824682388112,-0.02563093456959239,-0.0008060253726910986,0.0
42,uniform_sample,ood_val,-0.022581692093210287,-0.023610812269286043,-0.017181432331232458,-0.017181432331232458,-0.013762050346160395,-0.02563093456959239,0.013831266996287676,0.0013333333333333333
42,uniform_sample,ood_stress_val,-0.022097607226934657,-0.023610812269286043,-0.01731979649297311,-0.012144517354692156,-0.0008113293460547295,-0.025720439018424742,0.001970561916715255,0.005614035087719298
42,uniform_sample,support_medium_val,0.7216687193102312,0.8549346875660886,0.9316815320715451,0.9416422486133813,0.9558894643539372,0.012983529644835231,0.9600258514385521,1.0
42,uniform_sample,support_heavy_val,0.8141870322915383,0.8534821337988552,0.8979487582918568,0.8979487582918568,0.8979487582918568,0.45018807275431705,0.8979487582918568,1.0
42,uniform_sample,pseudo_medium_query,0.40641834850001207,0.35410716130285974,0.9004397830856865,0.9004397830856865,0.9076410047942335,-0.025652452134714083,0.9103044703576687,0.6785714285714286
42,uniform_sample,pseudo_heavy_query,0.4687333408268576,0.33337915557870773,0.8973858024572112,0.8979487582918568,0.8979487582918568,0.045559210611661974,0.8979487582918568,1.0
42,equal_region_total,id_calib,-0.048302246852707786,-0.05177512053733608,-0.03531407648646504,-0.024352592527470525,-0.012032926201857924,-0.0566380514348044,0.11369667212706366,0.0016666666666666668
42,equal_region_total,ood_val,-0.052045449672378785,-0.05467308056954092,-0.042144562505159716,-0.03990217534635384,-0.034320848064447365,-0.0566380514348044,-0.010396198420910448,0.0
42,equal_region_total,ood_stress_val,-0.04487017663974752,-0.052977829603499435,-0.02619603991619529,-0.02619603991619529,0.06707807038068933,-0.05679569486097083,0.06707807038068933,0.025614035087719297
42,equal_region_total,support_medium_val,0.6171164969887637,0.7805782001614741,0.8903451534166672,0.8968472284172729,0.9102409274104768,-0.022614355691474228,0.9144705165662255,0.96
42,equal_region_total,support_heavy_val,0.8496080686868832,0.8622137375783273,0.8826578088600563,0.8826578088600563,0.8826578088600563,0.7204802438833161,0.8826578088600563,1.0
42,equal_region_total,pseudo_medium_query,0.3364900745710594,0.4209681889323823,0.7331325478777765,0.7542122803563046,0.7992898020275044,-0.0566380514348044,0.8117641336061654,0.6785714285714286
42,equal_region_total,pseudo_heavy_query,0.4012876288324567,0.2515392008338693,0.8509516910351128,0.8509516910351128,0.8509516910351128,0.17818579175097862,0.8509516910351128,1.0
42,medium_region_boost,id_calib,-0.04448456501561149,-0.04957529309717944,-0.028248767577021914,-0.01951529924300127,-0.0008388049266443709,-0.054148580944513594,0.09058648105002395,0.0016666666666666668
