seed,scorer_kind,weighting_policy,subspace_name,region_policy,prototype_budget,region_max,top_k,inner_radius_q,outer_radius_q,attack_outer_norm,benign_core_norm,conflict_slack,review_budget,id_hard,id_review,id_suppress,ood_hard,ood_review,ood_suppress,stress_hard,stress_review,stress_suppress,support_medium_hard,support_medium_review,support_medium_suppress,support_heavy_hard,support_heavy_review,support_heavy_suppress,pseudo_medium_hard,pseudo_medium_review,pseudo_medium_suppress,pseudo_heavy_hard,pseudo_heavy_review,pseudo_heavy_suppress,dev_attack_min,dev_pseudo_min,dev_review_max,total_prototypes,region_count,dev_score,threshold,threshold_source,selection_uses_final_ood,selection_uses_attack_eval,selection_uses_dev_heavy_query
42,shared_histgb,uniform_sample,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.03,0.0,0.0,0.0,0.0,0.0013333333333333333,0.0,0.0,0.0007017543859649122,0.004912280701754386,0.96,0.0,0.0,1.0,0.0,0.0,0.6428571428571429,0.0,0.0,0.96875,0.0,0.03125,0.6428571428571429,0.6428571428571429,0.0013333333333333333,49,8,0.803304761904762,0.02762487519412724,support_val_guided_empirical_id_ood_1pct,False,False,False
42,shared_histgb,uniform_sample,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.05,0.0,0.0,0.0,0.0,0.0013333333333333333,0.0,0.0,0.0007017543859649122,0.004912280701754386,0.96,0.04,0.0,1.0,0.0,0.0,0.6428571428571429,0.03571428571428571,0.0,0.96875,0.0,0.03125,0.6428571428571429,0.6428571428571429,0.0013333333333333333,49,8,0.803304761904762,0.02762487519412724,support_val_guided_empirical_id_ood_1pct,False,False,False
42,shared_histgb,uniform_sample,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,2.0,0.03,0.0,0.0,0.0,0.0,0.0013333333333333333,0.0,0.0,0.0007017543859649122,0.004912280701754386,0.96,0.0,0.0,1.0,0.0,0.0,0.6428571428571429,0.0,0.0,0.96875,0.0,0.03125,0.6428571428571429,0.6428571428571429,0.0013333333333333333,49,8,0.803304761904762,0.02762487519412724,support_val_guided_empirical_id_ood_1pct,False,False,False
42,shared_histgb,uniform_sample,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,2.0,0.05,0.0,0.0,0.0,0.0,0.0013333333333333333,0.0,0.0,0.0007017543859649122,0.004912280701754386,0.96,0.04,0.0,1.0,0.0,0.0,0.6428571428571429,0.03571428571428571,0.0,0.96875,0.0,0.03125,0.6428571428571429,0.6428571428571429,0.0013333333333333333,49,8,0.803304761904762,0.02762487519412724,support_val_guided_empirical_id_ood_1pct,False,False,False
42,shared_histgb,uniform_sample,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.25,0.75,1.0,0.03,0.0,0.0,0.0,0.0,0.0013333333333333333,0.0,0.0,0.0007017543859649122,0.004912280701754386,0.96,0.0,0.0,1.0,0.0,0.0,0.6428571428571429,0.0,0.0,0.96875,0.0,0.0,0.6428571428571429,0.6428571428571429,0.0013333333333333333,49,8,0.803304761904762,0.02762487519412724,support_val_guided_empirical_id_ood_1pct,False,False,False
42,shared_histgb,uniform_sample,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.25,0.75,1.0,0.05,0.0,0.0,0.0,0.0,0.0013333333333333333,0.0,0.0,0.0007017543859649122,0.004912280701754386,0.96,0.04,0.0,1.0,0.0,0.0,0.6428571428571429,0.03571428571428571,0.0,0.96875,0.03125,0.0,0.6428571428571429,0.6428571428571429,0.0013333333333333333,49,8,0.803304761904762,0.02762487519412724,support_val_guided_empirical_id_ood_1pct,False,False,False
42,shared_histgb,uniform_sample,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.25,0.75,2.0,0.03,0.0,0.0,0.0,0.0,0.0013333333333333333,0.0,0.0,0.0007017543859649122,0.004912280701754386,0.96,0.0,0.0,1.0,0.0,0.0,0.6428571428571429,0.0,0.0,0.96875,0.0,0.0,0.6428571428571429,0.6428571428571429,0.0013333333333333333,49,8,0.803304761904762,0.02762487519412724,support_val_guided_empirical_id_ood_1pct,False,False,False
42,shared_histgb,uniform_sample,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.25,0.75,2.0,0.05,0.0,0.0,0.0,0.0,0.0013333333333333333,0.0,0.0,0.0007017543859649122,0.004912280701754386,0.96,0.04,0.0,1.0,0.0,0.0,0.6428571428571429,0.03571428571428571,0.0,0.96875,0.03125,0.0,0.6428571428571429,0.6428571428571429,0.0013333333333333333,49,8,0.803304761904762,0.02762487519412724,support_val_guided_empirical_id_ood_1pct,False,False,False
42,shared_histgb,uniform_sample,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.5,0.75,1.0,0.03,0.0,0.0,0.0,0.0,0.0013333333333333333,0.0,0.0,0.0007017543859649122,0.004912280701754386,0.96,0.0,0.0,1.0,0.0,0.0,0.6428571428571429,0.0,0.0,0.96875,0.0,0.0,0.6428571428571429,0.6428571428571429,0.0013333333333333333,49,8,0.803304761904762,0.02762487519412724,support_val_guided_empirical_id_ood_1pct,False,False,False
42,shared_histgb,uniform_sample,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.5,0.75,1.0,0.05,0.0,0.0,0.0,0.0,0.0013333333333333333,0.0,0.0,0.0007017543859649122,0.004912280701754386,0.96,0.04,0.0,1.0,0.0,0.0,0.6428571428571429,0.03571428571428571,0.0,0.96875,0.03125,0.0,0.6428571428571429,0.6428571428571429,0.0013333333333333333,49,8,0.803304761904762,0.02762487519412724,support_val_guided_empirical_id_ood_1pct,False,False,False
