method,input_mode,positive_budget,n_seeds,auc_mean,auc_min,auc_max,pr_auc_mean,ood_alarm_mean,ood_alarm_min,ood_alarm_max,attack_detection_mean,attack_detection_min,attack_detection_max,feasible_rate,train_time_mean,latency_ms_mean,params_mean
da_score_only_fewshot_lr,da_score_only,16,5,0.19363281454545456,0.19362396363636364,0.19364305454545455,0.08446132205730483,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01564906002022326,5.1363128926175294e-05,2.0
original100_plus_da_score_fewshot_lr,original100_plus_da_score,16,5,0.99066144,0.9580121454545455,0.9999159272727273,0.9720071866350288,0.00448,0.0014,0.0092,0.9675636363636364,0.9141818181818182,0.9992727272727273,1.0,1.0234476600773632,0.0018240439097806937,102.0
da_score_only_fewshot_lr,da_score_only,32,5,0.19363626909090909,0.19363090909090908,0.19364163636363635,0.08446549767759082,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.012577799987047911,6.254214766430579e-05,2.0
original100_plus_da_score_fewshot_lr,original100_plus_da_score,32,5,0.9846228072727273,0.9676533818181817,0.9999098181818182,0.9420024101632064,0.006559999999999999,0.0036,0.0099,0.9406545454545455,0.9207272727272727,0.9992727272727273,1.0,0.9894829199649393,0.0015520984843281032,102.0
