group,n,q10,median,q90,q99,max
id_train,8000,0.01125618116699868,0.019912984738583668,0.04850373881367546,0.15289070332535404,13.138898091058426
id_calib,5000,0.010976242372222583,0.017919276540506762,0.037492727777029396,0.07767945078206641,2.7250438537160604
id_eval,35000,0.010963359461524982,0.01747515666073582,0.03850208198090915,0.0845636509937415,4862.020239678031
ood_train,8000,0.03696349380003629,0.054761597547072875,0.09025277898477913,1631.045971244955,4325319.189618416
ood_val,2000,0.03683896743210465,0.054395774603496226,0.08137927942549403,2139.7660407854114,13016292.334712695
ood_eval,10000,0.03815863135543539,0.05455789976217638,0.09001824990462308,2404.1017605745888,19085625.102433737
attack_train_pool_stage2_high,4122,0.04887725156947332,0.18471258413120428,0.40191900807187997,6.319453684375502,15060.400824356286
attack_val_stage2_high,1374,0.04252404094591957,0.12804936293957217,0.2448055337701593,0.515907443528291,1981.3447654746055
attack_eval_stage2_high,1375,0.04957126505453377,0.1264067831813482,0.28022777537211846,16.306046172479462,59302.630032450565
selected_support_union_16shot,79,0.050028884719364675,0.17763061685881223,0.5116336083537945,29.052042109976696,37.89744561017531
selected_support_union_32shot,160,0.044927457880995364,0.20485746385503054,0.5299062885745491,3.4149942351818705,40.09185604156434
