group,n,q10,median,q90,q99,max,positive_budget,seed
selected_16_42,16,0.1703493592828848,0.21666707049336908,0.2789996972099926,0.4017801108714193,0.42135290257974206,16,42
selected_16_43,16,0.09731998298832586,0.22145007147450796,0.7800178002550063,5.522205068116872,6.310594277632245,16,43
selected_16_44,16,0.04996335086198013,0.18230115648486478,13.54693760449973,36.19640647552173,37.89744561017531,16,44
selected_16_45,16,0.04057112132462605,0.15105640512485619,0.4161839186110511,0.7321810264732299,0.7572286397018421,16,45
selected_16_46,16,0.043969484006403485,0.1438122959959716,0.3022035995707347,0.8162112401480651,0.9005614817961632,16,46
selected_32_42,32,0.03513983097241223,0.13855398370628375,0.31360560358975403,4.429490644075921,6.148994041401356,32,42
selected_32_43,32,0.08581941346074941,0.22830820946451968,0.4068841095226266,0.6376589571517343,0.6599710863551308,32,43
selected_32_44,32,0.04837834322242632,0.2110671260632417,0.5685319499670314,27.96068045984267,40.09185604156434,32,44
selected_32_45,32,0.05836640671642091,0.19772171719879267,0.4318204012306156,1.2690911108426701,1.515096064758187,32,45
selected_32_46,32,0.04507080713370818,0.21957558679250974,0.8378452979458564,1.3668201608478874,1.4409648141565385,32,46
