candidate_family,seed,subspace_name,subspace_dims,embedding_dims,prototype_budget,attack_prototypes,benign_prototypes,id_rows,ood_rows,ood_stress_rows,medium_attack_rows,heavy_attack_rows
lda_metric_prototype,42,all115,115,4,32,32,32,2400,1500,2850,75,24
lda_metric_prototype,42,HH_HpHp,70,4,32,32,32,2400,1500,2850,75,24
lda_metric_prototype,42,MI_H_HHjit,45,4,32,32,32,2400,1500,2850,75,24
lda_metric_prototype,43,all115,115,4,32,32,32,2400,1500,2850,46,21
lda_metric_prototype,43,HH_HpHp,70,4,32,32,32,2400,1500,2850,46,21
lda_metric_prototype,43,MI_H_HHjit,45,4,32,32,32,2400,1500,2850,46,21
lda_metric_prototype,44,all115,115,4,32,32,32,2400,1500,2850,70,24
lda_metric_prototype,44,HH_HpHp,70,4,32,32,32,2400,1500,2850,70,24
lda_metric_prototype,44,MI_H_HHjit,45,4,32,32,32,2400,1500,2850,70,24
lda_metric_prototype,45,all115,115,4,32,32,32,2400,1500,2850,75,23
lda_metric_prototype,45,HH_HpHp,70,4,32,32,32,2400,1500,2850,75,23
lda_metric_prototype,45,MI_H_HHjit,45,4,32,32,32,2400,1500,2850,75,23
lda_metric_prototype,46,all115,115,4,32,32,32,2400,1500,2850,46,21
lda_metric_prototype,46,HH_HpHp,70,4,32,32,32,2400,1500,2850,46,21
lda_metric_prototype,46,MI_H_HHjit,45,4,32,32,32,2400,1500,2850,46,21
