candidate_name,seed,medium_support_to_pseudo_q50_gap,heavy_support_to_pseudo_q50_gap,dev_attack_hard_min,report_only_attack_hard_min,uses_report_only_for_selection
calibrated_two_head_margin__ood_val_only,42,0.03821111327548021,0.0,0.7142857142857143,0.9497777777777778,False
calibrated_two_head_margin__ood_val_plus_stress,42,0.03821111327548021,0.0,0.0,0.01325,False
logistic_twohead_fusion_uniform_rows__ood_val_only,42,0.02457265941007858,0.0,0.7142857142857143,0.9497777777777778,False
logistic_twohead_fusion_uniform_rows__ood_val_plus_stress,42,0.02457265941007858,0.0,0.6428571428571429,0.6866666666666666,False
logistic_twohead_fusion_balanced_regions__ood_val_only,42,0.0006722914238247446,0.0,0.7142857142857143,0.9497777777777778,False
logistic_twohead_fusion_balanced_regions__ood_val_plus_stress,42,0.0006722914238247446,0.0,0.09375,0.18425,False
lda_metric_all115__ood_val_only,42,0.7146614789962769,0.7378902435302734,0.08,0.6968888888888889,False
lda_metric_all115__ood_val_plus_stress,42,0.7146614789962769,0.7378902435302734,0.0,0.0,False
lda_metric_HH_HpHp__ood_val_only,42,-0.0889233946800232,0.26621437072753906,0.24,0.43244444444444446,False
lda_metric_HH_HpHp__ood_val_plus_stress,42,-0.0889233946800232,0.26621437072753906,0.0,0.0,False
lda_metric_MI_H_HHjit__ood_val_only,42,-0.11291131377220154,-1.9533157348632812,0.08,0.6884444444444444,False
lda_metric_MI_H_HHjit__ood_val_plus_stress,42,-0.11291131377220154,-1.9533157348632812,0.08,0.6884444444444444,False
calibrated_two_head_margin__ood_val_only,43,0.20960564122278558,0.0,0.9696969696969697,0.9715555555555555,False
calibrated_two_head_margin__ood_val_plus_stress,43,0.20960564122278558,0.0,0.0,0.0,False
logistic_twohead_fusion_uniform_rows__ood_val_only,43,0.21700694746246585,0.0,0.9696969696969697,0.9728888888888889,False
logistic_twohead_fusion_uniform_rows__ood_val_plus_stress,43,0.21700694746246585,0.0,0.0,0.179,False
logistic_twohead_fusion_balanced_regions__ood_val_only,43,6.827519699381668e-06,0.0,0.9696969696969697,0.9715555555555555,False
logistic_twohead_fusion_balanced_regions__ood_val_plus_stress,43,6.827519699381668e-06,0.0,0.7428571428571429,0.933,False
lda_metric_all115__ood_val_only,43,2.603006064891815,91.6853256225586,0.22727272727272727,0.7902222222222223,False
lda_metric_all115__ood_val_plus_stress,43,2.603006064891815,91.6853256225586,0.13636363636363635,0.6271111111111111,False
lda_metric_HH_HpHp__ood_val_only,43,0.955346941947937,86.36611557006836,0.2727272727272727,0.4262222222222222,False
lda_metric_HH_HpHp__ood_val_plus_stress,43,0.955346941947937,86.36611557006836,0.0625,0.015111111111111112,False
lda_metric_MI_H_HHjit__ood_val_only,43,-0.02768811583518982,60.41252899169922,0.045454545454545456,0.6542222222222223,False
lda_metric_MI_H_HHjit__ood_val_plus_stress,43,-0.02768811583518982,60.41252899169922,0.045454545454545456,0.6542222222222223,False
calibrated_two_head_margin__ood_val_only,44,-0.05582645299477529,0.0,0.9117647058823529,0.9915555555555555,False
calibrated_two_head_margin__ood_val_plus_stress,44,-0.05582645299477529,0.0,0.0,0.0,False
logistic_twohead_fusion_uniform_rows__ood_val_only,44,-0.016386012215065304,0.00022179393781852734,0.7419354838709677,0.9915555555555555,False
logistic_twohead_fusion_uniform_rows__ood_val_plus_stress,44,-0.016386012215065304,0.00022179393781852734,0.0,0.18575,False
logistic_twohead_fusion_balanced_regions__ood_val_only,44,-4.735429971480798e-06,0.007874189108222351,0.9117647058823529,0.9915555555555555,False
logistic_twohead_fusion_balanced_regions__ood_val_plus_stress,44,-4.735429971480798e-06,0.007874189108222351,0.0,0.1855,False
lda_metric_all115__ood_val_only,44,0.34500953555107117,-1.84979248046875,0.4117647058823529,0.7626666666666667,False
lda_metric_all115__ood_val_plus_stress,44,0.34500953555107117,-1.84979248046875,0.0,0.02711111111111111,False
