candidate_name,seed,scorer_kind,threshold,threshold_rule,threshold_source,selection_uses_ood_stress,uses_final_ood_for_selection,uses_attack_eval_for_selection,uses_dev_heavy_query_for_selection,id_calib_detection_or_alarm,id_calib_score_mean,id_calib_score_q50,id_calib_score_q95,ood_val_detection_or_alarm,ood_val_score_mean,ood_val_score_q50,ood_val_score_q95,ood_stress_val_detection_or_alarm,ood_stress_val_score_mean,ood_stress_val_score_q50,ood_stress_val_score_q95,medium_support_val_detection_or_alarm,medium_support_val_score_mean,medium_support_val_score_q50,medium_support_val_score_q95,heavy_support_val_detection_or_alarm,heavy_support_val_score_mean,heavy_support_val_score_q50,heavy_support_val_score_q95,medium_pseudo_query_dev_detection_or_alarm,medium_pseudo_query_dev_score_mean,medium_pseudo_query_dev_score_q50,medium_pseudo_query_dev_score_q95,heavy_pseudo_query_dev_detection_or_alarm,heavy_pseudo_query_dev_score_mean,heavy_pseudo_query_dev_score_q50,heavy_pseudo_query_dev_score_q95,medium_attack_eval_report_only_detection_or_alarm,medium_attack_eval_report_only_score_mean,medium_attack_eval_report_only_score_q50,medium_attack_eval_report_only_score_q95,dev_heavy_query_report_only_detection_or_alarm,dev_heavy_query_report_only_score_mean,dev_heavy_query_report_only_score_q50,dev_heavy_query_report_only_score_q95,final_ood_report_only_detection_or_alarm,final_ood_report_only_score_mean,final_ood_report_only_score_q50,final_ood_report_only_score_q95,dev_attack_hard_min,report_only_attack_hard_min,ood_dev_alarm_max,medium_support_to_pseudo_q50_gap,heavy_support_to_pseudo_q50_gap
calibrated_two_head_margin__ood_val_only,42,calibrated_two_head_margin,0.0,support_val_guided_empirical_1pct,support_val_guided_empirical_id_ood_1pct,False,False,False,False,0.01,-0.011523970207749243,-0.012980598704806013,-0.004745154125325257,0.0,-0.012776572386540801,-0.012980598704806013,-0.012193380960848786,0.2463157894736842,0.1956081994395373,-0.012980598704806013,0.9395191281614712,1.0,0.8025159458505651,0.886824804699322,0.9535880436490414,1.0,0.9395191281614712,0.9395191281614712,0.9395191281614712,0.7142857142857143,0.5730376356169051,0.8486136914238418,0.9542416583590586,1.0,0.9395191281614712,0.9395191281614712,0.9395191281614712,0.9497777777777778,0.610033038018666,0.831019657932076,0.9405415619026114,0.9995,0.9094774768456201,0.9395191281614712,0.9395191281614712,0.35433333333333333,0.1979032760383215,-0.012134207508128044,0.9395191281614712,0.7142857142857143,0.9497777777777778,0.2463157894736842,0.03821111327548021,0.0
calibrated_two_head_margin__ood_val_plus_stress,42,calibrated_two_head_margin,0.9395191281614712,support_val_guided_empirical_1pct,support_val_guided_empirical_id_ood_1pct,True,False,False,False,0.0,-0.011523970207749243,-0.012980598704806013,-0.004745154125325257,0.0,-0.012776572386540801,-0.012980598704806013,-0.012193380960848786,0.0,0.1956081994395373,-0.012980598704806013,0.9395191281614712,0.4,0.8025159458505651,0.886824804699322,0.9535880436490414,0.0,0.9395191281614712,0.9395191281614712,0.9395191281614712,0.21428571428571427,0.5730376356169051,0.8486136914238418,0.9542416583590586,0.0,0.9395191281614712,0.9395191281614712,0.9395191281614712,0.1408888888888889,0.610033038018666,0.831019657932076,0.9405415619026114,0.01325,0.9094774768456201,0.9395191281614712,0.9395191281614712,0.0,0.1979032760383215,-0.012134207508128044,0.9395191281614712,0.0,0.01325,0.0,0.03821111327548021,0.0
logistic_twohead_fusion_uniform_rows__ood_val_only,42,logistic_twohead_fusion,0.0012373933830199832,support_val_guided_empirical_1pct,support_val_guided_empirical_id_ood_1pct,False,False,False,False,0.01,0.0010870128547453006,0.001068327802262168,0.0011755254900304912,0.0,0.0010677069108209589,0.0010627121545935501,0.001084586692325813,0.24421052631578946,0.002977036261532985,0.0010629672222525952,0.010373106235442105,1.0,0.8158397230883591,0.9480447891167026,0.9740819290504861,1.0,0.011781723013360647,0.012620699601648477,0.012620699601648477,0.7142857142857143,0.5947989078195449,0.9234721297066241,0.9742595943014154,1.0,0.011834192137669265,0.012620699601648477,0.012620699601648477,0.9497777777777778,0.6040979827102684,0.9088834003785752,0.9702683733988051,0.9995,0.14498316453311225,0.012620699601648477,0.9676982569447751,0.35433333333333333,0.004589477078412239,0.001085280725611055,0.010346032879794999,0.7142857142857143,0.9497777777777778,0.24421052631578946,0.02457265941007858,0.0
logistic_twohead_fusion_uniform_rows__ood_val_plus_stress,42,logistic_twohead_fusion,0.010373106235442105,support_val_guided_empirical_1pct,support_val_guided_empirical_id_ood_1pct,True,False,False,False,0.0,0.0010870128547453006,0.001068327802262168,0.0011755254900304912,0.0,0.0010677069108209589,0.0010627121545935501,0.001084586692325813,0.0,0.002977036261532985,0.0010629672222525952,0.010373106235442105,0.92,0.8158397230883591,0.9480447891167026,0.9740819290504861,0.875,0.011781723013360647,0.012620699601648477,0.012620699601648477,0.6428571428571429,0.5947989078195449,0.9234721297066241,0.9742595943014154,0.90625,0.011834192137669265,0.012620699601648477,0.012620699601648477,0.6866666666666666,0.6040979827102684,0.9088834003785752,0.9702683733988051,0.95425,0.14498316453311225,0.012620699601648477,0.9676982569447751,0.008666666666666666,0.004589477078412239,0.001085280725611055,0.010346032879794999,0.6428571428571429,0.6866666666666666,0.0,0.02457265941007858,0.0
logistic_twohead_fusion_balanced_regions__ood_val_only,42,logistic_twohead_fusion,0.012782113727095642,support_val_guided_empirical_1pct,support_val_guided_empirical_id_ood_1pct,False,False,False,False,0.01,0.011077652526094824,0.010885157361514344,0.01204963332875984,0.0,0.010914757510789396,0.010889090482747795,0.010982689395466759,0.24526315789473685,0.14095175550797517,0.010889090482747795,0.6473762620047696,1.0,0.9119511714634991,0.9989102014147923,0.9995295739372605,1.0,0.6439070672004404,0.6421073776715804,0.6471921049725444,0.7142857142857143,0.6445587522074492,0.9982379099909675,0.9995334197079576,1.0,0.643785416954274,0.6421073776715804,0.6474559694806815,0.9497777777777778,0.6593072627849047,0.9978018414081129,0.9994456228694839,0.9995,0.6800023395675477,0.6421073776715804,0.9993876243733477,0.35433333333333333,0.12464897600297954,0.010990786253349986,0.6473762620047696,0.7142857142857143,0.9497777777777778,0.24526315789473685,0.0006722914238247446,0.0
logistic_twohead_fusion_balanced_regions__ood_val_plus_stress,42,logistic_twohead_fusion,0.6473762620047696,support_val_guided_empirical_1pct,support_val_guided_empirical_id_ood_1pct,True,False,False,False,0.0,0.011077652526094824,0.010885157361514344,0.01204963332875984,0.0,0.010914757510789396,0.010889090482747795,0.010982689395466759,0.0,0.14095175550797517,0.010889090482747795,0.6473762620047696,0.92,0.9119511714634991,0.9989102014147923,0.9995295739372605,0.125,0.6439070672004404,0.6421073776715804,0.6471921049725444,0.6428571428571429,0.6445587522074492,0.9982379099909675,0.9995334197079576,0.09375,0.643785416954274,0.6421073776715804,0.6474559694806815,0.6368888888888888,0.6593072627849047,0.9978018414081129,0.9994456228694839,0.18425,0.6800023395675477,0.6421073776715804,0.9993876243733477,0.04633333333333333,0.12464897600297954,0.010990786253349986,0.6473762620047696,0.09375,0.18425,0.0,0.0006722914238247446,0.0
lda_metric_all115__ood_val_only,42,lda_metric_prototype,1.9074721336364746,support_val_guided_empirical_1pct,support_val_guided_empirical_id_ood_1pct,False,False,False,False,0.0,-0.04531958182652791,0.010770142078399658,1.6679951369762416,0.0,-3.1710580859581627,-3.892427444458008,1.2952877461910248,0.21157894736842106,1.4714986141941004,-0.7729167938232422,12.945770263671875,0.08,0.937146680355072,0.5556497573852539,2.878144168853756,0.875,54.12617540359497,62.686309814453125,63.53532314300537,0.21428571428571427,0.7955107752765928,-0.15901172161102295,5.208353543281555,0.9375,57.828721195459366,61.94841957092285,62.99985694885254,0.6968888888888889,5.362512587891684,5.258607387542725,12.099052238464354,0.97,45.33657032516599,56.84546661376953,62.852928924560544,0.15466666666666667,1.1543812266985576,-0.2610927224159241,15.25875549316406,0.08,0.6968888888888889,0.21157894736842106,0.7146614789962769,0.7378902435302734
lda_metric_all115__ood_val_plus_stress,42,lda_metric_prototype,15.33935546875,support_val_guided_empirical_1pct,support_val_guided_empirical_id_ood_1pct,True,False,False,False,0.0,-0.04531958182652791,0.010770142078399658,1.6679951369762416,0.0,-3.1710580859581627,-3.892427444458008,1.2952877461910248,0.0,1.4714986141941004,-0.7729167938232422,12.945770263671875,0.0,0.937146680355072,0.5556497573852539,2.878144168853756,0.875,54.12617540359497,62.686309814453125,63.53532314300537,0.0,0.7955107752765928,-0.15901172161102295,5.208353543281555,0.9375,57.828721195459366,61.94841957092285,62.99985694885254,0.0,5.362512587891684,5.258607387542725,12.099052238464354,0.78575,45.33657032516599,56.84546661376953,62.852928924560544,0.045,1.1543812266985576,-0.2610927224159241,15.25875549316406,0.0,0.0,0.0,0.7146614789962769,0.7378902435302734
lda_metric_HH_HpHp__ood_val_only,42,lda_metric_prototype,0.6525639295578003,support_val_guided_empirical_1pct,support_val_guided_empirical_id_ood_1pct,False,False,False,False,0.0033333333333333335,-0.5245473224918048,-0.09214133024215698,0.3668534636497497,0.0,-3.2285321105718614,-3.7286571264266968,0.12396917939186096,0.22245614035087719,0.37590397439504925,-0.5396605134010315,7.168978881835934,0.24,0.09259166955947876,-0.1185370683670044,2.859275746345516,0.875,53.48756170272827,62.37249183654785,62.782306861877444,0.35714285714285715,0.6491151962961469,-0.0296136736869812,3.9774477601051306,0.9375,58.37700089812279,62.10627746582031,63.89095821380615,0.43244444444444446,0.791485518614451,0.3410523533821106,2.4381664514541623,0.90775,43.65776225550473,56.81914138793945,62.04857292175293,0.153,-0.2283479453821977,-0.3771376758813858,4.487622070312499,0.24,0.43244444444444446,0.22245614035087719,-0.0889233946800232,0.26621437072753906
lda_metric_HH_HpHp__ood_val_plus_stress,42,lda_metric_prototype,13.3681640625,support_val_guided_empirical_1pct,support_val_guided_empirical_id_ood_1pct,True,False,False,False,0.0,-0.5245473224918048,-0.09214133024215698,0.3668534636497497,0.0,-3.2285321105718614,-3.7286571264266968,0.12396917939186096,0.0,0.37590397439504925,-0.5396605134010315,7.168978881835934,0.0,0.09259166955947876,-0.1185370683670044,2.859275746345516,0.875,53.48756170272827,62.37249183654785,62.782306861877444,0.0,0.6491151962961469,-0.0296136736869812,3.9774477601051306,0.9375,58.37700089812279,62.10627746582031,63.89095821380615,0.0,0.791485518614451,0.3410523533821106,2.4381664514541623,0.786,43.65776225550473,56.81914138793945,62.04857292175293,0.009333333333333334,-0.2283479453821977,-0.3771376758813858,4.487622070312499,0.0,0.0,0.0,-0.0889233946800232,0.26621437072753906
