candidate_name,seeds,dev_attack_hard_min_mean,dev_attack_hard_min_min,dev_attack_hard_min_max,report_only_attack_hard_min_mean,report_only_attack_hard_min_min,report_only_attack_hard_min_max,medium_support_val_detection_or_alarm_mean,medium_support_val_detection_or_alarm_min,medium_support_val_detection_or_alarm_max,heavy_support_val_detection_or_alarm_mean,heavy_support_val_detection_or_alarm_min,heavy_support_val_detection_or_alarm_max,medium_pseudo_query_dev_detection_or_alarm_mean,medium_pseudo_query_dev_detection_or_alarm_min,medium_pseudo_query_dev_detection_or_alarm_max,heavy_pseudo_query_dev_detection_or_alarm_mean,heavy_pseudo_query_dev_detection_or_alarm_min,heavy_pseudo_query_dev_detection_or_alarm_max,medium_attack_eval_report_only_detection_or_alarm_mean,medium_attack_eval_report_only_detection_or_alarm_min,medium_attack_eval_report_only_detection_or_alarm_max,dev_heavy_query_report_only_detection_or_alarm_mean,dev_heavy_query_report_only_detection_or_alarm_min,dev_heavy_query_report_only_detection_or_alarm_max,id_calib_detection_or_alarm_mean,id_calib_detection_or_alarm_min,id_calib_detection_or_alarm_max,ood_val_detection_or_alarm_mean,ood_val_detection_or_alarm_min,ood_val_detection_or_alarm_max,ood_stress_val_detection_or_alarm_mean,ood_stress_val_detection_or_alarm_min,ood_stress_val_detection_or_alarm_max,final_ood_report_only_detection_or_alarm_mean,final_ood_report_only_detection_or_alarm_min,final_ood_report_only_detection_or_alarm_max,ood_dev_alarm_max_mean,ood_dev_alarm_max_min,ood_dev_alarm_max_max,medium_support_to_pseudo_q50_gap_mean,medium_support_to_pseudo_q50_gap_min,medium_support_to_pseudo_q50_gap_max,heavy_support_to_pseudo_q50_gap_mean,heavy_support_to_pseudo_q50_gap_min,heavy_support_to_pseudo_q50_gap_max
calibrated_two_head_margin__ood_val_only,5,0.8352209065444359,0.6428571428571429,0.9696969696969697,0.9684444444444444,0.9373333333333334,0.992,0.9708333333333332,0.9166666666666666,1.0,1.0,1.0,1.0,0.8355996944232238,0.6428571428571429,0.9696969696969697,1.0,1.0,1.0,0.9684444444444444,0.9373333333333334,0.992,0.9995,0.9995,0.9995,0.002666666666666667,0.0,0.01,0.0,0.0,0.0,0.24477192982456142,0.23719298245614034,0.256140350877193,0.34973333333333334,0.33766666666666667,0.361,0.24477192982456142,0.23719298245614034,0.256140350877193,0.10833094925317019,-0.05582645299477529,0.2490421084190777,0.0,0.0,0.0
calibrated_two_head_margin__ood_val_plus_stress,5,0.09090909090909091,0.0,0.45454545454545453,0.06993888888888888,0.0,0.33644444444444443,0.1925,0.0,0.5625,0.6,0.0,1.0,0.13376623376623376,0.0,0.45454545454545453,0.5653679653679653,0.0,0.9696969696969697,0.09546666666666667,0.0,0.33644444444444443,0.5062,0.0,0.899,0.0,0.0,0.0,0.0,0.0,0.0,0.00035087719298245617,0.0,0.0017543859649122807,0.0,0.0,0.0,0.00035087719298245617,0.0,0.0017543859649122807,0.10833094925317019,-0.05582645299477529,0.2490421084190777,0.0,0.0,0.0
lda_metric_HH_HpHp__ood_val_only,5,0.2375212630506748,0.10714285714285714,0.30303030303030304,0.3428444444444444,0.03777777777777778,0.6151111111111112,0.4081666666666667,0.24,0.625,0.9305555555555556,0.7777777777777778,1.0,0.26094983447924625,0.10714285714285714,0.35714285714285715,0.9456790252757994,0.9354838709677419,0.9696969696969697,0.3428444444444444,0.03777777777777778,0.6151111111111112,0.9041499999999999,0.7955,0.96525,0.003,0.0,0.01,0.0,0.0,0.0,0.22919298245614034,0.20912280701754385,0.267719298245614,0.16653333333333334,0.141,0.19533333333333333,0.22919298245614034,0.20912280701754385,0.267719298245614,0.4960771679878235,-0.0889233946800232,0.955346941947937,28.924778366088866,0.07778167724609375,86.36611557006836
lda_metric_HH_HpHp__ood_val_plus_stress,5,0.0125,0.0,0.0625,0.005866666666666668,0.0,0.015111111111111112,0.020833333333333332,0.0,0.0625,0.9305555555555556,0.7777777777777778,1.0,0.03939393939393939,0.0,0.10606060606060606,0.77632837592515,0.15151515151515152,0.9428571428571428,0.005866666666666668,0.0,0.015111111111111112,0.7389000000000001,0.55675,0.80025,0.0,0.0,0.0,0.0,0.0,0.0,0.0020350877192982456,0.0,0.010175438596491228,0.04326666666666666,0.006,0.12166666666666667,0.0020350877192982456,0.0,0.010175438596491228,0.4960771679878235,-0.0889233946800232,0.955346941947937,28.924778366088866,0.07778167724609375,86.36611557006836
lda_metric_MI_H_HHjit__ood_val_only,5,0.09984848484848485,0.045454545454545456,0.20833333333333334,0.6676444444444445,0.6542222222222223,0.6884444444444444,0.16916666666666666,0.08,0.25,0.9305555555555556,0.7777777777777778,1.0,0.12952635599694423,0.045454545454545456,0.23529411764705882,0.9107006702974445,0.8857142857142857,0.9375,0.6676444444444445,0.6542222222222223,0.6884444444444444,0.9632000000000002,0.9615,0.9685,0.0003333333333333334,0.0,0.0016666666666666668,0.0005333333333333334,0.0,0.0026666666666666666,0.0037894736842105257,0.0,0.017543859649122806,0.016133333333333336,0.0036666666666666666,0.049,0.0037894736842105257,0.0,0.017543859649122806,-0.017990708351135254,-0.11291131377220154,0.12067142128944397,19.796989822387694,-2.0019683837890625,60.41252899169922
lda_metric_MI_H_HHjit__ood_val_plus_stress,5,0.08318181818181819,0.045454545454545456,0.125,0.6623111111111111,0.648,0.6884444444444444,0.1525,0.08,0.25,0.9305555555555556,0.7777777777777778,1.0,0.11061879297173416,0.045454545454545456,0.17647058823529413,0.9107006702974445,0.8857142857142857,0.9375,0.6623111111111111,0.648,0.6884444444444444,0.9630000000000001,0.9615,0.9685,0.0003333333333333334,0.0,0.0016666666666666668,0.00013333333333333334,0.0,0.0006666666666666666,0.0006315789473684211,0.0,0.003157894736842105,0.012333333333333333,0.0026666666666666666,0.031,0.0006315789473684211,0.0,0.003157894736842105,-0.017990708351135254,-0.11291131377220154,0.12067142128944397,19.796989822387694,-2.0019683837890625,60.41252899169922
lda_metric_all115__ood_val_only,5,0.2604741532976827,0.08,0.4117647058823529,0.7439111111111111,0.696,0.7902222222222223,0.4261666666666667,0.08,0.6875,0.9305555555555556,0.7777777777777778,1.0,0.28733129615482556,0.21428571428571427,0.4117647058823529,0.9513933109900851,0.9354838709677419,0.9714285714285714,0.7439111111111111,0.696,0.7902222222222223,0.9724,0.94975,0.99575,0.003333333333333333,0.0,0.006666666666666667,0.0,0.0,0.0,0.2923508771929825,0.21157894736842106,0.41964912280701755,0.21133333333333332,0.15433333333333332,0.299,0.2923508771929825,0.21157894736842106,0.41964912280701755,0.8282636284828186,-0.07114815711975098,2.603006064891815,30.52643928527832,-1.84979248046875,91.6853256225586
lda_metric_all115__ood_val_plus_stress,5,0.05454545454545454,0.0,0.13636363636363635,0.2512,0.0,0.6271111111111111,0.10833333333333335,0.0,0.3125,0.9305555555555556,0.7777777777777778,1.0,0.05454545454545454,0.0,0.13636363636363635,0.7702677698645439,0.12121212121212122,0.9428571428571428,0.2512,0.0,0.6271111111111111,0.79035,0.55825,0.92225,0.0,0.0,0.0,0.0,0.0,0.0,0.0020350877192982456,0.0,0.010175438596491228,0.06853333333333332,0.045,0.08633333333333333,0.0020350877192982456,0.0,0.010175438596491228,0.8282636284828186,-0.07114815711975098,2.603006064891815,30.52643928527832,-1.84979248046875,91.6853256225586
logistic_twohead_fusion_balanced_regions__ood_val_only,5,0.8352209065444359,0.6428571428571429,0.9696969696969697,0.9684444444444444,0.9373333333333334,0.992,0.9708333333333332,0.9166666666666666,1.0,1.0,1.0,1.0,0.8355996944232238,0.6428571428571429,0.9696969696969697,0.9942857142857143,0.9714285714285714,1.0,0.9684444444444444,0.9373333333333334,0.992,0.9995,0.9995,0.9995,0.002666666666666667,0.0,0.01,0.0,0.0,0.0,0.2148070175438596,0.16701754385964912,0.24526315789473685,0.23066666666666666,0.15233333333333332,0.35433333333333333,0.2148070175438596,0.16701754385964912,0.24526315789473685,0.00019579129012399222,-4.735429971480798e-06,0.0006722914238247446,0.0015748378216444703,0.0,0.007874189108222351
logistic_twohead_fusion_balanced_regions__ood_val_plus_stress,5,0.4833928571428571,0.0,0.9375,0.610061111111111,0.18425,0.9915555555555555,0.9465,0.875,1.0,0.6,0.0,1.0,0.7974280621339445,0.6428571428571429,0.9393939393939394,0.5616071428571429,0.0,1.0,0.8649777777777778,0.6368888888888888,0.9915555555555555,0.65825,0.18425,0.99825,0.0006666666666666668,0.0,0.0016666666666666668,0.0,0.0,0.0,0.0023157894736842107,0.0,0.011578947368421053,0.024533333333333334,0.006,0.04633333333333333,0.0026491228070175442,0.0,0.011578947368421053,0.00019579129012399222,-4.735429971480798e-06,0.0006722914238247446,0.0015748378216444703,0.0,0.007874189108222351
