feature_index,feature_name,finite_rate,nan_count,inf_count,std,min,max
0,MI_dir_5_weight,1.0,0,0,5791.365234375,1.0,31646.220703125
1,MI_dir_5_mean,1.0,0,0,644.0084838867188,42.0,1514.0
2,MI_dir_5_std,1.0,0,0,77502.03125,0.0,540588.0
3,MI_dir_3_weight,1.0,0,0,5786.83349609375,1.0,31646.55078125
4,MI_dir_3_mean,1.0,0,0,641.9752197265625,42.0,1514.0
5,MI_dir_3_std,1.0,0,0,76734.390625,0.0,541692.625
6,MI_dir_1_weight,1.0,0,0,5764.72900390625,1.0,31648.400390625
7,MI_dir_1_mean,1.0,0,0,639.0747680664062,42.0,1514.0
8,MI_dir_1_std,1.0,0,0,76087.625,0.0,541234.1875
9,MI_dir_0.1_weight,1.0,0,0,5572.388671875,1.0,31675.076171875
10,MI_dir_0.1_mean,1.0,0,0,634.6268920898438,42.0,1514.0
11,MI_dir_0.1_std,1.0,0,0,82446.109375,0.0,532779.6875
12,MI_dir_0.01_weight,1.0,0,0,8899.02734375,1.0,31910.103515625
13,MI_dir_0.01_mean,1.0,0,0,638.8093872070312,42.0,1514.0
14,MI_dir_0.01_std,1.0,0,0,78746.5546875,0.0,511171.5
15,H_5_weight,1.0,0,0,12207.2890625,1.0,63289.44921875
16,H_5_mean,1.0,0,0,644.1077880859375,42.0,1514.0
17,H_5_std,1.0,0,0,77510.6171875,0.0,541372.6875
18,H_3_weight,1.0,0,0,12197.966796875,1.0,63290.12109375
19,H_3_mean,1.0,0,0,642.0592651367188,42.0,1514.0
20,H_3_std,1.0,0,0,76827.3984375,0.0,540891.625
21,H_1_weight,1.0,0,0,12152.4169921875,1.0,63293.84765625
22,H_1_mean,1.0,0,0,639.0643920898438,42.0,1514.0
23,H_1_std,1.0,0,0,76444.4453125,0.0,540949.5625
24,H_0.1_weight,1.0,0,0,11742.9541015625,1.0,63347.15234375
25,H_0.1_mean,1.0,0,0,634.606689453125,42.0,1514.0
26,H_0.1_std,1.0,0,0,82511.4765625,0.0,532650.3125
27,H_0.01_weight,1.0,0,0,17973.404296875,1.0,63817.4140625
28,H_0.01_mean,1.0,0,0,638.875,42.0,1514.0
29,H_0.01_std,1.0,0,0,78745.8515625,0.0,503852.03125
30,HH_5_weight_0,1.0,0,0,12207.2890625,2.0,63290.44921875
31,HH_5_mean_0,1.0,0,0,644.0657348632812,42.0,1514.0
32,HH_5_std_0,1.0,0,0,77501.90625,0.0,540588.0
33,HH_5_radius_0_1,1.0,0,0,83153.6640625,0.0,613010.0625
34,HH_5_magnitude_0_1,1.0,0,0,622.6618041992188,42.0,1626.083984375
35,HH_5_covariance_0_1,1.0,0,0,5494.82373046875,-502326.0,32156.4296875
36,HH_5_pcc_0_1,1.0,0,0,4059.098876953125,-227506.53125,409143.8125
37,HH_3_weight_0,1.0,0,0,12197.966796875,2.0,63291.12109375
38,HH_3_mean_0,1.0,0,0,642.03271484375,42.0,1514.0
39,HH_3_std_0,1.0,0,0,76734.2734375,0.0,541692.625
40,HH_3_radius_0_1,1.0,0,0,81730.796875,0.0,593006.8125
41,HH_3_magnitude_0_1,1.0,0,0,621.0671997070312,42.0,1680.21484375
42,HH_3_covariance_0_1,1.0,0,0,5918.580078125,-521712.9375,32207.14453125
43,HH_3_pcc_0_1,1.0,0,0,2823.66162109375,-1877729.125,639407.875
44,HH_1_weight_0,1.0,0,0,12152.4169921875,2.0,63294.84765625
45,HH_1_mean_0,1.0,0,0,639.133544921875,42.0,1514.0
46,HH_1_std_0,1.0,0,0,76087.5390625,0.0,541234.1875
47,HH_1_radius_0_1,1.0,0,0,80884.8125,0.0,558094.625
48,HH_1_magnitude_0_1,1.0,0,0,618.7861328125,42.0,1788.107177734375
49,HH_1_covariance_0_1,1.0,0,0,6703.791015625,-558169.5,32177.45703125
50,HH_1_pcc_0_1,1.0,0,0,6910.642578125,-4737436.5,12162.9609375
51,HH_0.1_weight_0,1.0,0,0,11742.9541015625,2.0,63348.15234375
52,HH_0.1_mean_0,1.0,0,0,634.6902465820312,42.0,1514.0
53,HH_0.1_std_0,1.0,0,0,82446.546875,0.0,532779.6875
54,HH_0.1_radius_0_1,1.0,0,0,90007.9296875,0.0,533252.4375
55,HH_0.1_magnitude_0_1,1.0,0,0,613.5172119140625,42.0,1908.1046142578125
56,HH_0.1_covariance_0_1,1.0,0,0,7345.36328125,-579923.8125,16251.4970703125
57,HH_0.1_pcc_0_1,1.0,0,0,0.38654813170433044,-9.417987823486328,13.890191078186035
58,HH_0.01_weight_0,1.0,0,0,17973.404296875,2.0,63818.4140625
59,HH_0.01_mean_0,1.0,0,0,638.874755859375,42.0,1514.0
60,HH_0.01_std_0,1.0,0,0,78747.390625,0.0,511171.5
61,HH_0.01_radius_0_1,1.0,0,0,90250.0234375,0.0,511171.5
62,HH_0.01_magnitude_0_1,1.0,0,0,617.06982421875,42.0,2006.3936767578125
