evaluation_role,dataset,holdout,method,method_group,seed_group,n_seeds,roc_auc_mean,pr_auc_mean,pauc_fpr_1pct_mean,tpr_at_fpr_1pct_mean,attack_high_detection_mean,attack_high_detection_std,attack_high_detection_min,attack_high_detection_max,final_ood_high_alarm_mean,final_ood_high_alarm_max,feasible_rate,threshold_mean,support_size,feature_dim,selected_configs,train_time_mean,inference_time_mean,parameter_count_mean,provenance_clean_rate
consistency,harder_holdout,chrono_late_train_early_eval,F4_conservative_max_selected,targeted_fusion_retry,heldout_47_51,5,0.997993169877408,0.9850156589724801,0.9318483837752687,0.9778166958552248,0.9497956800934034,0.0,0.9497956800934034,0.9497956800934034,0.002,0.002,1.0,2.8155561495617247,32,2,beta_1.00,0.00011938000097870827,0.11731904000043869,0.0,1.0
consistency,harder_holdout,chrono_late_train_early_eval,F4_conservative_max_selected,targeted_fusion_retry,main_42_46,5,0.997993169877408,0.9850156589724801,0.9318483837752687,0.9778166958552248,0.9497956800934034,0.0,0.9497956800934034,0.9497956800934034,0.002,0.002,1.0,2.8155561495617247,32,2,beta_1.00,5.5819994304329154e-05,0.09827724000206217,0.0,1.0
consistency,harder_holdout,holdout_bin_2,F4_conservative_max_selected,targeted_fusion_retry,heldout_47_51,5,0.9989593471810089,0.9881967871935577,0.9653870241414788,0.9962908011869436,0.9428783382789317,0.0,0.9428783382789317,0.9428783382789317,0.0029,0.0029,1.0,2.556242965258015,32,2,beta_1.00,5.700000328943133e-05,0.10343224002281204,0.0,1.0
consistency,harder_holdout,holdout_bin_2,F4_conservative_max_selected,targeted_fusion_retry,main_42_46,5,0.9989593471810089,0.9881967871935577,0.9653870241414788,0.9962908011869436,0.9428783382789317,0.0,0.9428783382789317,0.9428783382789317,0.0029,0.0029,1.0,2.556242965258015,32,2,beta_1.00,7.770000956952572e-05,0.10225834001321346,0.0,1.0
consistency,primary_lowood,primary_lowood,F4_conservative_max_selected,targeted_fusion_retry,heldout_47_51,5,0.9921627345454546,0.9748241121451127,0.9609180447693012,0.9503999999999999,0.949090909090909,0.0,0.9490909090909091,0.9490909090909091,0.00506,0.0057,1.0,1.9129695528965076,32,2,beta_0.50;beta_1.00,5.059998948127031e-05,0.0996290400158614,0.0,1.0
consistency,primary_lowood,primary_lowood,F4_conservative_max_selected,targeted_fusion_retry,main_42_46,5,0.9926482181818181,0.9743152707444349,0.9562656920968479,0.9501090909090909,0.949090909090909,0.0,0.9490909090909091,0.9490909090909091,0.00522,0.0057,1.0,1.9149419684737314,32,2,beta_0.50;beta_0.75;beta_1.00,5.299999611452222e-05,0.10798965999856591,0.0,1.0
locked,locked_harder_holdout,holdout_bin_5,F4_conservative_max_selected,targeted_fusion_retry,heldout_47_51,5,0.9986431242873433,0.9898659193046451,0.9820424815067355,0.9744583808437856,0.9685290763968073,0.0010198713694411392,0.9680729760547321,0.9703534777651083,0.0054,0.0057,1.0,1.9470669667280993,32,2,beta_0.50;beta_0.75;beta_1.00,9.108000667765737e-05,0.09791765998816118,0.0,1.0
locked,locked_harder_holdout,holdout_bin_5,F4_conservative_max_selected,targeted_fusion_retry,main_42_46,5,0.998925701254276,0.9914180515534508,0.9816345123565375,0.9744583808437856,0.9685290763968073,0.0010198713694411392,0.9680729760547321,0.9703534777651083,0.0054199999999999995,0.0057,1.0,1.9470669667280993,32,2,beta_0.50;beta_0.75;beta_1.00,4.7820003237575294e-05,0.09745191998081282,0.0,1.0
locked,locked_harder_holdout,holdout_bin_6,F4_conservative_max_selected,targeted_fusion_retry,heldout_47_51,5,0.9986952047952048,0.9911902002974162,0.982890476357813,0.9742257742257742,0.97002997002997,0.0,0.97002997002997,0.97002997002997,0.00544,0.0057,1.0,1.9554021961189494,32,2,beta_0.50;beta_0.75;beta_1.00,5.2440003491938116e-05,0.10666975999483838,0.0,1.0
locked,locked_harder_holdout,holdout_bin_6,F4_conservative_max_selected,targeted_fusion_retry,main_42_46,5,0.9989637562437563,0.9925678647218301,0.9825159764858258,0.9742257742257742,0.97002997002997,0.0,0.97002997002997,0.97002997002997,0.0055,0.0057,1.0,1.9554021961189494,32,2,beta_0.50;beta_0.75;beta_1.00,6.322000408545136e-05,0.09980366000672802,0.0,1.0
