evaluation_role,dataset,holdout,method,seed_group,pauc_fpr_1pct_mean,tpr_at_fpr_1pct_mean,attack_high_detection_mean,final_ood_high_alarm_max,feasible_rate
consistency,harder_holdout,chrono_late_train_early_eval,F0_V1_baseline,heldout_47_51,0.8092256378213308,0.6903093987157034,0.6798015178050204,0.0018,1.0
consistency,harder_holdout,chrono_late_train_early_eval,F0_V1_baseline,main_42_46,0.8092256378213308,0.6903093987157034,0.6798015178050204,0.0018,1.0
consistency,harder_holdout,chrono_late_train_early_eval,F1_V2_top64_baseline,heldout_47_51,0.9539070131744536,0.9538820782253357,0.9500875656742556,0.0089,1.0
consistency,harder_holdout,chrono_late_train_early_eval,F1_V2_top64_baseline,main_42_46,0.9539070131744536,0.9538820782253357,0.9500875656742556,0.0089,1.0
consistency,harder_holdout,chrono_late_train_early_eval,F2_linear_alpha_selected,heldout_47_51,0.8330267801353528,0.7157034442498541,0.7078225335668418,0.0018,1.0
consistency,harder_holdout,chrono_late_train_early_eval,F2_linear_alpha_selected,main_42_46,0.8330267801353528,0.7157034442498541,0.7078225335668418,0.0018,1.0
consistency,harder_holdout,chrono_late_train_early_eval,F3_residual_lr_selected,heldout_47_51,0.8182447555934956,0.706071220081728,0.6970227670753065,0.0016,1.0
consistency,harder_holdout,chrono_late_train_early_eval,F3_residual_lr_selected,main_42_46,0.8182447555934956,0.706071220081728,0.6970227670753065,0.0016,1.0
consistency,harder_holdout,chrono_late_train_early_eval,F4_conservative_max_selected,heldout_47_51,0.9318483837752687,0.9778166958552248,0.9497956800934034,0.002,1.0
consistency,harder_holdout,chrono_late_train_early_eval,F4_conservative_max_selected,main_42_46,0.9318483837752687,0.9778166958552248,0.9497956800934034,0.002,1.0
consistency,harder_holdout,holdout_bin_2,F0_V1_baseline,heldout_47_51,0.6620118396134977,0.3479228486646884,0.3264094955489614,0.0011,1.0
consistency,harder_holdout,holdout_bin_2,F0_V1_baseline,main_42_46,0.6620118396134977,0.3479228486646884,0.3264094955489614,0.0011,1.0
consistency,harder_holdout,holdout_bin_2,F1_V2_top64_baseline,heldout_47_51,0.9734838882841508,0.9770029673590506,0.9740356083086054,0.0057,1.0
consistency,harder_holdout,holdout_bin_2,F1_V2_top64_baseline,main_42_46,0.9734838882841508,0.9770029673590506,0.9740356083086054,0.0057,1.0
consistency,harder_holdout,holdout_bin_2,F2_linear_alpha_selected,heldout_47_51,0.7461133560979973,0.5186943620178042,0.48857566765578636,0.0025,1.0
consistency,harder_holdout,holdout_bin_2,F2_linear_alpha_selected,main_42_46,0.7176721888373618,0.4586053412462908,0.434272997032641,0.0009,1.0
consistency,harder_holdout,holdout_bin_2,F3_residual_lr_selected,heldout_47_51,0.6909585017073498,0.4094955489614243,0.3805637982195846,0.0013,1.0
consistency,harder_holdout,holdout_bin_2,F3_residual_lr_selected,main_42_46,0.6909585017073498,0.4094955489614243,0.3805637982195846,0.0013,1.0
consistency,harder_holdout,holdout_bin_2,F4_conservative_max_selected,heldout_47_51,0.9653870241414788,0.9962908011869436,0.9428783382789317,0.0029,1.0
consistency,harder_holdout,holdout_bin_2,F4_conservative_max_selected,main_42_46,0.9653870241414788,0.9962908011869436,0.9428783382789317,0.0029,1.0
consistency,primary_lowood,primary_lowood,F0_V1_baseline,heldout_47_51,0.9378784833257197,0.9403636363636364,0.9294545454545455,0.0036,1.0
consistency,primary_lowood,primary_lowood,F0_V1_baseline,main_42_46,0.9378784833257197,0.9403636363636364,0.9294545454545455,0.0036,1.0
consistency,primary_lowood,primary_lowood,F1_V2_top64_baseline,heldout_47_51,0.9670278666057561,0.9512727272727272,0.9476363636363636,0.0037,1.0
consistency,primary_lowood,primary_lowood,F1_V2_top64_baseline,main_42_46,0.9670278666057561,0.9512727272727272,0.9476363636363636,0.0037,1.0
consistency,primary_lowood,primary_lowood,F2_linear_alpha_selected,heldout_47_51,0.971113750571037,0.9527272727272728,0.9483636363636364,0.0023,1.0
consistency,primary_lowood,primary_lowood,F2_linear_alpha_selected,main_42_46,0.9719243490178163,0.9537454545454546,0.9486545454545455,0.0024,1.0
consistency,primary_lowood,primary_lowood,F3_residual_lr_selected,heldout_47_51,0.9585893101873001,0.9512727272727272,0.949090909090909,0.0044,1.0
consistency,primary_lowood,primary_lowood,F3_residual_lr_selected,main_42_46,0.9585893101873001,0.9512727272727272,0.949090909090909,0.0044,1.0
consistency,primary_lowood,primary_lowood,F4_conservative_max_selected,heldout_47_51,0.9609180447693012,0.9503999999999999,0.949090909090909,0.0057,1.0
consistency,primary_lowood,primary_lowood,F4_conservative_max_selected,main_42_46,0.9562656920968479,0.9501090909090909,0.949090909090909,0.0057,1.0
locked,locked_harder_holdout,holdout_bin_5,F0_V1_baseline,heldout_47_51,0.9591572457498438,0.9828962371721779,0.9669327251995439,0.0019,1.0
locked,locked_harder_holdout,holdout_bin_5,F0_V1_baseline,main_42_46,0.9591572457498438,0.9828962371721779,0.9669327251995439,0.0019,1.0
locked,locked_harder_holdout,holdout_bin_5,F1_V2_top64_baseline,heldout_47_51,0.9830738641898202,0.9680729760547321,0.9680729760547321,0.0045,1.0
