evaluation_role,dataset,holdout,seed_group,alpha,n_seeds,selected_by_validation_rate,attack_high_detection_mean,final_ood_high_alarm_max,feasible_rate,roc_auc_mean,pr_auc_mean,pauc_fpr_1pct_mean
locked,locked_harder_holdout,holdout_bin_5,main_42_46,0.8,5,0.0,0.9680729760547321,0.0025,1.0,0.9848220068415051,0.9749798852995453,0.9838072918755694
locked,locked_harder_holdout,holdout_bin_5,heldout_47_51,0.9,5,1.0,0.9680729760547321,0.0032,1.0,0.9827901938426453,0.9737068614216348,0.9836411246655171
locked,locked_harder_holdout,holdout_bin_5,main_42_46,0.9,5,0.8,0.9680729760547321,0.0032,1.0,0.9827901938426453,0.9737068614216348,0.9836411246655171
locked,locked_harder_holdout,holdout_bin_6,heldout_47_51,0.5,5,0.0,0.97002997002997,0.0008,1.0,0.9919522477522478,0.9868050689689027,0.986039086541599
locked,locked_harder_holdout,holdout_bin_6,main_42_46,0.5,5,0.2,0.97002997002997,0.0008,1.0,0.9919522477522478,0.9868050689689027,0.986039086541599
locked,locked_harder_holdout,holdout_bin_6,heldout_47_51,0.6,5,0.0,0.97002997002997,0.0012,1.0,0.9900374625374624,0.982646990029837,0.9848995225879648
locked,locked_harder_holdout,holdout_bin_6,main_42_46,0.6,5,0.0,0.97002997002997,0.0012,1.0,0.9900374625374624,0.982646990029837,0.9848995225879648
locked,locked_harder_holdout,holdout_bin_6,heldout_47_51,0.7,5,0.0,0.97002997002997,0.0017,1.0,0.9880391608391609,0.9793915287590668,0.9848744220603518
locked,locked_harder_holdout,holdout_bin_6,main_42_46,0.7,5,0.0,0.97002997002997,0.0017,1.0,0.9880391608391609,0.9793915287590668,0.9848744220603518
locked,locked_harder_holdout,holdout_bin_6,heldout_47_51,0.8,5,0.0,0.97002997002997,0.0025,1.0,0.9861263736263736,0.9774090934069356,0.9848292411106483
locked,locked_harder_holdout,holdout_bin_6,main_42_46,0.8,5,0.0,0.97002997002997,0.0025,1.0,0.9861263736263736,0.9774090934069356,0.9848292411106483
locked,locked_harder_holdout,holdout_bin_6,heldout_47_51,0.9,5,1.0,0.97002997002997,0.0035,1.0,0.98431988011988,0.9760598702684089,0.9846836580504922
locked,locked_harder_holdout,holdout_bin_6,main_42_46,0.9,5,0.8,0.97002997002997,0.0035,1.0,0.98431988011988,0.9760598702684089,0.9846836580504922
locked,locked_harder_holdout,holdout_bin_7,heldout_47_51,0.5,5,0.0,0.9780893952673095,0.0009,1.0,0.9912290096406661,0.9847551788616075,0.9889896458629694
locked,locked_harder_holdout,holdout_bin_7,main_42_46,0.5,5,0.0,0.9780893952673095,0.0009,1.0,0.9912290096406661,0.9847551788616075,0.9889896458629694
locked,locked_harder_holdout,holdout_bin_7,heldout_47_51,0.6,5,0.0,0.9780893952673095,0.0013,1.0,0.9885139351446102,0.9828324291253079,0.9889896458629694
locked,locked_harder_holdout,holdout_bin_7,main_42_46,0.6,5,0.2,0.9780893952673095,0.0013,1.0,0.9885139351446102,0.9828324291253079,0.9889896458629694
locked,locked_harder_holdout,holdout_bin_7,heldout_47_51,0.7,5,0.0,0.9780893952673095,0.0019,1.0,0.9863808063102543,0.9819053809173133,0.9889896458629694
locked,locked_harder_holdout,holdout_bin_7,main_42_46,0.7,5,0.0,0.9780893952673095,0.0019,1.0,0.9863808063102543,0.9819053809173133,0.9889896458629694
locked,locked_harder_holdout,holdout_bin_7,heldout_47_51,0.8,5,0.0,0.9780893952673095,0.0024,1.0,0.9845349693251533,0.9813378581528358,0.988932392021457
locked,locked_harder_holdout,holdout_bin_7,main_42_46,0.8,5,0.0,0.9780893952673095,0.0024,1.0,0.9845349693251533,0.9813378581528358,0.988932392021457
locked,locked_harder_holdout,holdout_bin_7,heldout_47_51,0.9,5,1.0,0.9780893952673095,0.003,1.0,0.9830940403155127,0.9809445435972591,0.9885976772556913
locked,locked_harder_holdout,holdout_bin_7,main_42_46,0.9,5,0.8,0.9780893952673095,0.003,1.0,0.9830940403155127,0.9809445435972591,0.9885976772556913
locked,locked_harder_holdout,holdout_bin_8,heldout_47_51,0.5,5,0.2,0.8896713615023474,0.0022,1.0,0.9791298122065728,0.9355457285302535,0.9446292495340554
locked,locked_harder_holdout,holdout_bin_8,main_42_46,0.5,5,0.2,0.8896713615023474,0.0022,1.0,0.9791298122065728,0.9355457285302535,0.9446292495340554
locked,locked_harder_holdout,holdout_bin_8,heldout_47_51,0.6,5,0.0,0.8896713615023474,0.0017,1.0,0.9763652582159625,0.9302771553278812,0.9455493429589261
locked,locked_harder_holdout,holdout_bin_8,main_42_46,0.6,5,0.0,0.8896713615023474,0.0017,1.0,0.9763652582159625,0.9302771553278812,0.9455493429589261
locked,locked_harder_holdout,holdout_bin_8,heldout_47_51,0.7,5,0.0,0.8896713615023474,0.0017,1.0,0.9735833333333334,0.9254467329368637,0.9451246844551395
locked,locked_harder_holdout,holdout_bin_8,main_42_46,0.7,5,0.0,0.8896713615023474,0.0017,1.0,0.9735833333333334,0.9254467329368637,0.9451246844551395
locked,locked_harder_holdout,holdout_bin_8,heldout_47_51,0.8,5,0.0,0.8896713615023474,0.0016,1.0,0.9705638497652582,0.9208906402407913,0.9441809988911697
locked,locked_harder_holdout,holdout_bin_8,main_42_46,0.8,5,0.0,0.8896713615023474,0.0016,1.0,0.9705638497652582,0.9208906402407913,0.9441809988911697
locked,locked_harder_holdout,holdout_bin_8,heldout_47_51,0.9,5,0.8,0.8873239436619718,0.0026,1.0,0.9678335680751176,0.9167634500275061,0.9422110552763818
locked,locked_harder_holdout,holdout_bin_8,main_42_46,0.9,5,0.8,0.8873239436619718,0.0026,1.0,0.9678335680751176,0.9167634500275061,0.9422110552763818
