holdout,support_method,seed_group,split,n_rows,ood_target,target_label,margin_mean,margin_std,margin_min,margin_max,margin_q01,margin_q05,margin_q10,margin_q25,margin_q50,margin_q75,margin_q90,margin_q95,margin_q99
chrono_late_train_early_eval,kcenter_32shot,heldout_47_51,attack_eval,17130,0.005,0.5pct,-5.611985463449958,35.35415084139234,-106.32574382568575,32.573210770153096,-96.37619601586951,-84.7893996820023,-70.56149690478775,-17.934670771026077,12.16569237870276,17.658435829947283,21.0033376431689,23.15969085268856,28.975211686519646
chrono_late_train_early_eval,kcenter_32shot,heldout_47_51,attack_eval,17130,0.01,1pct,-5.067749620419341,35.35415084139234,-105.78150798265514,33.117446613183716,-95.8319601728389,-84.24516383897169,-70.01726106175714,-17.390434927995464,12.709928221733374,18.2026716729779,21.547573486199518,23.703926695719176,29.519447529550263
chrono_late_train_early_eval,kcenter_32shot,heldout_47_51,attack_eval,17130,0.02,2pct,-4.626647611434814,35.35415084139234,-105.34040597367061,33.55854862216824,-95.39085816385438,-83.80406182998716,-69.57615905277261,-16.949332919010935,13.151030230717902,18.643773681962426,21.988675495184044,24.1450287047037,29.96054953853479
chrono_late_train_early_eval,kcenter_32shot,heldout_47_51,final_ood_eval,50000,0.005,0.5pct,-6.4208661697152225,8.116309798839811,-211.40753118115126,43.21047409830933,-23.261281881903514,-11.36919153120222,-8.068346114284594,-6.579441468005006,-5.441123992190071,-4.616893952644753,-3.6784463804826366,-3.125299943091544,-2.113282004796365
chrono_late_train_early_eval,kcenter_32shot,heldout_47_51,final_ood_eval,50000,0.01,1pct,-5.876630326684606,8.116309798839811,-210.86329533812065,43.75470994133995,-22.717046038872898,-10.824955688171606,-7.5241102712539805,-6.035205624974392,-4.896888149159456,-4.072658109614139,-3.1342105374520215,-2.581064100060929,-1.5690461617657496
chrono_late_train_early_eval,kcenter_32shot,heldout_47_51,final_ood_eval,50000,0.02,2pct,-5.435528317700079,8.116309798839811,-210.42219332913612,44.19581195032447,-22.27594402988837,-10.383853679187078,-7.083008262269453,-5.594103615989864,-4.455786140174928,-3.631556100629612,-2.6931085284674943,-2.1399620910764017,-1.1279441527812224
chrono_late_train_early_eval,kcenter_32shot,main_42_46,attack_eval,17130,0.005,0.5pct,-5.611985463449958,35.35415084139234,-106.32574382568575,32.573210770153096,-96.37619601586951,-84.7893996820023,-70.56149690478775,-17.934670771026077,12.16569237870276,17.658435829947283,21.0033376431689,23.15969085268856,28.975211686519646
chrono_late_train_early_eval,kcenter_32shot,main_42_46,attack_eval,17130,0.01,1pct,-5.067749620419341,35.35415084139234,-105.78150798265514,33.117446613183716,-95.8319601728389,-84.24516383897169,-70.01726106175714,-17.390434927995464,12.709928221733374,18.2026716729779,21.547573486199518,23.703926695719176,29.519447529550263
chrono_late_train_early_eval,kcenter_32shot,main_42_46,attack_eval,17130,0.02,2pct,-4.626647611434814,35.35415084139234,-105.34040597367061,33.55854862216824,-95.39085816385438,-83.80406182998716,-69.57615905277261,-16.949332919010935,13.151030230717902,18.643773681962426,21.988675495184044,24.1450287047037,29.96054953853479
chrono_late_train_early_eval,kcenter_32shot,main_42_46,final_ood_eval,50000,0.005,0.5pct,-6.4208661697152225,8.116309798839811,-211.40753118115126,43.21047409830933,-23.261281881903514,-11.36919153120222,-8.068346114284594,-6.579441468005006,-5.441123992190071,-4.616893952644753,-3.6784463804826366,-3.125299943091544,-2.113282004796365
