holdout,support_method,seed,split,n_rows,label,score_min,score_max
chrono_late_train_early_eval,kcenter_32shot,42,attack_eval,3426,attack,-108.98485567646642,29.914098919372428
chrono_late_train_early_eval,kcenter_32shot,42,attack_train_support,32,attack_support,4.216927432875698,32.19557902168414
chrono_late_train_early_eval,kcenter_32shot,42,final_ood_eval,10000,ood_benign,-214.06664303193193,40.55136224752866
chrono_late_train_early_eval,kcenter_32shot,42,id_calibration,5000,id_benign,-12.50620045240239,-1.5497799482822536
chrono_late_train_early_eval,kcenter_32shot,42,ood_validation,2000,ood_benign,-26.714183167223588,-3.311433902221472
chrono_late_train_early_eval,kcenter_32shot,43,attack_eval,3426,attack,-108.98485567646642,29.914098919372428
chrono_late_train_early_eval,kcenter_32shot,43,attack_train_support,32,attack_support,4.216927432875698,32.19557902168414
chrono_late_train_early_eval,kcenter_32shot,43,final_ood_eval,10000,ood_benign,-214.06664303193193,40.55136224752866
chrono_late_train_early_eval,kcenter_32shot,43,id_calibration,5000,id_benign,-12.50620045240239,-1.5497799482822536
chrono_late_train_early_eval,kcenter_32shot,43,ood_validation,2000,ood_benign,-26.714183167223588,-3.311433902221472
chrono_late_train_early_eval,kcenter_32shot,44,attack_eval,3426,attack,-108.98485567646642,29.914098919372428
chrono_late_train_early_eval,kcenter_32shot,44,attack_train_support,32,attack_support,4.216927432875698,32.19557902168414
chrono_late_train_early_eval,kcenter_32shot,44,final_ood_eval,10000,ood_benign,-214.06664303193193,40.55136224752866
chrono_late_train_early_eval,kcenter_32shot,44,id_calibration,5000,id_benign,-12.50620045240239,-1.5497799482822536
chrono_late_train_early_eval,kcenter_32shot,44,ood_validation,2000,ood_benign,-26.714183167223588,-3.311433902221472
chrono_late_train_early_eval,kcenter_32shot,45,attack_eval,3426,attack,-108.98485567646642,29.914098919372428
chrono_late_train_early_eval,kcenter_32shot,45,attack_train_support,32,attack_support,4.216927432875698,32.19557902168414
chrono_late_train_early_eval,kcenter_32shot,45,final_ood_eval,10000,ood_benign,-214.06664303193193,40.55136224752866
chrono_late_train_early_eval,kcenter_32shot,45,id_calibration,5000,id_benign,-12.50620045240239,-1.5497799482822536
chrono_late_train_early_eval,kcenter_32shot,45,ood_validation,2000,ood_benign,-26.714183167223588,-3.311433902221472
chrono_late_train_early_eval,kcenter_32shot,46,attack_eval,3426,attack,-108.98485567646642,29.914098919372428
chrono_late_train_early_eval,kcenter_32shot,46,attack_train_support,32,attack_support,4.216927432875698,32.19557902168414
chrono_late_train_early_eval,kcenter_32shot,46,final_ood_eval,10000,ood_benign,-214.06664303193193,40.55136224752866
chrono_late_train_early_eval,kcenter_32shot,46,id_calibration,5000,id_benign,-12.50620045240239,-1.5497799482822536
chrono_late_train_early_eval,kcenter_32shot,46,ood_validation,2000,ood_benign,-26.714183167223588,-3.311433902221472
chrono_late_train_early_eval,kcenter_32shot,47,attack_eval,3426,attack,-108.98485567646642,29.914098919372428
chrono_late_train_early_eval,kcenter_32shot,47,attack_train_support,32,attack_support,4.216927432875698,32.19557902168414
chrono_late_train_early_eval,kcenter_32shot,47,final_ood_eval,10000,ood_benign,-214.06664303193193,40.55136224752866
chrono_late_train_early_eval,kcenter_32shot,47,id_calibration,5000,id_benign,-12.50620045240239,-1.5497799482822536
chrono_late_train_early_eval,kcenter_32shot,47,ood_validation,2000,ood_benign,-26.714183167223588,-3.311433902221472
chrono_late_train_early_eval,kcenter_32shot,48,attack_eval,3426,attack,-108.98485567646642,29.914098919372428
chrono_late_train_early_eval,kcenter_32shot,48,attack_train_support,32,attack_support,4.216927432875698,32.19557902168414
