holdout,support_method,seed_group,split,n_rows,score_mean,score_std,score_min,score_max,score_q01,score_q05,score_q10,score_q25,score_q50,score_q75,score_q90,score_q95,score_q99
chrono_late_train_early_eval,kcenter_32shot,heldout_47_51,attack_eval,17130,-8.271097314230628,35.35415084139234,-108.98485567646642,29.914098919372428,-99.03530786665019,-87.44851153278297,-73.22060875556842,-20.59378262180675,9.506580527922088,14.999323979166613,18.34422579238823,20.500579001907887,26.316099835738974
chrono_late_train_early_eval,kcenter_32shot,heldout_47_51,final_ood_eval,50000,-9.079978020495892,8.116309798839811,-214.06664303193193,40.55136224752866,-25.920393732684186,-14.028303381982893,-10.727457965065266,-9.238553318785678,-8.100235842970744,-7.276005803425425,-6.3375582312633085,-5.7844117938722155,-4.772393855577036
chrono_late_train_early_eval,kcenter_32shot,main_42_46,attack_eval,17130,-8.271097314230628,35.35415084139234,-108.98485567646642,29.914098919372428,-99.03530786665019,-87.44851153278297,-73.22060875556842,-20.59378262180675,9.506580527922088,14.999323979166613,18.34422579238823,20.500579001907887,26.316099835738974
chrono_late_train_early_eval,kcenter_32shot,main_42_46,final_ood_eval,50000,-9.079978020495892,8.116309798839811,-214.06664303193193,40.55136224752866,-25.920393732684186,-14.028303381982893,-10.727457965065266,-9.238553318785678,-8.100235842970744,-7.276005803425425,-6.3375582312633085,-5.7844117938722155,-4.772393855577036
chrono_late_train_early_eval,random_32shot_baseline,heldout_47_51,attack_eval,17130,-1.086238192505381,24.61771175221124,-91.18418682031124,43.3065697251087,-80.16092066538998,-61.018587177854776,-39.94026527281011,-6.803938531018974,8.116276928787133,14.066895880919779,18.444363942119505,21.75371597296143,28.626039410704887
chrono_late_train_early_eval,random_32shot_baseline,heldout_47_51,final_ood_eval,50000,-9.078355834201755,10.107951484268723,-584.6300674473894,43.41166789288539,-26.049091749623642,-13.827122549336467,-11.0508017491076,-9.076669185072035,-7.967207453498417,-7.3221356456869735,-6.600728412227173,-6.138750832184174,-5.227317687984976
chrono_late_train_early_eval,random_32shot_baseline,main_42_46,attack_eval,17130,-5.852947087962998,31.226799525624504,-109.28931319368081,29.89137463617566,-93.46782155532462,-75.54819715630602,-60.35545478853133,-17.505201206763264,9.280703356376264,14.840340933230994,17.599841426000744,19.677317059942126,23.243042401322363
chrono_late_train_early_eval,random_32shot_baseline,main_42_46,final_ood_eval,50000,-9.50444542048705,8.712576341761471,-361.9448204205118,39.33274276144488,-26.378275029667993,-14.597299127456248,-12.057495090383341,-9.668412236133491,-8.393437422525889,-7.4694143970168865,-6.487822264590367,-5.936311754439894,-4.991823525941044
holdout_bin_2,kcenter_32shot,heldout_47_51,attack_eval,6740,-28.425751921849653,31.76095815893693,-106.21245426460287,18.60757052097445,-102.42807647353006,-78.57413079506934,-73.60908763751513,-54.94571099149336,-21.63629693783279,1.2561582856381879,8.363929490389502,10.101090520799588,12.548976795675
holdout_bin_2,kcenter_32shot,heldout_47_51,final_ood_eval,50000,-10.11348358294656,11.077049432135226,-351.4125168489987,23.958422760638648,-26.568090888684853,-14.960747997690145,-12.860295866923192,-10.362223333948116,-8.91281762640893,-7.789655989925635,-6.732030257434217,-6.03112547489102,-4.903338863794831
holdout_bin_2,kcenter_32shot,main_42_46,attack_eval,6740,-28.425751921849653,31.76095815893693,-106.21245426460287,18.60757052097445,-102.42807647353006,-78.57413079506934,-73.60908763751513,-54.94571099149336,-21.63629693783279,1.2561582856381879,8.363929490389502,10.101090520799588,12.548976795675
holdout_bin_2,kcenter_32shot,main_42_46,final_ood_eval,50000,-10.11348358294656,11.077049432135226,-351.4125168489987,23.958422760638648,-26.568090888684853,-14.960747997690145,-12.860295866923192,-10.362223333948116,-8.91281762640893,-7.789655989925635,-6.732030257434217,-6.03112547489102,-4.903338863794831
holdout_bin_2,random_32shot_baseline,heldout_47_51,attack_eval,6740,-34.315595407377614,29.520891208082986,-101.62268666341309,11.19562999990588,-89.00413807945161,-79.4384071968356,-72.84400113300367,-61.20906156959512,-32.88281437619792,-5.3655412398937035,3.291587432012573,5.272202031088829,7.444305231292686
holdout_bin_2,random_32shot_baseline,heldout_47_51,final_ood_eval,50000,-9.01857826456656,7.670213662255464,-264.98246509783235,43.51857200773968,-23.15117808286658,-13.297517868186423,-10.823729824718786,-9.170752218135764,-8.145711601212323,-7.279044303784631,-6.461100605436308,-5.9246409182418684,-4.979584492850478
holdout_bin_2,random_32shot_baseline,main_42_46,attack_eval,6740,-23.821006271178604,27.063278381438657,-94.80510855053399,17.770683577263444,-79.75158410626787,-71.31505634398266,-66.24909918368976,-47.871137877106094,-18.028451747095986,0.5429356220220463,6.844012862387631,9.336761537354624,13.515717106472863
holdout_bin_2,random_32shot_baseline,main_42_46,final_ood_eval,50000,-8.889715708143651,4.757216339055328,-154.82833668970696,73.79246764621703,-22.992480442960467,-12.68810744896424,-10.736139255827156,-9.243664549600444,-8.269299565463285,-7.4663128691428495,-6.682490242872119,-6.23240521121333,-5.241965242672833
