holdout,seed_group,target_label,delta_attack_q25_margin_kcenter_minus_random,delta_attack_q50_margin_kcenter_minus_random,delta_attack_q75_margin_kcenter_minus_random,delta_attack_median_minus_ood_q99,delta_fraction_attack_far_below_threshold
chrono_late_train_early_eval,heldout_47_51,0.5pct,-14.337781286732866,0.8423664031898621,0.3844909023017422,0.9353797667270154,0.049737302977232944
chrono_late_train_early_eval,heldout_47_51,1pct,-14.1465111263849,1.0336365635378328,0.5757610626497112,0.9353797667270154,0.047577349678925906
chrono_late_train_early_eval,heldout_47_51,2pct,-14.085601731564708,1.0945459583580224,0.6366704574699007,0.9353797667270154,0.047927612375948614
chrono_late_train_early_eval,main_42_46,0.5pct,-3.0760825476210822,0.23837603896822657,0.1714819133580221,0.006447501181815696,0.005370694687682476
chrono_late_train_early_eval,main_42_46,1pct,-3.218184081307875,0.09627450528143555,0.029380379671231083,0.006447501181815696,0.004553415061295973
chrono_late_train_early_eval,main_42_46,2pct,-3.030003133189691,0.28445545339961775,0.2175613277894115,0.006447501181815696,0.0039696438995913685
holdout_bin_2,heldout_47_51,0.5pct,5.783902442026246,10.767069302289617,6.142251389456376,11.170271809309483,-0.10816023738872393
holdout_bin_2,heldout_47_51,1pct,5.794228867074054,10.777395727337417,6.152577814504177,11.170271809309483,-0.10163204747774479
holdout_bin_2,heldout_47_51,2pct,5.956581530275017,10.939748390538387,6.314930477705145,11.170271809309483,-0.10103857566765584
holdout_bin_2,main_42_46,0.5pct,-8.59839430735314,-5.131666383702683,-0.8105985293497366,-3.9464715696148076,0.0028189910979229404
holdout_bin_2,main_42_46,1pct,-8.442166469637229,-4.975438545986776,-0.6543706916338303,-3.9464715696148076,0.0071216617210682065
holdout_bin_2,main_42_46,2pct,-8.325618365164942,-4.858890441514479,-0.5378225871615365,-3.9464715696148076,0.00875370919881302
