holdout,support_method,seed_group,ood_target,target_label,n_seeds,attack_high_detection_mean,attack_high_detection_min,attack_high_detection_max,ood_high_alarm_mean,ood_high_alarm_max,feasible_rate_for_target,feasible_rate_for_1pct,threshold_mean,roc_auc_mean,pr_auc_mean,attack_margin_q25_mean,attack_margin_q50_mean,attack_margin_q75_mean,ood_margin_q99_mean
chrono_late_train_early_eval,kcenter_32shot,heldout_47_51,0.005,0.5pct,5,0.6771745475773496,0.6771745475773496,0.6771745475773496,0.0014,0.0014,1.0,1.0,-2.6591118507806715,0.705273963806188,0.7560938824515404,-17.92240012601413,12.16569237870276,17.654658563047132,-2.1132820047963703
chrono_late_train_early_eval,kcenter_32shot,heldout_47_51,0.01,1pct,5,0.6798015178050204,0.6798015178050204,0.6798015178050204,0.0018,0.0018,1.0,1.0,-3.203347693811287,0.705273963806188,0.7560938824515404,-17.378164282983516,12.709928221733374,18.19889440607775,-1.569046161765755
chrono_late_train_early_eval,kcenter_32shot,heldout_47_51,0.02,2pct,5,0.6827203736135435,0.6827203736135435,0.6827203736135435,0.0028,0.0028,1.0,1.0,-3.6444497027958134,0.705273963806188,0.7560938824515404,-16.937062273998986,13.151030230717902,18.639996415062274,-1.1279441527812277
chrono_late_train_early_eval,kcenter_32shot,main_42_46,0.005,0.5pct,5,0.6771745475773496,0.6771745475773496,0.6771745475773496,0.0014,0.0014,1.0,1.0,-2.6591118507806715,0.705273963806188,0.7560938824515404,-17.92240012601413,12.16569237870276,17.654658563047132,-2.1132820047963703
chrono_late_train_early_eval,kcenter_32shot,main_42_46,0.01,1pct,5,0.6798015178050204,0.6798015178050204,0.6798015178050204,0.0018,0.0018,1.0,1.0,-3.203347693811287,0.705273963806188,0.7560938824515404,-17.378164282983516,12.709928221733374,18.19889440607775,-1.569046161765755
chrono_late_train_early_eval,kcenter_32shot,main_42_46,0.02,2pct,5,0.6827203736135435,0.6827203736135435,0.6827203736135435,0.0028,0.0028,1.0,1.0,-3.6444497027958134,0.705273963806188,0.7560938824515404,-16.937062273998986,13.151030230717902,18.639996415062274,-1.1279441527812277
chrono_late_train_early_eval,random_32shot_baseline,heldout_47_51,0.005,0.5pct,5,0.7308231173380035,0.6818447168709866,0.7831290134267367,0.00114,0.0019,1.0,1.0,-3.5022371219064974,0.7625436368943375,0.8044345486915176,-5.508259273685299,11.702876465801868,17.850538675092196,-1.8919567930930117
chrono_late_train_early_eval,random_32shot_baseline,heldout_47_51,0.01,1pct,5,0.733800350262697,0.6868067717454758,0.7848803269118505,0.0015,0.0024,1.0,1.0,-3.9370342535475364,0.7625436368943375,0.8044345486915176,-5.073462142044261,12.137673597442907,18.285335806733233,-1.4571596614519726
chrono_late_train_early_eval,random_32shot_baseline,heldout_47_51,0.02,2pct,5,0.7355516637478108,0.6873905429071804,0.7851722124927029,0.0018800000000000002,0.003,1.0,1.0,-4.201829358210309,0.7625436368943375,0.8044345486915176,-4.808667037381488,12.402468702105677,18.550130911396003,-1.1923645567892005
chrono_late_train_early_eval,random_32shot_baseline,main_42_46,0.005,0.5pct,5,0.6894337419731464,0.6792177466433158,0.6935201401050788,0.0013,0.0014,1.0,1.0,-2.748870879698226,0.7201123876240514,0.7688526724278277,-14.851557746958814,12.070511448540145,17.619230390604336,-2.253220502075336
