holdout,support_method,seed_group,ood_target,target_label,threshold,attack_median_minus_ood_q99,attack_q25_minus_threshold,attack_q50_minus_threshold,attack_q75_minus_threshold,fraction_attack_near_threshold,fraction_attack_far_below_threshold,fraction_ood_near_threshold
chrono_late_train_early_eval,kcenter_32shot,heldout_47_51,0.005,0.5pct,-2.6591118507806715,14.278974383499124,-17.934670771026077,12.16569237870276,17.658435829947283,0.017221249270286048,0.3108581436077058,0.0066
chrono_late_train_early_eval,kcenter_32shot,heldout_47_51,0.01,1pct,-3.2033476938112866,14.278974383499124,-17.390434927995464,12.709928221733374,18.2026716729779,0.0198482194979568,0.3067717454757735,0.0175
chrono_late_train_early_eval,kcenter_32shot,heldout_47_51,0.02,2pct,-3.644449702795814,14.278974383499124,-16.949332919010935,13.151030230717902,18.643773681962426,0.02130764740221833,0.30502043199065965,0.0352
chrono_late_train_early_eval,kcenter_32shot,main_42_46,0.005,0.5pct,-2.6591118507806715,14.278974383499124,-17.934670771026077,12.16569237870276,17.658435829947283,0.017221249270286048,0.3108581436077058,0.0066
chrono_late_train_early_eval,kcenter_32shot,main_42_46,0.01,1pct,-3.2033476938112866,14.278974383499124,-17.390434927995464,12.709928221733374,18.2026716729779,0.0198482194979568,0.3067717454757735,0.0175
chrono_late_train_early_eval,kcenter_32shot,main_42_46,0.02,2pct,-3.644449702795814,14.278974383499124,-16.949332919010935,13.151030230717902,18.643773681962426,0.02130764740221833,0.30502043199065965,0.0352
chrono_late_train_early_eval,random_32shot_baseline,heldout_47_51,0.005,0.5pct,-3.2070490467257633,13.343594616772108,-3.596889484293211,11.323325975512898,17.27394492764554,0.02621132516053707,0.26112084063047286,0.00386
chrono_late_train_early_eval,random_32shot_baseline,heldout_47_51,0.01,1pct,-3.560014729408409,13.343594616772108,-3.243923801610565,11.676291658195542,17.62691061032819,0.02469352014010508,0.2591943957968476,0.00752
chrono_late_train_early_eval,random_32shot_baseline,heldout_47_51,0.02,2pct,-3.9402073435727467,13.343594616772108,-2.8637311874462275,12.05648427235988,18.007103224492525,0.02329246935201401,0.25709281961471103,0.01498
chrono_late_train_early_eval,random_32shot_baseline,main_42_46,0.005,0.5pct,-2.6466129833582683,14.272526882317308,-14.858588223404995,11.927316339734533,17.48695391658926,0.013718622300058377,0.30548744892002333,0.00302
chrono_late_train_early_eval,random_32shot_baseline,main_42_46,0.01,1pct,-3.332950360075675,14.272526882317308,-14.17225084668759,12.613653716451939,18.17329129330667,0.012784588441330999,0.30221833041447754,0.01064
chrono_late_train_early_eval,random_32shot_baseline,main_42_46,0.02,2pct,-3.5858714209420204,14.272526882317308,-13.919329785821244,12.866574777318284,18.426212354173014,0.013251605370694688,0.3010507880910683,0.01844
holdout_bin_2,kcenter_32shot,heldout_47_51,0.005,0.5pct,-2.581646605551015,-16.73295807403796,-52.36406438594234,-19.054650332281774,3.837804891189203,0.04228486646884273,0.6550445103857567,0.0025
holdout_bin_2,kcenter_32shot,heldout_47_51,0.01,1pct,-3.126371385544741,-16.73295807403796,-51.81933960594861,-18.50992555228805,4.382529671182929,0.039317507418397624,0.6528189910979229,0.0064
holdout_bin_2,kcenter_32shot,heldout_47_51,0.02,2pct,-3.5529003738716143,-16.73295807403796,-51.39281061762174,-18.083396563961173,4.809058659509802,0.039317507418397624,0.6491097922848664,0.0156
holdout_bin_2,kcenter_32shot,main_42_46,0.005,0.5pct,-2.581646605551015,-16.73295807403796,-52.36406438594234,-19.054650332281774,3.837804891189203,0.04228486646884273,0.6550445103857567,0.0025
holdout_bin_2,kcenter_32shot,main_42_46,0.01,1pct,-3.126371385544741,-16.73295807403796,-51.81933960594861,-18.50992555228805,4.382529671182929,0.039317507418397624,0.6528189910979229,0.0064
holdout_bin_2,kcenter_32shot,main_42_46,0.02,2pct,-3.5529003738716143,-16.73295807403796,-51.39281061762174,-18.083396563961173,4.809058659509802,0.039317507418397624,0.6491097922848664,0.0156
holdout_bin_2,random_32shot_baseline,heldout_47_51,0.005,0.5pct,-3.0610947416265297,-27.903229883347443,-58.14796682796859,-29.82171963457139,-2.3044464982671737,0.04080118694362018,0.7632047477744807,0.00314
holdout_bin_2,random_32shot_baseline,heldout_47_51,0.01,1pct,-3.595493096572455,-27.903229883347443,-57.61356847302267,-29.287321279625466,-1.7700481433212483,0.04347181008902077,0.7544510385756676,0.01122
holdout_bin_2,random_32shot_baseline,heldout_47_51,0.02,2pct,-3.8596694216983605,-27.903229883347443,-57.34939214789676,-29.02314495449956,-1.505871818195343,0.04465875370919881,0.7501483679525223,0.01982
holdout_bin_2,random_32shot_baseline,main_42_46,0.005,0.5pct,-4.1054677985168935,-12.786486504423152,-43.7656700785892,-13.922983948579091,4.64840342053894,0.042433234421364985,0.6522255192878338,0.00878
holdout_bin_2,random_32shot_baseline,main_42_46,0.01,1pct,-4.493964740794713,-12.786486504423152,-43.377173136311384,-13.534487006301273,5.036900362816759,0.042433234421364985,0.6456973293768546,0.01914
holdout_bin_2,random_32shot_baseline,main_42_46,0.02,2pct,-4.803945624649292,-12.786486504423152,-43.0671922524568,-13.224506122446694,5.346881246671338,0.040207715133531156,0.6403560830860534,0.0313
