holdout,support_method,seed,attack_detection_reproduced_1pct,attack_detection_issue17,ood_alarm_reproduced_1pct,ood_alarm_issue17,threshold_reproduced_1pct,threshold_issue17,attack_detection_abs_delta,ood_alarm_abs_delta,threshold_abs_delta
chrono_late_train_early_eval,kcenter_32shot,42,0.6798015178050204,0.6798015178050204,0.0018,0.0018,-3.2033476938112866,-3.2033476938112866,0.0,0.0,0.0
chrono_late_train_early_eval,kcenter_32shot,43,0.6798015178050204,0.6798015178050204,0.0018,0.0018,-3.2033476938112866,-3.2033476938112866,0.0,0.0,0.0
chrono_late_train_early_eval,kcenter_32shot,44,0.6798015178050204,0.6798015178050204,0.0018,0.0018,-3.2033476938112866,-3.2033476938112866,0.0,0.0,0.0
chrono_late_train_early_eval,kcenter_32shot,45,0.6798015178050204,0.6798015178050204,0.0018,0.0018,-3.2033476938112866,-3.2033476938112866,0.0,0.0,0.0
chrono_late_train_early_eval,kcenter_32shot,46,0.6798015178050204,0.6798015178050204,0.0018,0.0018,-3.2033476938112866,-3.2033476938112866,0.0,0.0,0.0
chrono_late_train_early_eval,kcenter_32shot,47,0.6798015178050204,0.6798015178050204,0.0018,0.0018,-3.2033476938112866,-3.2033476938112866,0.0,0.0,0.0
chrono_late_train_early_eval,kcenter_32shot,48,0.6798015178050204,0.6798015178050204,0.0018,0.0018,-3.2033476938112866,-3.2033476938112866,0.0,0.0,0.0
chrono_late_train_early_eval,kcenter_32shot,49,0.6798015178050204,0.6798015178050204,0.0018,0.0018,-3.2033476938112866,-3.2033476938112866,0.0,0.0,0.0
chrono_late_train_early_eval,kcenter_32shot,50,0.6798015178050204,0.6798015178050204,0.0018,0.0018,-3.2033476938112866,-3.2033476938112866,0.0,0.0,0.0
chrono_late_train_early_eval,kcenter_32shot,51,0.6798015178050204,0.6798015178050204,0.0018,0.0018,-3.2033476938112866,-3.2033476938112866,0.0,0.0,0.0
chrono_late_train_early_eval,random_32shot_baseline,42,0.6827203736135435,0.6827203736135435,0.0017,0.0017,-3.332950360075675,-3.332950360075675,0.0,0.0,0.0
chrono_late_train_early_eval,random_32shot_baseline,43,0.6929363689433742,0.6929363689433742,0.0013,0.0013,-3.45268956703332,-3.45268956703332,0.0,0.0,0.0
chrono_late_train_early_eval,random_32shot_baseline,44,0.695563339171045,0.695563339171045,0.0017,0.0017,-3.477014218671437,-3.477014218671437,0.0,0.0,0.0
chrono_late_train_early_eval,random_32shot_baseline,45,0.6943957968476357,0.6943957968476357,0.0015,0.0015,-3.404132179268407,-3.404132179268407,0.0,0.0,0.0
chrono_late_train_early_eval,random_32shot_baseline,46,0.6935201401050788,0.6935201401050788,0.0014,0.0014,-3.4823052954505984,-3.4823052954505984,0.0,0.0,0.0
