seed,attack_fit_roles,attack_threshold_roles,ood_risk_fit_roles,controller_selection_roles,report_only_roles,uses_final_ood_for_fit_threshold_selection,uses_report_only_attack_for_fit_threshold_selection,forbidden_role_access
42,id_fit|ood_train|phase_balanced_support_train,id_calib,raw_alarm_subset_of_id_calib|ood_val|ood_stress_val|support_val|dev_future_near|dev_future_mid|dev_future_far,same_as_ood_risk_dev_roles,final_ood|sealed_medium_attack_eval|sealed_dev_heavy_query,False,False,False
43,id_fit|ood_train|phase_balanced_support_train,id_calib,raw_alarm_subset_of_id_calib|ood_val|ood_stress_val|support_val|dev_future_near|dev_future_mid|dev_future_far,same_as_ood_risk_dev_roles,final_ood|sealed_medium_attack_eval|sealed_dev_heavy_query,False,False,False
44,id_fit|ood_train|phase_balanced_support_train,id_calib,raw_alarm_subset_of_id_calib|ood_val|ood_stress_val|support_val|dev_future_near|dev_future_mid|dev_future_far,same_as_ood_risk_dev_roles,final_ood|sealed_medium_attack_eval|sealed_dev_heavy_query,False,False,False
45,id_fit|ood_train|phase_balanced_support_train,id_calib,raw_alarm_subset_of_id_calib|ood_val|ood_stress_val|support_val|dev_future_near|dev_future_mid|dev_future_far,same_as_ood_risk_dev_roles,final_ood|sealed_medium_attack_eval|sealed_dev_heavy_query,False,False,False
46,id_fit|ood_train|phase_balanced_support_train,id_calib,raw_alarm_subset_of_id_calib|ood_val|ood_stress_val|support_val|dev_future_near|dev_future_mid|dev_future_far,same_as_ood_risk_dev_roles,final_ood|sealed_medium_attack_eval|sealed_dev_heavy_query,False,False,False
