seed,bank,subspace,fit_rows,budget,core_radius,outer_radius
42,attack_HH,HH,128,32,1.9792112112045288,2.084155321121216
42,attack_HH_HpHp,HH_HpHp,128,32,4.84595251083374,5.916156768798828
42,benign_HH_jit,HH_jit,6750,32,1.6483917236328125,
42,benign_MI_H_HHjit,MI_H_HHjit,6750,32,6.0494384765625,
42,benign_all115,all115,6750,32,2781.4873046875,
43,attack_HH,HH,128,32,1.9792112112045288,2.084155321121216
43,attack_HH_HpHp,HH_HpHp,128,32,4.84595251083374,5.916156768798828
43,benign_HH_jit,HH_jit,6750,32,1.6483917236328125,
43,benign_MI_H_HHjit,MI_H_HHjit,6750,32,6.0494384765625,
43,benign_all115,all115,6750,32,2781.4873046875,
44,attack_HH,HH,128,32,1.9792112112045288,2.084155321121216
44,attack_HH_HpHp,HH_HpHp,128,32,4.84595251083374,5.916156768798828
44,benign_HH_jit,HH_jit,6750,32,1.6483917236328125,
44,benign_MI_H_HHjit,MI_H_HHjit,6750,32,6.0494384765625,
44,benign_all115,all115,6750,32,2781.4873046875,
45,attack_HH,HH,128,32,1.9792112112045288,2.084155321121216
45,attack_HH_HpHp,HH_HpHp,128,32,4.84595251083374,5.916156768798828
45,benign_HH_jit,HH_jit,6750,32,1.6483917236328125,
45,benign_MI_H_HHjit,MI_H_HHjit,6750,32,6.0494384765625,
45,benign_all115,all115,6750,32,2781.4873046875,
46,attack_HH,HH,128,32,1.9792112112045288,2.084155321121216
46,attack_HH_HpHp,HH_HpHp,128,32,4.84595251083374,5.916156768798828
46,benign_HH_jit,HH_jit,6750,32,1.6483917236328125,
46,benign_MI_H_HHjit,MI_H_HHjit,6750,32,6.0494384765625,
46,benign_all115,all115,6750,32,2781.4873046875,
