role,is_report_only,seeds,raw_alarm_rate_mean,raw_alarm_rate_min,raw_alarm_rate_max,hard_alarm_rate_mean,hard_alarm_rate_min,hard_alarm_rate_max,review_rate_mean,review_rate_min,review_rate_max,suppress_rate_mean,suppress_rate_min,suppress_rate_max,risk_mean_mean,risk_mean_min,risk_mean_max,risk_p95_mean,risk_p95_min,risk_p95_max
dev_future_far,False,5,0.9970501474926253,0.9970501474926253,0.9970501474926253,0.9970501474926253,0.9970501474926253,0.9970501474926253,0.0,0.0,0.0,0.0,0.0,0.0,0.04481105568808195,0.04481105568808195,0.04481105568808195,0.026391529202683894,0.026391529202683894,0.026391529202683894
dev_future_mid,False,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012484755750480017,0.012484755750480017,0.012484755750480017,0.01658390862771209,0.01658390862771209,0.01658390862771209
dev_future_near,False,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0350504079008287,0.0350504079008287,0.0350504079008287,0.0366385280842131,0.0366385280842131,0.0366385280842131
final_ood_report_only,True,5,0.26966666666666667,0.26966666666666667,0.26966666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.26966666666666667,0.26966666666666667,0.26966666666666667,0.987206770521414,0.987206770521414,0.987206770521414,0.9937660106519235,0.9937660106519236,0.9937660106519236
id_calib,False,5,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.9904147201716228,0.9904147201716228,0.9904147201716228,0.9937660106519235,0.9937660106519236,0.9937660106519236
ood_stress_val,False,5,0.2982456140350877,0.2982456140350877,0.2982456140350877,0.02526315789473684,0.02526315789473684,0.02526315789473684,0.0,0.0,0.0,0.2729824561403509,0.2729824561403509,0.2729824561403509,0.9922978618961642,0.9922978618961642,0.9922978618961642,0.9937660106519235,0.9937660106519236,0.9937660106519236
ood_val,False,5,0.8273333333333334,0.8273333333333334,0.8273333333333334,0.25933333333333336,0.25933333333333336,0.25933333333333336,0.0,0.0,0.0,0.568,0.568,0.568,0.9916988408269646,0.9916988408269645,0.9916988408269645,0.9937660106519235,0.9937660106519236,0.9937660106519236
sealed_dev_heavy_query_report_only,True,5,0.9995,0.9995,0.9995,0.74075,0.74075,0.74075,0.0,0.0,0.0,0.25875,0.25875,0.25875,0.2616948449276607,0.2616948449276607,0.2616948449276607,0.9875904474961089,0.9875904474961089,0.9875904474961089
sealed_heavy_future_far,True,5,1.0,1.0,1.0,0.6501501501501501,0.6501501501501501,0.6501501501501501,0.0,0.0,0.0,0.34984984984984985,0.34984984984984985,0.34984984984984985,0.3374455941628594,0.3374455941628594,0.3374455941628594,0.9875904474961089,0.9875904474961089,0.9875904474961089
sealed_heavy_future_mid,True,5,1.0,1.0,1.0,0.7079579579579579,0.7079579579579579,0.7079579579579579,0.0,0.0,0.0,0.29204204204204204,0.29204204204204204,0.29204204204204204,0.2996103553568056,0.2996103553568056,0.2996103553568056,0.9875904474961089,0.9875904474961089,0.9875904474961089
sealed_heavy_future_near,True,5,0.9985029940119761,0.9985029940119761,0.9985029940119761,0.8637724550898204,0.8637724550898204,0.8637724550898204,0.0,0.0,0.0,0.1347305389221557,0.1347305389221557,0.1347305389221557,0.1483689034060247,0.1483689034060247,0.1483689034060247,0.9260083334473543,0.9260083334473544,0.9260083334473544
sealed_medium_attack_eval_report_only,True,5,0.992,0.992,0.992,0.9915555555555555,0.9915555555555555,0.9915555555555555,0.0,0.0,0.0,0.00044444444444444447,0.00044444444444444447,0.00044444444444444447,0.04393676148203566,0.04393676148203566,0.04393676148203566,0.0366385280842131,0.0366385280842131,0.0366385280842131
support_val,False,5,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.0,0.0,0.0,0.0,0.0,0.0,0.2042085598306814,0.2042085598306814,0.2042085598306814,0.9917063341149046,0.9917063341149046,0.9917063341149046
