seed,run_label,support_rows_sha256,support_eval_disjoint,final_eval_used_for_selection,score_direction_higher_is_more_anomalous,threshold,attack_detection,final_ood_alarm,id_calib_alarm,ood_val_alarm,support_mean_score,attack_mean_score,final_ood_mean_score,min_attack_score,max_final_ood_score,attack_margin_vs_threshold,ood_margin_vs_threshold
42,seed_expansion_42_51,652e66e40a77910867d4de28aeb8c065e3fd7a3ebf5b331e8e0b6ae415bf88c6,True,False,True,7465.12451171875,0.8867378750111585,0.008174855864383443,0.00915,0.01,1120730.625,16235105.0,828.274658203125,39.81519317626953,686403.25,-7425.30908203125,-678938.125
43,seed_expansion_42_51,e25c4382d7a55590c8a8874a9c7d715c24708199818794baf62a3d83478c076f,True,False,True,7433.0625,0.8867310082469838,0.008174855864383443,0.00915,0.01,1484295.75,20775140.0,799.963623046875,37.941650390625,597859.75,-7395.12109375,-590426.6875
44,seed_expansion_42_51,62511fe3bbcde65bd323317fa219607806a4c7ee92af741bdf3d5b7cf27a82cd,True,False,True,7441.74951171875,0.8867378750111585,0.008174855864383443,0.00915,0.01,1120594.375,16241067.0,825.6964111328125,39.559688568115234,683586.9375,-7402.18994140625,-676145.1875
45,seed_expansion_42_51,96bf85591cf796da89d5b5b94b1fb4675bf5da28842cb401ea6d6dfc09a09fc0,True,False,True,7448.8974609375,0.8867378750111585,0.008174855864383443,0.00915,0.01,1638042.875,22578826.0,875.7256469726562,40.863014221191406,684939.875,-7408.03466796875,-677491.0
46,seed_expansion_42_51,5d6ef0f05ff963f9cdde1581b7d4ea34cdd2f25dca39aeec575c2e8f1d412000,True,False,True,7434.77001953125,0.8867310082469838,0.008174855864383443,0.00915,0.01,1666675.5,20761328.0,800.4222412109375,37.98269271850586,597860.5625,-7396.787109375,-590425.8125
47,seed_expansion_42_51,55aea9147ce256702acdc3fb9ece94824b49cb6af4ddb48a0661ac855860985a,True,False,True,7352.07177734375,0.8867567586126389,0.008260906978745375,0.00935,0.01,2256724.5,18282978.0,867.464599609375,41.651885986328125,816721.625,-7310.419921875,-809369.5625
48,seed_expansion_42_51,27c8786e31da8b6d74ab31a3a9e2b6b689108146e870c13980a6f33e037c1371,True,False,True,7291.962890625,0.8867567586126389,0.008346958093107306,0.00935,0.01,1701251.125,17455184.0,879.8814086914062,39.59299087524414,702272.4375,-7252.3701171875,-694980.5
49,seed_expansion_42_51,327e28e312a51b894025824620f38c39fefe1113d4b9d88849d631a88bcd967d,True,False,True,7445.99267578125,0.8867413083932458,0.008260906978745375,0.00925,0.01,1776912.875,17594194.0,816.839599609375,39.70331954956055,676314.5625,-7406.28955078125,-668868.5625
50,seed_expansion_42_51,5dd5eadef0cf9e27093066cab5192a5563acc00323bf8af259b9c997d1249d43,True,False,True,7399.9912109375,0.8867395917022022,0.008260906978745375,0.0092,0.01,2181966.75,22461022.0,832.2767333984375,38.881649017333984,644995.625,-7361.109375,-637595.625
51,seed_expansion_42_51,b3dbe1c71390a69999cdfa1188a9414334509c950231dddbc1170f7d4745307b,True,False,True,7428.25732421875,0.8867310082469838,0.008174855864383443,0.00915,0.01,1147408.75,19016850.0,775.101806640625,37.01496505737305,597843.625,-7391.2421875,-590415.375
