control_name,holdout,seed,attack_detection,final_ood_alarm,roc_auc_attack_vs_ood,pr_auc_attack_vs_ood,pauc_fpr_1pct,tpr_at_fpr_1pct,id_calib_alarm,ood_val_alarm,threshold,threshold_source,inference_time,support_val_detection,support_val_margin_median,ood_val_q99,selection_feasible_on_ood_val,train_time,expected_behavior,control_status,feasible_under_1pct
positive_control_real_support,holdout_bin_5,42,1.0,0.0001,1.0,1.0,1.0,1.0,0.0046,0.0,0.002742447041334866,id_calib_plus_ood_val_guarded_0.0050,0.0481726000434719,,,0.0001560270017404374,True,0.6291840999620035,should match issue27f perfect result,reference,
label_permutation_same_positive_count,holdout_bin_5,42,0.0,0.0055,0.5369192132269099,0.11927236200276234,0.49903451121055675,0.0068415051311288486,0.005,0.0045,0.03454241583373116,,,,,,,0.3527804999612272,attack detection should collapse well below 1.0,normal_collapse,True
ood_benign_as_positive_support,holdout_bin_5,42,0.0068415051311288486,0.0043,0.8223574686431014,0.34530103219540964,0.5028563570417652,0.02394526795895097,0.0,0.0045,0.012461499914264023,id_calib_plus_ood_val_guarded_0.0050,0.028825699992012233,,,0.010450027087785587,True,0.44860050000716,attack detection should collapse because no attack support remains,normal_collapse,
random_50_feature_subset,holdout_bin_5,42,1.0,0.0,1.0,1.0,1.0,1.0,0.0004,0.0,0.013029582265892093,id_calib_plus_ood_val_guarded_0.0050,0.04271290003089234,,,0.00015408343518627136,True,0.4363626999547705,"may remain strong if attack signal is distributed; persistent perfection is a caution signal, not standalone leakage proof",caution_still_perfect,
threshold_recompute_idcalib_oodval_only,holdout_bin_5,42,1.0,0.0001,1.0,1.0,1.0,1.0,0.0046,0.0,0.002742447041334866,,,,,,,0.0,threshold path should exactly use ID_calib + OOD_val,pass,True
positive_control_real_support,holdout_bin_5,43,1.0,0.0001,1.0,1.0,1.0,1.0,0.0048,0.0,0.0031812949371056217,id_calib_plus_ood_val_guarded_0.0050,0.049899799982085824,,,0.0001561376248973034,True,0.5614249999634922,should match issue27f perfect result,reference,
label_permutation_same_positive_count,holdout_bin_5,43,0.0,0.0034,0.643847890535918,0.18301024794879095,0.50185935378145,0.01596351197263398,0.0016,0.005,0.018207836960502252,,,,,,,0.3007276999996975,attack detection should collapse well below 1.0,normal_collapse,True
ood_benign_as_positive_support,holdout_bin_5,43,0.0,0.0069,0.37324150513112886,0.10052275831104099,0.49748743718592964,0.0,0.0006,0.004,0.008229334995494959,id_calib_plus_ood_val_guarded_0.0050,0.018562399956863374,,,0.008229334995494959,True,0.3182100999983959,attack detection should collapse because no attack support remains,normal_collapse,
random_50_feature_subset,holdout_bin_5,43,1.0,0.0059,0.9995575256556442,0.9948271053352303,0.9777651083238312,1.0,0.0008,0.005,0.0009715599832300577,id_calib_plus_ood_val_guarded_0.0050,0.043161400011740625,,,0.0005567988945252523,True,0.4426452000043355,"may remain strong if attack signal is distributed; persistent perfection is a caution signal, not standalone leakage proof",weakened_or_nonperfect,
threshold_recompute_idcalib_oodval_only,holdout_bin_5,43,1.0,0.0001,1.0,1.0,1.0,1.0,0.0048,0.0,0.0031812949371056217,,,,,,,0.0,threshold path should exactly use ID_calib + OOD_val,pass,True
