title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Detecting unknown encrypted malicious traffic in real time via flow interaction graph analysis,"C Fu, Q Li, K Xu",2023.0,192,"… To the end, we propose HyperVision, a realtime detection … We observe that Kitsune and DeepLog have lower accuracy … Although Whisper has slightly better AUC in some cases, we find …",xkY5MEYkxQgJ,"C Fu, Q Li, K Xu - arXiv preprint arXiv:2301.13686, 2023 - arxiv.org",[],https://arxiv.org/abs/2301.13686,unknown,unknown
Flow interaction graph analysis: Unknown encrypted malicious traffic detection,"C Fu, Q Li, K Xu",2024.0,43,"… To the end, we propose HyperVision, a realtime detection … We observe that Kitsune and DeepLog have lower accuracy … Although Whisper has slightly better AUC in some cases, we …",LhwpoipqRpQJ,"C Fu, Q Li, K Xu - IEEE/ACM Transactions on Networking, 2024 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10474390/,unknown,unknown
Point cloud analysis for ML-based malicious traffic detection: Reducing majorities of false positive alarms,"C Fu, Q Li, K Xu, J Wu",2023.0,66,"… 76, 81, 98] and compensates for the unknown attack (ie, zero-day … attack traffic from physical network testbeds; (ii) Kitsune … % FPs on HyperVision datasets [31] and Whisper datasets [30] …",yB2k0hgH-FEJ,"C Fu, Q Li, K Xu, J Wu - Proceedings of the 2023 ACM SIGSAC …, 2023 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3576915.3616631,unknown,unknown
A Hard-Label Black-Box Evasion Attack against ML-based Malicious Traffic Detection Systems,"Z Liu, Y Zhao, Z Liu, Q Li, C Fu, G Zhou…",2025.0,2,"… ML-based detection systems: Whisper [28], FlowLens [7], … datasets—Kitsune, PeerRush, HyperVision (malicious traffic)… Detecting unknown encrypted malicious traffic in real time via …",gfDIt1c9fHcJ,"Z Liu, Y Zhao, Z Liu, Q Li, C Fu, G Zhou… - arXiv preprint arXiv …, 2025 - arxiv.org",[],https://arxiv.org/abs/2510.14906,unknown,unknown
Realtime robust malicious traffic detection via frequency domain analysis,"C Fu, Q Li, M Shen, K Xu",2021.0,319,"… Whisper that aims to realize realtime robust malicious traffic detection by utilizing machine learning algorithms. Whisper … Note that, since Kitsune cannot handle high-rate traffic, we …",wgO0K9wu8awJ,"C Fu, Q Li, M Shen, K Xu - Proceedings of the 2021 ACM SIGSAC …, 2021 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3460120.3484585,unknown,unknown
Training with only 1.0‰ samples: Malicious traffic detection via cross-modality feature fusion,"C Fu, Q Li, E Bertino, K Xu",2025.0,9,… flows generated by various protocols and applications in real time… Note that we replay benign traffic collected from the HyperVision … is 1.05 and 1.23 times higher than FAE and Whisper. …,bBmelgn_NQIJ,"C Fu, Q Li, E Bertino, K Xu - Proceedings of the 2025 ACM SIGSAC …, 2025 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3719027.3765143,unknown,unknown
{NetVigil}: Robust and {Low-Cost} anomaly detection for {East-West} data center security,"K Hsieh, M Wong, S Segarra, SK Mani, T Eberl…",2024.0,21,"… on every hypervisor. Although this method handles east-west … Whisper [31], an efficient malicious traffic detection system, … of two contemporary solutions, Whisper [31] and Kitsune [56], …",1H_1IpFQ1NEJ,"K Hsieh, M Wong, S Segarra, SK Mani, T Eberl… - … USENIX Symposium on …, 2024 - usenix.org",[],https://www.usenix.org/conference/nsdi24/presentation/hsieh,unknown,unknown
Rids: Towards advanced ids via rnn model and programmable switches co-designed approaches,"Z Zhao, Z Li, Z Song, F Zhang…",2024.0,26,"… Overall, real-time requirements largely limit the power of DL models in practice, so we … graph to detect malicious traffic. Mousika, HyperVision, and Kitsune are representative baselines …",X0fVL9IpJs4J,"Z Zhao, Z Li, Z Song, F Zhang… - IEEE INFOCOM 2024 …, 2024 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10621290/,unknown,unknown
Towards context-aware traffic classification via time-wavelet fusion network,"Z Zhao, Z Song, X Xie, Z Li, J Yu, F Zhang…",2025.0,13,"… Kitsune: an ensemble of autoencoders for online network … Whisper [23, 25] expresses traffic as frequency domain infor… HyperVision [33] is an unsupervised malicious traffic detection …",j0OjQ20jVuMJ,"Z Zhao, Z Song, X Xie, Z Li, J Yu, F Zhang… - Proceedings of the 31st …, 2025 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3690624.3709315,unknown,unknown
Frequency domain feature based robust malicious traffic detection,"C Fu, Q Li, M Shen, K Xu",2022.0,92,"… To this end, we propose Whisper, a realtime ML based malicious traffic detection system that achieves … Note that, since Kitsune cannot handle high-rate traffic, we evaluate it with offline …",CkLm8_seuEoJ,"C Fu, Q Li, M Shen, K Xu - IEEE/ACM Transactions on …, 2022 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/9852396/,unknown,unknown
