title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Contextual masking distillation for network traffic anomaly detection,"X Lian, Y Zheng, Y Liu, F Zhou…",2026,17,"… These representations improve zero-positive learning and amplify … Our zero-positive detection models aim to fit the data … malware traffic detection dataset, where the malicious traffic is …",vPuFd2zaQfYJ,"X Lian, Y Zheng, Y Liu, F Zhou… - IEEE Transactions on …, 2026 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11358423/,unknown,unknown
"Decompose to Understand, Fuse to Detect: Frequency-Decoupled Anomaly Detection for Encrypted Network Traffic","X Lian, C Cao, T Zhong, Y Wang…",2026,4,"… between normal and malicious traffic. Consequently, traditional … those based on a zeropositive learning paradigm, have … This work investigates the zero-positive anomaly detection …",bqyihjq4h4AJ,"X Lian, C Cao, T Zhong, Y Wang… - IEEE INFOCOM 2026 …, 2026 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11571273/,unknown,unknown
Facing anomalies head-on: Network traffic anomaly detection via uncertainty-inspired inter-sample differences,"X Lian, C Cao, Y Liu, X Xu, Y Zheng…",2025,30,… the zero-positive learning anomaly detection problem in the context of network traffic analysis. Let X = {… CDDA-MD: An efficient malicious traffic detection method based on concept drift …,0WQzHpenyCEJ,"X Lian, C Cao, Y Liu, X Xu, Y Zheng… - Proceedings of the ACM on …, 2025 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3696410.3714621,unknown,unknown
An empirical study on unsupervised network anomaly detection using generative adversarial networks,"T Truong-Huu, N Dheenadhayalan…",2020,63,… We downloaded all the normal traffic captures and malware captures and then … the detection of anomalies based on statistics obtained from the normal traffic in the zero-positive training …,tRMMWyLjXg0J,"T Truong-Huu, N Dheenadhayalan… - Proceedings of the 1st …, 2020 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3385003.3410924,unknown,unknown
Strad: Network intrusion detection algorithm based on zero-positive learning in real complex network environment,"Y Zhong, Z Gao, R Li, C Que, X Yang…",2021,3,"… malicious traffic packets and normal traffic packets will be grouped into one class respectively. Then malicious … Given a sequence of training words w1,w2,w3, ..., wT , the objective of skip…",36iRaiB96d0J,"Y Zhong, Z Gao, R Li, C Que, X Yang… - … IEEE Symposium on …, 2021 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/9631496/,unknown,unknown
BARS: Local robustness certification for deep learning based traffic analysis systems.,"K Wang, Z Wang, D Han, W Chen, J Yang, X Shi…",2023,35,"… activities, model designs of traffic analyzers are … zero-positive learning to detect zero-day attack. ACID [16] uses a supervised adaptive clustering network to classify malicious traffic. III. …",RwcBD19JypcJ,"K Wang, Z Wang, D Han, W Chen, J Yang, X Shi… - NDSS, 2023 - ndss-symposium.org",[],https://www.ndss-symposium.org/wp-content/uploads/2023-508-paper.pdf,unknown,unknown
Causality-Aware ID: Causality-Aware Intrusion Detection under Zero-Positive Learning,"H Du, H Zou, Y Chen, H Jin, J Hu…",2025,0,… under conditions of zero positive samples and dis- tribution … - aware zero-positive-example intrusion detection framework. … or malicious by learning statistical patterns of labeled traffic. …,2mQfcEspcYsJ,"H Du, H Zou, Y Chen, H Jin, J Hu… - … Conference on Advanced …, 2025 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11334801/,unknown,unknown
TranDA: Behavior traceable anomaly detection and attribution for 5G control plane via message sequence analysis,"L Dai, Q Sun, Y Wang, X Fan, L Tian",2025,0,"… zero-positive modules for anomaly detection and attribution, which are independently trained and designed for different task granularities. The detection … Although a malicious message …",eGe-0gaAI0EJ,"L Dai, Q Sun, Y Wang, X Fan, L Tian - Computer Networks, 2025 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S1389128625007704,unknown,unknown
Poison-resilient anomaly detection: Mitigating poisoning attacks in semi-supervised encrypted traffic anomaly detection,"Z Wu, H Li, Y Qian, Y Hua, H Gan",2024,15,"… encrypted traffic anomaly detection models in zero-positive … Within the context of Android malware detection, labelbased … poisoning attacks on the zero-positive training set. We analyze …",nMIa0esA3IoJ,"Z Wu, H Li, Y Qian, Y Hua, H Gan - IEEE Transactions on …, 2024 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10528791/,unknown,unknown
Lifelong anomaly detection through unlearning,"M Du, Z Chen, C Liu, R Oak, D Song",2019,216,"… detection solutions. We evaluate our approach using two state-of-the-art zero-positive deep learning anomaly detection … , which expresses great effectiveness for malware detection [29]. …",jzHqUAJMWPEJ,"M Du, Z Chen, C Liu, R Oak, D Song - Proceedings of the 2019 ACM …, 2019 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3319535.3363226,unknown,unknown
FOSS: Towards fine-grained unknown class detection against the open-set attack spectrum with variable legitimate traffic,"Z Zhao, Z Li, X Xie, J Yu, F Zhang…",2024,26,"… detection, they advocate only using benign traffic to train the classifier, also known as “zeropositive” learning … deviating from legitimate traffic will be considered malicious. However, it …",LzKYJYgKT_IJ,"Z Zhao, Z Li, X Xie, J Yu, F Zhang… - IEEE/ACM …, 2024 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10638516/,unknown,unknown
A machine-learning-based approach to build zero-false-positive IPSs for industrial IoT and CPS with a case study on power grids security,"MS Haghighi, F Farivar, A Jolfaei",2020,58,… malicious and normal samples are fed to an automated algorithm of writing preventing rules in the firewall so that it does not block any normal or benign traffic … yields zero positive results …,qemB03EjnXwJ,"MS Haghighi, F Farivar, A Jolfaei - IEEE Transactions on …, 2020 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/9146688/,unknown,unknown
Interpreting unsupervised anomaly detection in security via rule extraction,"R Li, Q Li, Y Zhang, D Zhao…",2023,28,"… detection becomes more promising, which detects malicious … /malicious data during the training (ie, zero-positive learning), … threats, enabling better detection on unforeseen anomalies. …",MyD3e2w6xtMJ,"R Li, Q Li, Y Zhang, D Zhao… - Advances in Neural …, 2023 - proceedings.neurips.cc",[],https://proceedings.neurips.cc/paper_files/paper/2023/hash/c43b987f23fd5ea840df2b2be426315c-Abstract-Conference.html,unknown,unknown
Trident: A universal framework for fine-grained and class-incremental unknown traffic detection,"Z Zhao, Z Li, Z Song, W Li, F Zhang",2024,61,"… 2 (a), typical zero-positive learning fits a wide variety of … Detecting unknown encrypted malicious traffic in real time via … Realtime robust malicious traffic detection via frequency domain …",dyq0y73xlWQJ,"Z Zhao, Z Li, Z Song, W Li, F Zhang - … of the ACM Web Conference 2024, 2024 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3589334.3645407,unknown,unknown
Punet: A semi-supervised anomaly detection model for network anomaly detection based on positive unlabeled data,"G Long, Z Zhang",2024,7,"… to significant improvements in network anomaly detection performance. However, these methods often rely on zero-positive sample scenarios for model training and data fitting. This …",8fjYBtu3tFAJ,"G Long, Z Zhang - Computers, Materials and Continua, 2024 - Elsevier",[],https://www.sciencedirect.com/org/science/article/pii/S1546221824007343,unknown,unknown
