candidate_id,label_region_id,exact_attack_label,source_novelty,time_session_novelty,decision,budget_profile,production_authorized
candidate_1aa34cb13888575e,label_region_4cf30d2cf74a44b3,Mirai GRE Flooding,known_source,new_session,promoted_simulation_only,simulation_profile_global2_region1,False
candidate_b5668acc61711e5f,label_region_1aea2de67bbbb560,Mirai UDP Flooding,known_source,new_session,promoted_simulation_only,simulation_profile_global2_region1,False
