artifact,sha256,match
label_region_registry_v1.csv,014A8C7EB388F307F89075631D548FD9FEA23114FB9A3C40C66A813D7EE785C3,true
support_train_view_v1.csv,6440C9BA57412149008277C0C6AB2FB9D853A3BE8D77B19812B20BED59C3ED99,true
support_val_view_v1.csv,E9AC02FF6D3393613E67C43B7612784D6088AFA9DEC4ECA6AB297C0A1DC427D5,true
online_label_archive_schema.json,1CE354C1E8DBC36FE8744F8111BE77563256FB1CF5867C84BD638C6802D0FA8E,true
region_candidate_schema.json,09AA340C406D31ED17DF08B0B50DE44FF6E8489701B68D5E139B2D36CEEA8A9C,true
promotion_policy_v1.json,B3B728085DA2AEAE8528C1E699EA4D0F05CEB223329A42FA989AC5F4BFA58179,true
simulation_archive_audit.csv,66CFB94B25F8624357E7132305CB749BDD596C7CB081016F2E60F4630E1A6F4F,true
simulation_promotion_audit.csv,A88852C4E34D5D9D3422E7A98B5A154FE3DBCE2B910217BD3492C33A9BC10889,true
support_train_view_v2_simulation_only.csv,FD4A37F2BA81ED85579ABE9C4AE23C8EB9A342746B7434ABA5DE456D55BC7BB0,true
invariant_validation.csv,04A5D6870AFE96D3485ED9D56116EB3CE69EEC02DE53B19727C3481E05F700F4,true
results.json,68FC27478C1FF1E882D2908ED81EEBD42A9FAE74E820EBE8AF461992ACF8690B,true
