seed,budget,requested_labels,confirmed_attack_labels,coverage_sufficient_fraction,coverage_review_or_better_fraction,nearest_distance_p50,nearest_distance_p95,support_val_p75_radius,support_val_p95_radius
42,0,0,0,0.1795,0.1795,4856.86669921875,10332.52734375,4.772401332855225,6.598090171813965
42,4,4,4,0.17725,0.17875,13.63347053527832,175.14752197265625,2.6228811740875244,3.37711501121521
42,8,8,8,0.19675,0.2145,7.690188884735107,176.34347534179688,2.2546920776367188,2.7529542446136475
42,16,16,16,0.20875,0.23775,4.568581581115723,173.58837890625,1.9323103427886963,2.4869706630706787
42,32,32,32,0.229,0.28375,3.237917900085449,183.22471618652344,1.8022785186767578,2.2666680812835693
43,0,0,0,0.17925,0.1795,4460.99609375,9200.7509765625,5.019055366516113,11.175592422485352
43,4,4,4,0.17875,0.184,13.632440567016602,175.70631408691406,2.4875621795654297,4.723790168762207
43,8,8,8,0.1795,0.183,7.93284797668457,176.99151611328125,2.3619580268859863,2.997725486755371
43,16,16,16,0.18075,0.2135,4.606958389282227,174.2892303466797,2.0641801357269287,2.4914321899414062
43,32,32,32,0.28125,0.35525,3.130772113800049,181.5018310546875,1.9587163925170898,2.352329969406128
44,0,0,0,0.1795,0.1795,4407.34765625,9062.4521484375,5.749643802642822,7.840913772583008
44,4,4,4,0.17825,0.18325,13.64483642578125,178.6551971435547,2.7348713874816895,4.421914577484131
44,8,8,8,0.179,0.1815,7.935380458831787,179.8169708251953,2.295654773712158,2.7788989543914795
44,16,16,16,0.1795,0.23025,4.60732889175415,176.62098693847656,2.0330982208251953,2.597230911254883
44,32,32,32,0.2455,0.30975,3.1135506629943848,183.71221923828125,1.8060873746871948,2.1066315174102783
45,0,0,0,0.1745,0.1795,4464.87158203125,9211.4208984375,5.832374095916748,7.4719014167785645
45,4,4,4,0.14325,0.18375,13.726158142089844,183.4609832763672,2.1496505737304688,5.287676811218262
45,8,8,8,0.15025,0.2435,7.901396751403809,182.31004333496094,1.8836333751678467,4.838418006896973
45,16,16,16,0.1505,0.322,5.246459007263184,171.3535919189453,1.5895905494689941,4.134071350097656
45,32,32,32,0.1585,0.58875,3.2327284812927246,180.96719360351562,1.5956430435180664,3.8816475868225098
46,0,0,0,0.09575,0.1795,4467.009765625,9189.70703125,6.064065933227539,37.582725524902344
46,4,4,4,0.09425,0.85625,13.62095832824707,178.70033264160156,2.6470038890838623,36.48866653442383
46,8,8,8,0.11875,0.892,7.901871681213379,179.929931640625,1.981429934501648,36.11067199707031
46,16,16,16,0.132,0.89525,4.587917327880859,176.77255249023438,1.73739492893219,36.994781494140625
46,32,32,32,0.20325,0.896,3.114588975906372,183.70111083984375,1.6635916233062744,39.06398010253906
