seed,budget,threshold_rule,threshold,requested_labels,confirmed_attack_labels,label_efficiency,id_calib_alarm,ood_val_alarm,support_val_detection,final_ood_alarm_report_only,medium_attack_eval_detection_report_only,dev_query_detection_report_only,dev_query_coverage_sufficient_fraction,dev_query_coverage_review_or_better_fraction,final_ood_used_for_selection,attack_eval_used_for_selection,dev_query_used_for_selection
42,0,support_val_guided_empirical_1pct,0.2521071796278428,0,0,0.0,0.0,0.0,1.0,0.002,0.976,0.1785,0.1795,0.1795,False,False,False
42,0,np_orderstat_id_ood_1pct,0.1655962159863144,0,0,0.0,0.0033333333333333335,0.0,1.0,0.018,0.9893333333333333,0.1795,0.1795,0.1795,False,False,False
42,4,support_val_guided_empirical_1pct,0.27877927841658817,4,4,1.0,0.0,0.0,1.0,0.2703333333333333,0.9884444444444445,0.9995,0.17725,0.17875,False,False,False
42,4,np_orderstat_id_ood_1pct,0.27877927841658817,4,4,1.0,0.0,0.0,1.0,0.2703333333333333,0.9884444444444445,0.9995,0.17725,0.17875,False,False,False
42,8,support_val_guided_empirical_1pct,0.357082979468668,8,8,1.0,0.0,0.0,1.0,0.272,0.9897777777777778,0.9995,0.19675,0.2145,False,False,False
42,8,np_orderstat_id_ood_1pct,0.357082979468668,8,8,1.0,0.0,0.0,1.0,0.272,0.9897777777777778,0.9995,0.19675,0.2145,False,False,False
42,16,support_val_guided_empirical_1pct,0.25925715890617984,16,16,1.0,0.0,0.0,1.0,0.27166666666666667,0.992,0.9995,0.20875,0.23775,False,False,False
42,16,np_orderstat_id_ood_1pct,0.2431697133411472,16,16,1.0,0.0,0.0006666666666666666,1.0,0.2753333333333333,0.992,0.9995,0.20875,0.23775,False,False,False
42,32,support_val_guided_empirical_1pct,0.478539896723022,32,32,1.0,0.0,0.0,1.0,0.07333333333333333,0.8746666666666667,0.99625,0.229,0.28375,False,False,False
42,32,np_orderstat_id_ood_1pct,0.439995162623355,32,32,1.0,0.0,0.0006666666666666666,1.0,0.099,0.9253333333333333,0.998,0.229,0.28375,False,False,False
43,0,support_val_guided_empirical_1pct,0.12784758730870593,0,0,0.0,0.0033333333333333335,0.0,0.96875,0.005333333333333333,0.9924444444444445,0.18125,0.17925,0.1795,False,False,False
43,0,np_orderstat_id_ood_1pct,0.05579190069182849,0,0,0.0,0.0033333333333333335,0.005333333333333333,0.96875,0.054,0.9924444444444445,0.192,0.17925,0.1795,False,False,False
43,4,support_val_guided_empirical_1pct,0.1557144962757666,4,4,1.0,0.0016666666666666668,0.0013333333333333333,0.96875,0.28,0.992,0.9995,0.17875,0.184,False,False,False
43,4,np_orderstat_id_ood_1pct,0.1557144962757666,4,4,1.0,0.0016666666666666668,0.0013333333333333333,0.96875,0.28,0.992,0.9995,0.17875,0.184,False,False,False
43,8,support_val_guided_empirical_1pct,0.4015836534551133,8,8,1.0,0.0,0.0,0.84375,0.24833333333333332,0.96,0.998,0.1795,0.183,False,False,False
43,8,np_orderstat_id_ood_1pct,0.4015836534551133,8,8,1.0,0.0,0.0,0.84375,0.24833333333333332,0.96,0.998,0.1795,0.183,False,False,False
43,16,support_val_guided_empirical_1pct,0.6044259963259749,16,16,1.0,0.0,0.0,0.84375,0.011,0.9395555555555556,0.99675,0.18075,0.2135,False,False,False
43,16,np_orderstat_id_ood_1pct,0.6044259963259749,16,16,1.0,0.0,0.0,0.84375,0.011,0.9395555555555556,0.99675,0.18075,0.2135,False,False,False
43,32,support_val_guided_empirical_1pct,0.743494843708265,32,32,1.0,0.0,0.0,0.8125,0.0023333333333333335,0.6693333333333333,0.976,0.28125,0.35525,False,False,False
43,32,np_orderstat_id_ood_1pct,0.743494843708265,32,32,1.0,0.0,0.0,0.8125,0.0023333333333333335,0.6693333333333333,0.976,0.28125,0.35525,False,False,False
44,0,support_val_guided_empirical_1pct,0.04275031193618434,0,0,0.0,0.0033333333333333335,0.0,0.96875,0.083,0.9928888888888889,0.93475,0.1795,0.1795,False,False,False
44,0,np_orderstat_id_ood_1pct,0.0320346035119208,0,0,0.0,0.006666666666666667,0.0033333333333333335,0.96875,0.163,0.9928888888888889,0.93475,0.1795,0.1795,False,False,False
44,4,support_val_guided_empirical_1pct,0.38105864909252113,4,4,1.0,0.0,0.0,0.84375,0.25166666666666665,0.7986666666666666,0.98825,0.17825,0.18325,False,False,False
44,4,np_orderstat_id_ood_1pct,0.38105864909252113,4,4,1.0,0.0,0.0,0.84375,0.25166666666666665,0.7986666666666666,0.98825,0.17825,0.18325,False,False,False
44,8,support_val_guided_empirical_1pct,0.4492406639800135,8,8,1.0,0.0,0.0,0.8125,0.206,0.7848888888888889,0.98825,0.179,0.1815,False,False,False
44,8,np_orderstat_id_ood_1pct,0.4492406639800135,8,8,1.0,0.0,0.0,0.8125,0.206,0.7848888888888889,0.98825,0.179,0.1815,False,False,False
44,16,support_val_guided_empirical_1pct,0.2348996576044451,16,16,1.0,0.0,0.0,0.875,0.256,0.9911111111111112,0.9995,0.1795,0.23025,False,False,False
44,16,np_orderstat_id_ood_1pct,0.22518827243486148,16,16,1.0,0.0,0.0013333333333333333,0.875,0.261,0.9915555555555555,0.9995,0.1795,0.23025,False,False,False
