target_role,seed,budget,triage_label,alarm_only,rows,fraction_of_target_rows,alarm_rate,attack_score_mean,attack_score_p90,benign_advantage_mean,attack_distance_advantage_mean
final_ood_benign_eval,42,16,benign_covered,False,1147,0.38233333333333336,0.7149084568439407,0.4112016986768903,0.7279535252005934,17.479243572837078,-17.479243572837078
final_ood_benign_eval,42,16,both_covered_conflict,False,1845,0.615,0.0,0.02078002383659348,0.04191568603801565,1.189608080244969,-1.189608080244969
final_ood_benign_eval,42,16,unknown_uncovered,False,8,0.0026666666666666666,0.75,0.5368112605519759,0.7279535252005934,2.821044921875,-2.821044921875
final_ood_benign_eval,43,16,benign_covered,False,1109,0.36966666666666664,0.029756537421100092,0.33652087543612064,0.5735283136318111,17.8248806360931,-17.8248806360931
final_ood_benign_eval,43,16,both_covered_conflict,False,1883,0.6276666666666667,0.0,0.021021679177161617,0.03620356804354392,1.6802839447194695,-1.6802839447194695
final_ood_benign_eval,43,16,unknown_uncovered,False,8,0.0026666666666666666,0.0,0.38682331611072107,0.5536916068312908,2.77642822265625,-2.77642822265625
final_ood_benign_eval,44,16,benign_covered,False,1128,0.376,0.6870567375886525,0.38774535330584825,0.6479668131873983,17.650399925015495,-17.650399925015495
final_ood_benign_eval,44,16,both_covered_conflict,False,1864,0.6213333333333333,0.001072961373390558,0.015951218019579397,0.029840657499942573,1.0232259171331388,-1.0232259171331388
final_ood_benign_eval,44,16,unknown_uncovered,False,8,0.0026666666666666666,0.75,0.46301392501428373,0.6355277697416003,2.77423095703125,-2.77423095703125
final_ood_benign_eval,45,16,benign_covered,False,1103,0.36766666666666664,0.08794197642792384,0.2769852272603669,0.5388760606662958,18.18654558643469,-18.18654558643469
final_ood_benign_eval,45,16,both_covered_conflict,False,1889,0.6296666666666667,0.0,0.014946760632985216,0.030552350924170135,1.7682543131899997,-1.7682543131899997
final_ood_benign_eval,45,16,unknown_uncovered,False,8,0.0026666666666666666,0.125,0.33387155620889863,0.5959759448968304,2.7852783203125,-2.7852783203125
final_ood_benign_eval,46,16,benign_covered,False,1087,0.36233333333333334,0.05887764489420423,0.3382270204283472,0.5814043032913109,18.05823114144221,-18.05823114144221
final_ood_benign_eval,46,16,both_covered_conflict,False,1905,0.635,0.0,0.02458674312539022,0.05199641517154876,1.384325508182756,-1.384325508182756
final_ood_benign_eval,46,16,unknown_uncovered,False,8,0.0026666666666666666,0.125,0.3757255347215544,0.576538067461177,2.77301025390625,-2.77301025390625
dev_heavy_query_after_active_labeling,42,16,benign_covered,False,3574,0.8935,0.9994404029099049,0.9148315580128679,0.9244985084527285,-553.9039125116964,553.9039125116964
dev_heavy_query_after_active_labeling,42,16,both_covered_conflict,False,426,0.1065,1.0,0.8795294922119378,0.9216830578986169,-104.05452572012172,104.05452572012172
dev_heavy_query_after_active_labeling,43,16,benign_covered,False,3308,0.827,0.9975816203143894,0.9079096080327858,0.9064986310590483,-584.654221112091,584.654221112091
dev_heavy_query_after_active_labeling,43,16,both_covered_conflict,False,692,0.173,0.9927745664739884,0.8873182128267993,0.9310306204852979,-62.567069372000724,62.567069372000724
dev_heavy_query_after_active_labeling,44,16,benign_covered,False,3639,0.90975,1.0,0.9179601631512824,0.94137136789728,-550.9435112676177,550.9435112676177
dev_heavy_query_after_active_labeling,44,16,both_covered_conflict,False,361,0.09025,0.9944598337950139,0.9118916686718492,0.94137136789728,-69.58263220483246,69.58263220483246
dev_heavy_query_after_active_labeling,45,16,benign_covered,False,3290,0.8225,0.9984802431610942,0.8545958572248401,0.8501672365219011,-619.4589321710419,619.4589321710419
dev_heavy_query_after_active_labeling,45,16,both_covered_conflict,False,710,0.1775,0.9971830985915493,0.855521652384528,0.9193900774084609,-89.20617719032396,89.20617719032396
dev_heavy_query_after_active_labeling,46,16,benign_covered,False,3035,0.75875,0.9983525535420099,0.8957649562716485,0.8928488363195775,-590.3809634496196,590.3809634496196
dev_heavy_query_after_active_labeling,46,16,both_covered_conflict,False,965,0.24125,0.9678756476683937,0.8457387133638423,0.8987680831715659,-258.22593724147026,258.22593724147026
medium_attack_eval_report_only,42,16,benign_covered,False,732,0.3253333333333333,0.9959016393442623,0.7598464175968864,0.9216830578986169,-18.796481324675305,18.796481324675305
medium_attack_eval_report_only,42,16,both_covered_conflict,False,1514,0.6728888888888889,0.9907529722589168,0.788206294805578,0.9216830578986169,-21.286702767939676,21.286702767939676
medium_attack_eval_report_only,42,16,unknown_uncovered,False,4,0.0017777777777777779,0.75,0.539804530075271,0.7234868066826531,0.6522216796875,-0.6522216796875
medium_attack_eval_report_only,43,16,benign_covered,False,395,0.17555555555555555,0.7772151898734178,0.7686345789974998,0.9310306204852979,-10.18788593871684,10.18788593871684
medium_attack_eval_report_only,43,16,both_covered_conflict,False,1851,0.8226666666666667,0.9746083198271205,0.8402994660013952,0.9310306204852979,-22.09383420587423,22.09383420587423
medium_attack_eval_report_only,43,16,unknown_uncovered,False,4,0.0017777777777777779,0.75,0.5848852960693209,0.7966868354038357,0.584716796875,-0.584716796875
medium_attack_eval_report_only,44,16,benign_covered,False,782,0.34755555555555556,0.9974424552429667,0.7595694944519824,0.94137136789728,-19.810295970238688,19.810295970238688
medium_attack_eval_report_only,44,16,both_covered_conflict,False,1464,0.6506666666666666,0.9890710382513661,0.7985878035521072,0.94137136789728,-21.207741345701322,21.207741345701322
medium_attack_eval_report_only,44,16,unknown_uncovered,False,4,0.0017777777777777779,0.75,0.6839313683370671,0.9126042584319339,0.613037109375,-0.613037109375
medium_attack_eval_report_only,45,16,benign_covered,False,315,0.14,0.5873015873015873,0.6385117690488348,0.9193900774084609,-10.843403026035853,10.843403026035853
medium_attack_eval_report_only,45,16,both_covered_conflict,False,1931,0.8582222222222222,0.9523562920766442,0.7897846581873994,0.9193900774084609,-23.6724788160413,23.6724788160413
medium_attack_eval_report_only,45,16,unknown_uncovered,False,4,0.0017777777777777779,0.75,0.44201929667805195,0.5931532912770704,0.67138671875,-0.67138671875
medium_attack_eval_report_only,46,16,benign_covered,False,421,0.18711111111111112,0.7292161520190024,0.6811247740147024,0.8478893772183612,-13.595396918525605,13.595396918525605
medium_attack_eval_report_only,46,16,both_covered_conflict,False,1825,0.8111111111111111,0.7742465753424658,0.7566045638514298,0.8987680831715659,-19.80922905072774,19.80922905072774
medium_attack_eval_report_only,46,16,unknown_uncovered,False,4,0.0017777777777777779,0.0,0.3829824329817767,0.5079788759340982,0.6197509765625,-0.6197509765625
