seed,budget,prototype_set,source_role,prototype_count,prototype_hash_or_descriptor,selection_rule,distance_scaler_source,radius_source,p95_radius,uses_final_ood,uses_attack_eval,uses_dev_query
42,16,id_prototypes,id_benign_train,64,7cdfd1ee01549c58ba2700c93755e74f67e2124eeba0e10d3c50c783ee16fd76,id_fit,id_fit|ood_train_guard|base_attack_support_train,id_calib_for_id|ood_val_for_ood|base_support_val_for_attack,5.112029552459717,False,False,False
42,16,ood_prototypes,ood_benign_val,64,0a96cf22a17b77cc29bed6446852b1c280ec8b84b5d145ae3200e37190ec733a,ood_train_guard,id_fit|ood_train_guard|base_attack_support_train,id_calib_for_id|ood_val_for_ood|base_support_val_for_attack,4770.8056640625,False,False,False
42,16,attack_prototypes,attack_support+dev_active_confirmed_attack,64,mixed_medium_new_z_space,kcenter64_from_base_support_train_plus_confirmed_active_labels,id_fit|ood_train_guard|base_attack_support_train,id_calib_for_id|ood_val_for_ood|base_support_val_for_attack,7.320865154266357,False,False,False
43,16,id_prototypes,id_benign_train,64,852e03235fd05d22541de3611d454e4ad697eb9d07babb71aa5ef64fbe2db567,id_fit,id_fit|ood_train_guard|base_attack_support_train,id_calib_for_id|ood_val_for_ood|base_support_val_for_attack,5.116235733032227,False,False,False
43,16,ood_prototypes,ood_benign_val,64,8f7762f971b96387e2890ff5ef8790125b72121c150ea783bf9a07594e2c5b98,ood_train_guard,id_fit|ood_train_guard|base_attack_support_train,id_calib_for_id|ood_val_for_ood|base_support_val_for_attack,4770.8046875,False,False,False
43,16,attack_prototypes,attack_support+dev_active_confirmed_attack,64,mixed_medium_new_z_space,kcenter64_from_base_support_train_plus_confirmed_active_labels,id_fit|ood_train_guard|base_attack_support_train,id_calib_for_id|ood_val_for_ood|base_support_val_for_attack,8.518660545349121,False,False,False
44,16,id_prototypes,id_benign_train,64,8bb4b6c7fc63ef4218d3b85d3046eb4e995c7241b81c14e7159a6a5e034a9d5b,id_fit,id_fit|ood_train_guard|base_attack_support_train,id_calib_for_id|ood_val_for_ood|base_support_val_for_attack,5.129356384277344,False,False,False
44,16,ood_prototypes,ood_benign_val,64,0a96cf22a17b77cc29bed6446852b1c280ec8b84b5d145ae3200e37190ec733a,ood_train_guard,id_fit|ood_train_guard|base_attack_support_train,id_calib_for_id|ood_val_for_ood|base_support_val_for_attack,4770.8056640625,False,False,False
44,16,attack_prototypes,attack_support+dev_active_confirmed_attack,64,mixed_medium_new_z_space,kcenter64_from_base_support_train_plus_confirmed_active_labels,id_fit|ood_train_guard|base_attack_support_train,id_calib_for_id|ood_val_for_ood|base_support_val_for_attack,7.472121238708496,False,False,False
45,16,id_prototypes,id_benign_train,64,b1daba3261c04fb4e9243ae199d5a0f9a02143e9042b9347c66b3838763b66ec,id_fit,id_fit|ood_train_guard|base_attack_support_train,id_calib_for_id|ood_val_for_ood|base_support_val_for_attack,5.146568298339844,False,False,False
45,16,ood_prototypes,ood_benign_val,64,0a96cf22a17b77cc29bed6446852b1c280ec8b84b5d145ae3200e37190ec733a,ood_train_guard,id_fit|ood_train_guard|base_attack_support_train,id_calib_for_id|ood_val_for_ood|base_support_val_for_attack,4770.81298828125,False,False,False
45,16,attack_prototypes,attack_support+dev_active_confirmed_attack,64,mixed_medium_new_z_space,kcenter64_from_base_support_train_plus_confirmed_active_labels,id_fit|ood_train_guard|base_attack_support_train,id_calib_for_id|ood_val_for_ood|base_support_val_for_attack,10.654793739318848,False,False,False
46,16,id_prototypes,id_benign_train,64,168ac1f18d88b68fc8680c8249b80f1d9d62d241f0726f50314eda75ac803a97,id_fit,id_fit|ood_train_guard|base_attack_support_train,id_calib_for_id|ood_val_for_ood|base_support_val_for_attack,5.123999118804932,False,False,False
46,16,ood_prototypes,ood_benign_val,64,8f7762f971b96387e2890ff5ef8790125b72121c150ea783bf9a07594e2c5b98,ood_train_guard,id_fit|ood_train_guard|base_attack_support_train,id_calib_for_id|ood_val_for_ood|base_support_val_for_attack,4770.810546875,False,False,False
46,16,attack_prototypes,attack_support+dev_active_confirmed_attack,64,mixed_medium_new_z_space,kcenter64_from_base_support_train_plus_confirmed_active_labels,id_fit|ood_train_guard|base_attack_support_train,id_calib_for_id|ood_val_for_ood|base_support_val_for_attack,12.872276306152344,False,False,False
