feature_view,object_label,chosen_orientation,chosen_sign,auc_chosen,auc_other_orientation
standard_zscore,dA,neg_raw_score,-1,0.71532984,0.28467016
standard_zscore,ft_transformer_ae,neg_raw_score,-1,0.60805832,0.39194167999999996
winsor_zscore,dA,neg_raw_score,-1,0.55229632,0.44770368000000005
winsor_zscore,ft_transformer_ae,neg_raw_score,-1,0.52583976,0.4741602399999999
signed_log1p_zscore,dA,neg_raw_score,-1,0.70093808,0.29906192
signed_log1p_zscore,ft_transformer_ae,raw_score,1,0.56914038,0.43085962
