weighting,role,attack_label,device,support_coverage,rows_per_seed,parent_detection_mean,temporal_detection_mean,temporal_attack_mean,temporal_attack_p50_mean
strict_frozen_weight4,sealed_final_attack,C&C Communication,ip-camera-street,unseen_in_support,90.0,0.09111111111111111,0.09111111111111111,0.09112149196616309,2.939835892077895e-05
strict_frozen_weight4,future_query,TCP Scan,city-power,unseen_in_support,12000.0,0.1287,0.09441666666666666,0.09442635755740145,2.939835892077895e-05
medium_mass_ratio_recalibrated,future_query,TCP Scan,combined-cycle,unseen_in_support,12000.0,0.25551666666666667,0.10068333333333333,0.1006917161908752,2.939835892077895e-05
strict_frozen_weight4,future_query,Reporting,combined-cycle,unseen_in_support,64.0,0.125,0.103125,0.10313287321163025,2.939835892077895e-05
strict_frozen_weight4,future_query,TCP Scan,domotic-monitor,unseen_in_support,12000.0,0.19545,0.13148333333333334,0.13148528734688442,2.939835892077895e-05
strict_frozen_weight4,future_query,TCP Scan,air-quality,unseen_in_support,12000.0,0.18975,0.13845000000000002,0.13845049987026745,2.939835892077895e-05
strict_frozen_weight4,sealed_final_attack,Reporting,ip-camera-street,unseen_in_support,74.0,0.15135135135135136,0.15135135135135136,0.15134915833931012,2.939835892077895e-05
strict_frozen_weight4,future_query,TCP Scan,combined-cycle,unseen_in_support,12000.0,0.22531666666666667,0.15366666666666667,0.15366399038186726,2.939835892077895e-05
medium_mass_ratio_recalibrated,future_query,TCP Scan,building-monitor,unseen_in_support,12000.0,0.39176666666666665,0.18505000000000002,0.1850407731128009,2.939835892077895e-05
strict_frozen_weight4,sealed_final_attack,Ingress Tool Transfer,ip-camera-street,seen_in_support,3702.0,0.1908698001080497,0.18946515397082658,0.18945500551427444,2.939835892077895e-05
medium_mass_ratio_recalibrated,sealed_final_attack,Reporting,ip-camera-street,unseen_in_support,74.0,0.37027027027027026,0.21621621621621623,0.2162004840451913,2.939835892077895e-05
strict_frozen_weight4,future_query,TCP Scan,building-monitor,unseen_in_support,12000.0,0.3347333333333333,0.21993333333333334,0.21991682529328105,2.939835892077895e-05
strict_frozen_weight4,sealed_final_attack,Telnet Brute Force,ip-camera-street,unseen_in_support,15000.0,0.24790666666666666,0.23121333333333333,0.2311944708335338,2.939835892077895e-05
medium_mass_ratio_recalibrated,sealed_final_attack,Ingress Tool Transfer,ip-camera-street,seen_in_support,3702.0,0.8632631010264722,0.24651539708265802,0.24649334060296949,2.939835892077895e-05
medium_mass_ratio_recalibrated,sealed_final_attack,C&C Communication,ip-camera-street,unseen_in_support,90.0,0.3933333333333333,0.25555555555555554,0.25553161213533215,2.939835892077895e-05
strict_frozen_weight4,sealed_final_attack,TCP Scan,ip-camera-street,unseen_in_support,15000.0,0.2736266666666667,0.27238666666666667,0.27235921011048464,2.939835892077895e-05
strict_frozen_weight4,future_query,Mirai UDP Flooding,combined-cycle,seen_in_support,12000.0,0.31798333333333334,0.31798333333333334,0.3179463594441482,2.939835892077895e-05
medium_mass_ratio_recalibrated,sealed_final_attack,Telnet Brute Force,ip-camera-street,unseen_in_support,15000.0,0.88708,0.3264533333333333,0.3264145915120507,2.939835892077895e-05
