weighting,stage,role,role_kind,rows,parent_hard_mean,parent_hard_min,parent_hard_max,temporal_hard_mean,temporal_hard_min,temporal_hard_max,attack_score_mean,ood_risk_mean,diagnosis
medium_mass_ratio_recalibrated,calibration_select,id_calib,benign_id,51497,7.767442763656135e-05,7.767442763656135e-05,7.767442763656135e-05,0.0,0.0,0.0,2.9398358920778937e-05,0.9999706016410792,calibration_clean
medium_mass_ratio_recalibrated,calibration_select,ood_val,benign_ood,12205,0.002605489553461696,0.0011470708725931996,0.0036870135190495697,0.0002458009012699713,8.19336337566571e-05,0.00040966816878328555,0.00027514795448792387,0.9997248520455122,calibration_clean
medium_mass_ratio_recalibrated,calibration_select,support_val,attack,69,0.9826086956521739,0.9710144927536232,1.0,0.9391304347826087,0.9130434782608695,0.9565217391304348,0.9389638096658087,0.06103619033419124,strong_attack_detection
medium_mass_ratio_recalibrated,read_only,future_query,attack,378145,0.7114096444485581,0.6557537452564492,0.7501434634862288,0.5869875312380172,0.4681405281042986,0.6366076505044361,0.58689440845204,0.41310559154796,mixed_or_intermediate
medium_mass_ratio_recalibrated,read_only,ood_stress,benign_ood,229900,0.9975102218355807,0.997442366246194,0.9976076555023924,0.9972675076120052,0.9971509351892127,0.9973336233144846,0.9970887476195135,0.0029112523804862636,hard_ood_scored_as_attack_and_not_suppressed
medium_mass_ratio_recalibrated,read_only,same_file_query,attack,125679,0.9773661470890125,0.9767423356328424,0.9783734752822667,0.9356407991788604,0.8580828937213059,0.9779517660070497,0.935474902449167,0.06452509755083297,strong_attack_detection
medium_mass_ratio_recalibrated,report_only,sealed_final_attack,attack,110104,0.9053930829034368,0.8499872847489646,0.9276138923199884,0.7959383855264114,0.7933499237084938,0.7984723534113202,0.795801648700046,0.20419835129995395,mixed_or_intermediate
medium_mass_ratio_recalibrated,report_only,sealed_final_ood,benign_ood,154900,0.9988766946417044,0.9975080697224016,0.9992188508715301,0.9974719173660426,0.997224015493867,0.9976371852808263,0.9972931147073686,0.002706885292631306,hard_ood_scored_as_attack_and_not_suppressed
strict_frozen_weight4,calibration_select,id_calib,benign_id,51497,0.0,0.0,0.0,0.0,0.0,0.0,2.9398358920778937e-05,0.9999706016410792,calibration_clean
strict_frozen_weight4,calibration_select,ood_val,benign_ood,12205,0.0,0.0,0.0,0.0,0.0,0.0,2.939835892077894e-05,0.9999706016410793,calibration_clean
strict_frozen_weight4,calibration_select,support_val,attack,69,0.9594202898550724,0.9565217391304348,0.9710144927536232,0.9565217391304348,0.9420289855072463,0.9710144927536232,0.9563514839492696,0.04364851605073035,strong_attack_detection
strict_frozen_weight4,read_only,future_query,attack,378145,0.5802112946092107,0.542392468497534,0.5976146716206746,0.5578172394187415,0.4845866003781618,0.5972285763397639,0.5577302053098835,0.43637857594939944,mixed_or_intermediate
strict_frozen_weight4,read_only,ood_stress,benign_ood,229900,0.9247794693344933,0.6829882557633754,0.9911657242279251,0.9247794693344933,0.6829882557633754,0.9911657242279251,0.9246158396760692,0.07536589532462892,hard_ood_scored_as_attack_and_not_suppressed
strict_frozen_weight4,read_only,same_file_query,attack,125679,0.9555916262860144,0.924370817718155,0.9767582491903978,0.9532698382386875,0.924370817718155,0.9758034357370762,0.9531002618225711,0.046524256609264514,strong_attack_detection
strict_frozen_weight4,report_only,sealed_final_attack,attack,110104,0.7578507592821332,0.6993115599796556,0.7770380730945288,0.7556292232798082,0.6993115599796556,0.7770380730945288,0.755500900132517,0.2437708496680518,mixed_or_intermediate
strict_frozen_weight4,report_only,sealed_final_ood,benign_ood,154900,0.9968173014848288,0.9966107165913493,0.9968689477081988,0.9968173014848288,0.9966107165913493,0.9968689477081988,0.996638635463277,0.003361364536722453,hard_ood_scored_as_attack_and_not_suppressed
