weighting,score,threshold,jobs,equal_mass_mean,strict_above_mass_mean,diagnosis
medium_mass_ratio_recalibrated,parent_attack_score,0.012325198942781961,1,0.017030118259316076,0.009223838281841661,nondegenerate
medium_mass_ratio_recalibrated,parent_attack_score,0.016998485286639876,1,0.017030118259316076,0.008388838184748625,nondegenerate
medium_mass_ratio_recalibrated,parent_attack_score,0.01776340612042322,1,0.002000116511641455,0.009340349923296503,nondegenerate
medium_mass_ratio_recalibrated,parent_attack_score,0.018532874625085537,1,0.0027962793949162087,0.008680117288385731,nondegenerate
medium_mass_ratio_recalibrated,parent_attack_score,0.019177980712155145,1,0.002699186360370507,0.00860244286074917,nondegenerate
medium_mass_ratio_recalibrated,temporal_attack_score,2.939835892077895e-05,5,1.0,0.0,degenerate_tie_or_near_binary_threshold
strict_frozen_weight4,parent_attack_score,0.0027570905699389084,1,0.016408722838223585,0.008524768433112609,nondegenerate
strict_frozen_weight4,parent_attack_score,0.002788595867860858,1,0.011185117579664835,0.006932442666563101,nondegenerate
strict_frozen_weight4,parent_attack_score,0.0029946689883346175,1,0.016408722838223585,0.006194535604015768,nondegenerate
strict_frozen_weight4,parent_attack_score,0.0035585964447935737,1,0.016408722838223585,0.005942093714196944,nondegenerate
strict_frozen_weight4,parent_attack_score,0.004906748399862994,1,0.016408722838223585,0.0014758141250946657,nondegenerate
strict_frozen_weight4,temporal_attack_score,2.939835892077895e-05,5,1.0,0.0,degenerate_tie_or_near_binary_threshold
