weighting,comparison,stage,jobs,positive_rows,negative_rows,temporal_auc_mean,temporal_auc_min,temporal_auc_max,temporal_ap_mean,parent_auc_mean,parent_ap_mean,diagnosis
medium_mass_ratio_recalibrated,dev_query_union_vs_ood_stress,read_only,5,503824,229900,0.33834582636485067,0.28403905388310513,0.3622111933603829,0.6267149540012877,0.43244229100692194,0.7639394487268105,inverted_or_ood_dominates
medium_mass_ratio_recalibrated,sealed_attack_vs_sealed_ood,report_only,5,110104,154900,0.3992332340801844,0.3980629541073134,0.4004175840652469,0.37284714116804957,0.41673018742723295,0.6014357312676792,inverted_or_ood_dominates
medium_mass_ratio_recalibrated,support_val_select_vs_ood_val_select,calibration_select,5,69,12205,0.9694423169406694,0.9563169050460432,0.9781789359314608,0.8983163948504379,0.9998787619709195,0.9837162473180409,separable
strict_frozen_weight4,dev_query_union_vs_ood_stress,read_only,5,503824,229900,0.36584175093089877,0.3236238449901055,0.46082870707655166,0.6361272117309568,0.33966600085434806,0.6252287697022064,inverted_or_ood_dominates
strict_frozen_weight4,sealed_attack_vs_sealed_ood,report_only,5,110104,154900,0.3794059608974896,0.35135042169415315,0.390084562693165,0.36627895729768106,0.04376862854636831,0.28744624887988235,inverted_or_ood_dominates
strict_frozen_weight4,support_val_select_vs_ood_val_select,calibration_select,5,69,12205,0.9782608695652174,0.9710144927536232,0.9855072463768115,0.9567661582277136,0.999958914438725,0.9955653713742889,separable
