split,seed,role,group_field,group_value,rows,raw_alarm_rate,conflict_review_rate,hard_alarm_rate,raw_alarm_count,review_count,hard_count,attack_score_mean,attack_score_p95
main_seed42,42,id_calib,source_group,processed/iotsim-cooler-motor-6.csv,22418,0.0010705682933357123,0.0010705682933357123,0.0,24,24,0,0.0003424347022180233,0.0007629065342628425
main_seed42,42,id_calib,source_group,processed/iotsim-cooler-motor-7.csv,22425,0.0011594202898550724,0.0011594202898550724,0.0,26,26,0,0.0003460384499901234,0.0007629065342628425
main_seed42,42,id_calib,source_group,processed/iotsim-cooler-motor-8.csv,5011,0.001197365795250449,0.001197365795250449,0.0,6,6,0,0.00040778578472054785,0.0006518181248041811
main_seed42,42,id_calib,source_group,processed/iotsim-cooler-motor-9.csv,1643,0.0018259281801582471,0.0018259281801582471,0.0,3,3,0,0.00050382863409641,0.0036901158124691565
main_seed42,42,id_calib,source_family,iotsim-cooler-motor,51497,0.0011456978076392799,0.0011456978076392799,0.0,59,59,0,0.0003555123290367833,0.0007629065342628425
main_seed42,42,id_calib,device_family,iotsim-cooler-motor,51497,0.0011456978076392799,0.0011456978076392799,0.0,59,59,0,0.0003555123290367833,0.0007629065342628425
main_seed42,42,id_calib,time_block,q1,14235,0.0014752370916754477,0.0014752370916754477,0.0,21,21,0,0.0004524471856601746,0.002351262766689931
main_seed42,42,id_calib,time_block,q2,12229,0.0008995011857061084,0.0008995011857061084,0.0,11,11,0,0.00030437536056269923,0.0007629065342628425
main_seed42,42,id_calib,time_block,q3,11772,0.0013591573224600749,0.0013591573224600749,0.0,16,16,0,0.00033164927259210795,0.0007629065342628425
main_seed42,42,id_calib,time_block,q4,13261,0.0008295000377045472,0.0008295000377045472,0.0,11,11,0,0.0003197987481531636,0.0008079091086775766
main_seed42,42,id_calib,attack_label,benign,51497,0.0011456978076392799,0.0011456978076392799,0.0,59,59,0,0.0003555123290367833,0.0007629065342628425
main_seed42,42,id_calib,attack_family,benign,51497,0.0011456978076392799,0.0011456978076392799,0.0,59,59,0,0.0003555123290367833,0.0007629065342628425
main_seed42,42,id_calib,support_seen,unseen,51497,0.0011456978076392799,0.0011456978076392799,0.0,59,59,0,0.0003555123290367833,0.0007629065342628425
main_seed42,42,ood_val,source_group,processed/iotsim-hydraulic-system-12.csv,2446,0.013082583810302535,0.013082583810302535,0.0,32,32,0,0.0013832035224802378,0.002848024010781185
main_seed42,42,ood_val,source_group,processed/iotsim-hydraulic-system-13.csv,2431,0.011517893870835048,0.011517893870835048,0.0,28,28,0,0.001060409078161164,0.0027899799207894045
main_seed42,42,ood_val,source_group,processed/iotsim-hydraulic-system-14.csv,2431,0.009872480460715755,0.009872480460715755,0.0,24,24,0,0.0009235206310838214,0.0028213611213819823
main_seed42,42,ood_val,source_group,processed/iotsim-hydraulic-system-15.csv,2446,0.004497138184791497,0.004497138184791497,0.0,11,11,0,0.001004689169083082,0.0027965574809266907
main_seed42,42,ood_val,source_group,processed/iotsim-hydraulic-system-2.csv,2451,0.0069359445124439,0.0069359445124439,0.0,17,17,0,0.0011665478516705097,0.0028156530228582834
