variant,env_field,role,phase,label,rows,unique_envs,candidate,seed,kind,adv_lambda,split,held_field,held_value
C0_c4_histgb,,support_train,fit,3,385,1,CKN_C0_c4_histgb_seed42,42,histgb,0.0,main,,
C0_c4_histgb,,id_calib,fit,0,20000,1,CKN_C0_c4_histgb_seed42,42,histgb,0.0,main,,
C0_c4_histgb,,ood_val,fit,1,11295,1,CKN_C0_c4_histgb_seed42,42,histgb,0.0,main,,
C0_c4_histgb,,ood_stress,fit,2,20000,1,CKN_C0_c4_histgb_seed42,42,histgb,0.0,main,,
N1_mlp_erm,,support_train,fit,3,385,1,CKN_N1_mlp_erm_seed42,42,neural,0.0,main,,
N1_mlp_erm,,id_calib,fit,0,20000,1,CKN_N1_mlp_erm_seed42,42,neural,0.0,main,,
N1_mlp_erm,,ood_val,fit,1,11295,1,CKN_N1_mlp_erm_seed42,42,neural,0.0,main,,
N1_mlp_erm,,ood_stress,fit,2,20000,1,CKN_N1_mlp_erm_seed42,42,neural,0.0,main,,
N2_dann_device_family,device_family,support_train,fit,3,385,3,CKN_N2_dann_device_family_seed42,42,neural,0.2,main,,
N2_dann_device_family,device_family,id_calib,fit,0,20000,2,CKN_N2_dann_device_family_seed42,42,neural,0.2,main,,
N2_dann_device_family,device_family,ood_val,fit,1,11295,2,CKN_N2_dann_device_family_seed42,42,neural,0.2,main,,
N2_dann_device_family,device_family,ood_stress,fit,2,20000,1,CKN_N2_dann_device_family_seed42,42,neural,0.2,main,,
N3_dann_source_family,source_family,support_train,fit,3,385,3,CKN_N3_dann_source_family_seed42,42,neural,0.2,main,,
N3_dann_source_family,source_family,id_calib,fit,0,20000,2,CKN_N3_dann_source_family_seed42,42,neural,0.2,main,,
N3_dann_source_family,source_family,ood_val,fit,1,11295,2,CKN_N3_dann_source_family_seed42,42,neural,0.2,main,,
N3_dann_source_family,source_family,ood_stress,fit,2,20000,1,CKN_N3_dann_source_family_seed42,42,neural,0.2,main,,
C0_c4_histgb,,support_train,fit,3,385,1,CKN_C0_c4_histgb_seed43,43,histgb,0.0,main,,
C0_c4_histgb,,id_calib,fit,0,20000,1,CKN_C0_c4_histgb_seed43,43,histgb,0.0,main,,
C0_c4_histgb,,ood_val,fit,1,11295,1,CKN_C0_c4_histgb_seed43,43,histgb,0.0,main,,
C0_c4_histgb,,ood_stress,fit,2,20000,1,CKN_C0_c4_histgb_seed43,43,histgb,0.0,main,,
N1_mlp_erm,,support_train,fit,3,385,1,CKN_N1_mlp_erm_seed43,43,neural,0.0,main,,
N1_mlp_erm,,id_calib,fit,0,20000,1,CKN_N1_mlp_erm_seed43,43,neural,0.0,main,,
N1_mlp_erm,,ood_val,fit,1,11295,1,CKN_N1_mlp_erm_seed43,43,neural,0.0,main,,
N1_mlp_erm,,ood_stress,fit,2,20000,1,CKN_N1_mlp_erm_seed43,43,neural,0.0,main,,
N2_dann_device_family,device_family,support_train,fit,3,385,3,CKN_N2_dann_device_family_seed43,43,neural,0.2,main,,
N2_dann_device_family,device_family,id_calib,fit,0,20000,2,CKN_N2_dann_device_family_seed43,43,neural,0.2,main,,
N2_dann_device_family,device_family,ood_val,fit,1,11295,2,CKN_N2_dann_device_family_seed43,43,neural,0.2,main,,
N2_dann_device_family,device_family,ood_stress,fit,2,20000,1,CKN_N2_dann_device_family_seed43,43,neural,0.2,main,,
N3_dann_source_family,source_family,support_train,fit,3,385,3,CKN_N3_dann_source_family_seed43,43,neural,0.2,main,,
N3_dann_source_family,source_family,id_calib,fit,0,20000,2,CKN_N3_dann_source_family_seed43,43,neural,0.2,main,,
N3_dann_source_family,source_family,ood_val,fit,1,11295,2,CKN_N3_dann_source_family_seed43,43,neural,0.2,main,,
N3_dann_source_family,source_family,ood_stress,fit,2,20000,1,CKN_N3_dann_source_family_seed43,43,neural,0.2,main,,
C0_c4_histgb,,support_train,fit,3,385,1,CKN_C0_c4_histgb_seed44,44,histgb,0.0,main,,
C0_c4_histgb,,id_calib,fit,0,20000,1,CKN_C0_c4_histgb_seed44,44,histgb,0.0,main,,
C0_c4_histgb,,ood_val,fit,1,11295,1,CKN_C0_c4_histgb_seed44,44,histgb,0.0,main,,
C0_c4_histgb,,ood_stress,fit,2,20000,1,CKN_C0_c4_histgb_seed44,44,histgb,0.0,main,,
N1_mlp_erm,,support_train,fit,3,385,1,CKN_N1_mlp_erm_seed44,44,neural,0.0,main,,
N1_mlp_erm,,id_calib,fit,0,20000,1,CKN_N1_mlp_erm_seed44,44,neural,0.0,main,,
N1_mlp_erm,,ood_val,fit,1,11295,1,CKN_N1_mlp_erm_seed44,44,neural,0.0,main,,
N1_mlp_erm,,ood_stress,fit,2,20000,1,CKN_N1_mlp_erm_seed44,44,neural,0.0,main,,
N2_dann_device_family,device_family,support_train,fit,3,385,3,CKN_N2_dann_device_family_seed44,44,neural,0.2,main,,
N2_dann_device_family,device_family,id_calib,fit,0,20000,2,CKN_N2_dann_device_family_seed44,44,neural,0.2,main,,
N2_dann_device_family,device_family,ood_val,fit,1,11295,2,CKN_N2_dann_device_family_seed44,44,neural,0.2,main,,
N2_dann_device_family,device_family,ood_stress,fit,2,20000,1,CKN_N2_dann_device_family_seed44,44,neural,0.2,main,,
N3_dann_source_family,source_family,support_train,fit,3,385,3,CKN_N3_dann_source_family_seed44,44,neural,0.2,main,,
N3_dann_source_family,source_family,id_calib,fit,0,20000,2,CKN_N3_dann_source_family_seed44,44,neural,0.2,main,,
N3_dann_source_family,source_family,ood_val,fit,1,11295,2,CKN_N3_dann_source_family_seed44,44,neural,0.2,main,,
N3_dann_source_family,source_family,ood_stress,fit,2,20000,1,CKN_N3_dann_source_family_seed44,44,neural,0.2,main,,
C0_c4_histgb,,support_train,fit,3,385,1,CKN_C0_c4_histgb_seed42_leave_iotsim-ip-camera-street,42,histgb,0.0,leave_device_family,device_family,iotsim-ip-camera-street
C0_c4_histgb,,id_calib,fit,0,20000,1,CKN_C0_c4_histgb_seed42_leave_iotsim-ip-camera-street,42,histgb,0.0,leave_device_family,device_family,iotsim-ip-camera-street
C0_c4_histgb,,ood_val,fit,1,11295,1,CKN_C0_c4_histgb_seed42_leave_iotsim-ip-camera-street,42,histgb,0.0,leave_device_family,device_family,iotsim-ip-camera-street
C0_c4_histgb,,ood_stress,fit,2,20000,1,CKN_C0_c4_histgb_seed42_leave_iotsim-ip-camera-street,42,histgb,0.0,leave_device_family,device_family,iotsim-ip-camera-street
N1_mlp_erm,,support_train,fit,3,385,1,CKN_N1_mlp_erm_seed42_leave_iotsim-ip-camera-street,42,neural,0.0,leave_device_family,device_family,iotsim-ip-camera-street
N1_mlp_erm,,id_calib,fit,0,20000,1,CKN_N1_mlp_erm_seed42_leave_iotsim-ip-camera-street,42,neural,0.0,leave_device_family,device_family,iotsim-ip-camera-street
N1_mlp_erm,,ood_val,fit,1,11295,1,CKN_N1_mlp_erm_seed42_leave_iotsim-ip-camera-street,42,neural,0.0,leave_device_family,device_family,iotsim-ip-camera-street
N1_mlp_erm,,ood_stress,fit,2,20000,1,CKN_N1_mlp_erm_seed42_leave_iotsim-ip-camera-street,42,neural,0.0,leave_device_family,device_family,iotsim-ip-camera-street
N2_dann_device_family,device_family,support_train,fit,3,385,3,CKN_N2_dann_device_family_seed42_leave_iotsim-ip-camera-street,42,neural,0.2,leave_device_family,device_family,iotsim-ip-camera-street
N2_dann_device_family,device_family,id_calib,fit,0,20000,2,CKN_N2_dann_device_family_seed42_leave_iotsim-ip-camera-street,42,neural,0.2,leave_device_family,device_family,iotsim-ip-camera-street
N2_dann_device_family,device_family,ood_val,fit,1,11295,2,CKN_N2_dann_device_family_seed42_leave_iotsim-ip-camera-street,42,neural,0.2,leave_device_family,device_family,iotsim-ip-camera-street
N2_dann_device_family,device_family,ood_stress,fit,2,20000,1,CKN_N2_dann_device_family_seed42_leave_iotsim-ip-camera-street,42,neural,0.2,leave_device_family,device_family,iotsim-ip-camera-street
C0_c4_histgb,,support_train,fit,3,385,1,CKN_C0_c4_histgb_seed42_leave_iotsim-ip-camera-museum,42,histgb,0.0,leave_device_family,device_family,iotsim-ip-camera-museum
C0_c4_histgb,,id_calib,fit,0,20000,1,CKN_C0_c4_histgb_seed42_leave_iotsim-ip-camera-museum,42,histgb,0.0,leave_device_family,device_family,iotsim-ip-camera-museum
C0_c4_histgb,,ood_val,fit,1,11295,1,CKN_C0_c4_histgb_seed42_leave_iotsim-ip-camera-museum,42,histgb,0.0,leave_device_family,device_family,iotsim-ip-camera-museum
C0_c4_histgb,,ood_stress,fit,2,20000,1,CKN_C0_c4_histgb_seed42_leave_iotsim-ip-camera-museum,42,histgb,0.0,leave_device_family,device_family,iotsim-ip-camera-museum
N1_mlp_erm,,support_train,fit,3,385,1,CKN_N1_mlp_erm_seed42_leave_iotsim-ip-camera-museum,42,neural,0.0,leave_device_family,device_family,iotsim-ip-camera-museum
N1_mlp_erm,,id_calib,fit,0,20000,1,CKN_N1_mlp_erm_seed42_leave_iotsim-ip-camera-museum,42,neural,0.0,leave_device_family,device_family,iotsim-ip-camera-museum
N1_mlp_erm,,ood_val,fit,1,11295,1,CKN_N1_mlp_erm_seed42_leave_iotsim-ip-camera-museum,42,neural,0.0,leave_device_family,device_family,iotsim-ip-camera-museum
N1_mlp_erm,,ood_stress,fit,2,20000,1,CKN_N1_mlp_erm_seed42_leave_iotsim-ip-camera-museum,42,neural,0.0,leave_device_family,device_family,iotsim-ip-camera-museum
N2_dann_device_family,device_family,support_train,fit,3,385,3,CKN_N2_dann_device_family_seed42_leave_iotsim-ip-camera-museum,42,neural,0.2,leave_device_family,device_family,iotsim-ip-camera-museum
N2_dann_device_family,device_family,id_calib,fit,0,20000,2,CKN_N2_dann_device_family_seed42_leave_iotsim-ip-camera-museum,42,neural,0.2,leave_device_family,device_family,iotsim-ip-camera-museum
N2_dann_device_family,device_family,ood_val,fit,1,11295,2,CKN_N2_dann_device_family_seed42_leave_iotsim-ip-camera-museum,42,neural,0.2,leave_device_family,device_family,iotsim-ip-camera-museum
