epoch,main_loss,env_loss,train_acc,env_acc,candidate,seed,variant,split,held_field,held_value
1,0.4074325289980915,0.0,0.27203947368421055,1.0,CKN_N1_mlp_erm_seed42,42,N1_mlp_erm,main,,
2,0.11762498502760849,0.0,0.5148413312693498,1.0,CKN_N1_mlp_erm_seed42,42,N1_mlp_erm,main,,
3,0.07150217754645244,0.0,0.7307856037151703,1.0,CKN_N1_mlp_erm_seed42,42,N1_mlp_erm,main,,
4,0.04716636018118253,0.0,0.8070820433436533,1.0,CKN_N1_mlp_erm_seed42,42,N1_mlp_erm,main,,
5,0.03759648348824712,0.0,0.8735874613003096,1.0,CKN_N1_mlp_erm_seed42,42,N1_mlp_erm,main,,
6,0.030983277171527268,0.0,0.9049148606811146,1.0,CKN_N1_mlp_erm_seed42,42,N1_mlp_erm,main,,
7,0.02528744041573706,0.0,0.9218266253869969,1.0,CKN_N1_mlp_erm_seed42,42,N1_mlp_erm,main,,
8,0.023905903964819553,0.0,0.9238777089783282,1.0,CKN_N1_mlp_erm_seed42,42,N1_mlp_erm,main,,
9,0.02141146457324456,0.0,0.9308243034055728,1.0,CKN_N1_mlp_erm_seed42,42,N1_mlp_erm,main,,
10,0.018850287476744814,0.0,0.935061919504644,1.0,CKN_N1_mlp_erm_seed42,42,N1_mlp_erm,main,,
11,0.016940948420172505,0.0,0.9390673374613003,1.0,CKN_N1_mlp_erm_seed42,42,N1_mlp_erm,main,,
12,0.01582924604023758,0.0,0.9429760061919504,1.0,CKN_N1_mlp_erm_seed42,42,N1_mlp_erm,main,,
13,0.014796190929740391,0.0,0.9470201238390092,1.0,CKN_N1_mlp_erm_seed42,42,N1_mlp_erm,main,,
14,0.01393184490709482,0.0,0.9506578947368421,1.0,CKN_N1_mlp_erm_seed42,42,N1_mlp_erm,main,,
15,0.012895618785091966,0.0,0.9550890092879257,1.0,CKN_N1_mlp_erm_seed42,42,N1_mlp_erm,main,,
16,0.012375249042991698,0.0,0.9565789473684211,1.0,CKN_N1_mlp_erm_seed42,42,N1_mlp_erm,main,,
17,0.011386404405045252,0.0,0.9611068111455109,1.0,CKN_N1_mlp_erm_seed42,42,N1_mlp_erm,main,,
