candidate,variant,kind,env_field,adv_lambda,split,seed,role,phase,rows,attack_threshold,raw_alarm_rate,conflict_review_rate,hard_alarm_rate,review_count,hard_count,attack_score_mean,conflict_score_mean,held_field,held_value
CKN_C0_c4_histgb_seed42_leave_iotsim-ip-camera-museum,C0_c4_histgb,histgb,,0.0,leave_device_family,42,ood_val,select,0,0.010761205956304138,nan,nan,nan,0,0,nan,nan,device_family,iotsim-ip-camera-museum
CKN_C0_c4_histgb_seed42_leave_iotsim-ip-camera-museum,C0_c4_histgb,histgb,,0.0,leave_device_family,42,ood_stress,select,0,0.010761205956304138,nan,nan,nan,0,0,nan,nan,device_family,iotsim-ip-camera-museum
CKN_C0_c4_histgb_seed42_leave_iotsim-ip-camera-museum,C0_c4_histgb,histgb,,0.0,leave_device_family,42,support_val,select,0,0.010761205956304138,nan,nan,nan,0,0,nan,nan,device_family,iotsim-ip-camera-museum
CKN_C0_c4_histgb_seed42_leave_iotsim-ip-camera-museum,C0_c4_histgb,histgb,,0.0,leave_device_family,42,same_file_query,select,0,0.010761205956304138,nan,nan,nan,0,0,nan,nan,device_family,iotsim-ip-camera-museum
CKN_C0_c4_histgb_seed42_leave_iotsim-ip-camera-museum,C0_c4_histgb,histgb,,0.0,leave_device_family,42,future_query,select,0,0.010761205956304138,nan,nan,nan,0,0,nan,nan,device_family,iotsim-ip-camera-museum
CKN_C0_c4_histgb_seed42_leave_iotsim-ip-camera-museum,C0_c4_histgb,histgb,,0.0,leave_device_family,42,sealed_final_ood,all,54950,0.010761205956304138,0.021910828025477707,0.019326660600545952,0.002584167424931756,1062,142,0.0038127760797502836,0.9950386049761598,device_family,iotsim-ip-camera-museum
CKN_C0_c4_histgb_seed42_leave_iotsim-ip-camera-museum,C0_c4_histgb,histgb,,0.0,leave_device_family,42,sealed_final_attack,all,0,0.010761205956304138,nan,nan,nan,0,0,nan,nan,device_family,iotsim-ip-camera-museum
CKN_N1_mlp_erm_seed42_leave_iotsim-ip-camera-museum,N1_mlp_erm,neural,,0.0,leave_device_family,42,id_calib,select,0,0.8869431614875793,nan,nan,nan,0,0,nan,nan,device_family,iotsim-ip-camera-museum
CKN_N1_mlp_erm_seed42_leave_iotsim-ip-camera-museum,N1_mlp_erm,neural,,0.0,leave_device_family,42,ood_val,select,0,0.8869431614875793,nan,nan,nan,0,0,nan,nan,device_family,iotsim-ip-camera-museum
CKN_N1_mlp_erm_seed42_leave_iotsim-ip-camera-museum,N1_mlp_erm,neural,,0.0,leave_device_family,42,ood_stress,select,0,0.8869431614875793,nan,nan,nan,0,0,nan,nan,device_family,iotsim-ip-camera-museum
