candidate,variant,kind,env_field,adv_lambda,split,seed,role,phase,rows,attack_threshold,raw_alarm_rate,conflict_review_rate,hard_alarm_rate,review_count,hard_count,attack_score_mean,conflict_score_mean
CKN_C0_c4_histgb_seed42,C0_c4_histgb,histgb,,0.0,main,42,id_calib,select,51497,0.010761205956304138,0.0011456978076392799,0.0011456978076392799,0.0,59,0,0.0003555123290367833,0.9991554620571163
CKN_C0_c4_histgb_seed42,C0_c4_histgb,histgb,,0.0,main,42,ood_val,select,12205,0.010761205956304138,0.009176566980745596,0.009176566980745596,0.0,112,0,0.0011079825834643883,0.9492462299689463
CKN_C0_c4_histgb_seed42,C0_c4_histgb,histgb,,0.0,main,42,ood_stress,select,79950,0.010761205956304138,0.005666041275797374,0.005403377110694184,0.0002626641651031895,432,21,0.0006625180196149276,0.9984500657093468
CKN_C0_c4_histgb_seed42,C0_c4_histgb,histgb,,0.0,main,42,support_val,select,69,0.010761205956304138,1.0,0.014492753623188406,0.9855072463768116,1,68,0.977043480127615,0.0220042659898386
CKN_C0_c4_histgb_seed42,C0_c4_histgb,histgb,,0.0,main,42,same_file_query,select,67749,0.010761205956304138,1.0,0.0017417231250645767,0.9982582768749354,118,67631,0.9872947705773211,0.008545779614274536
CKN_C0_c4_histgb_seed42,C0_c4_histgb,histgb,,0.0,main,42,future_query,select,228649,0.010761205956304138,0.9987929096562854,0.006149163127763515,0.9926437465285218,1406,226967,0.8996116691416112,0.06628355637275922
CKN_C0_c4_histgb_seed42,C0_c4_histgb,histgb,,0.0,main,42,sealed_final_ood,all,154900,0.010761205956304138,0.0403098773402195,0.03703034215622983,0.003279535183989671,5736,508,0.005632595740500388,0.9930975503218229
CKN_C0_c4_histgb_seed42,C0_c4_histgb,histgb,,0.0,main,42,sealed_final_attack,all,110104,0.010761205956304138,0.9983651820097362,0.006185061396497857,0.9921801206132383,681,109243,0.9702413288825302,0.017599795323326974
CKN_N1_mlp_erm_seed42,N1_mlp_erm,neural,,0.0,main,42,id_calib,select,51497,0.8869431614875793,0.00011651164145484203,0.0,0.00011651164145484203,0,6,0.011988073907287233,0.9733580457796106
CKN_N1_mlp_erm_seed42,N1_mlp_erm,neural,,0.0,main,42,ood_val,select,12205,0.8869431614875793,0.009832036050798854,0.0,0.009832036050798854,0,120,0.013444562579011457,0.9487457019333002
