feature_set,target_field,train_roles,eval_role,eval_phase,rows,classes_train,accuracy,balanced_accuracy
F0_raw115,device_family,id_calib:fit:20000|ood_val:fit:11295|ood_stress:fit:20000,id_calib,select,51497,5,0.9996504650756355,0.9996504650756355
F0_raw115,device_family,id_calib:fit:20000|ood_val:fit:11295|ood_stress:fit:20000,ood_val,select,12205,5,0.9839410077836952,0.9839410077836952
F0_raw115,device_family,id_calib:fit:20000|ood_val:fit:11295|ood_stress:fit:20000,ood_stress,select,79950,5,0.9986991869918699,0.9986991869918699
F0_raw115,device_family,id_calib:fit:20000|ood_val:fit:11295|ood_stress:fit:20000,sealed_final_ood,all,154900,5,0.0,0.0
F0_raw115,source_family,id_calib:fit:20000|ood_val:fit:11295|ood_stress:fit:20000,id_calib,select,51497,5,0.9996504650756355,0.9996504650756355
F0_raw115,source_family,id_calib:fit:20000|ood_val:fit:11295|ood_stress:fit:20000,ood_val,select,12205,5,0.9839410077836952,0.9839410077836952
F0_raw115,source_family,id_calib:fit:20000|ood_val:fit:11295|ood_stress:fit:20000,ood_stress,select,79950,5,0.9986991869918699,0.9986991869918699
F0_raw115,source_family,id_calib:fit:20000|ood_val:fit:11295|ood_stress:fit:20000,sealed_final_ood,all,154900,5,0.0,0.0
F1_global_robust_tail,device_family,id_calib:fit:20000|ood_val:fit:11295|ood_stress:fit:20000,id_calib,select,51497,5,0.9996504650756355,0.9996504650756355
F1_global_robust_tail,device_family,id_calib:fit:20000|ood_val:fit:11295|ood_stress:fit:20000,ood_val,select,12205,5,0.9841868086849652,0.9841868086849652
F1_global_robust_tail,device_family,id_calib:fit:20000|ood_val:fit:11295|ood_stress:fit:20000,ood_stress,select,79950,5,0.9987116948092558,0.9987116948092558
F1_global_robust_tail,device_family,id_calib:fit:20000|ood_val:fit:11295|ood_stress:fit:20000,sealed_final_ood,all,154900,5,0.0,0.0
F1_global_robust_tail,source_family,id_calib:fit:20000|ood_val:fit:11295|ood_stress:fit:20000,id_calib,select,51497,5,0.9996504650756355,0.9996504650756355
F1_global_robust_tail,source_family,id_calib:fit:20000|ood_val:fit:11295|ood_stress:fit:20000,ood_val,select,12205,5,0.9841868086849652,0.9841868086849652
F1_global_robust_tail,source_family,id_calib:fit:20000|ood_val:fit:11295|ood_stress:fit:20000,ood_stress,select,79950,5,0.9987116948092558,0.9987116948092558
F1_global_robust_tail,source_family,id_calib:fit:20000|ood_val:fit:11295|ood_stress:fit:20000,sealed_final_ood,all,154900,5,0.0,0.0
F1_global_robust_only,device_family,id_calib:fit:20000|ood_val:fit:11295|ood_stress:fit:20000,id_calib,select,51497,5,0.9996504650756355,0.9996504650756355
F1_global_robust_only,device_family,id_calib:fit:20000|ood_val:fit:11295|ood_stress:fit:20000,ood_val,select,12205,5,0.9972961900860303,0.9972961900860303
F1_global_robust_only,device_family,id_calib:fit:20000|ood_val:fit:11295|ood_stress:fit:20000,ood_stress,select,79950,5,0.9980487804878049,0.9980487804878049
F1_global_robust_only,device_family,id_calib:fit:20000|ood_val:fit:11295|ood_stress:fit:20000,sealed_final_ood,all,154900,5,0.0,0.0
F1_global_robust_only,source_family,id_calib:fit:20000|ood_val:fit:11295|ood_stress:fit:20000,id_calib,select,51497,5,0.9996504650756355,0.9996504650756355
F1_global_robust_only,source_family,id_calib:fit:20000|ood_val:fit:11295|ood_stress:fit:20000,ood_val,select,12205,5,0.9972961900860303,0.9972961900860303
F1_global_robust_only,source_family,id_calib:fit:20000|ood_val:fit:11295|ood_stress:fit:20000,ood_stress,select,79950,5,0.9980487804878049,0.9980487804878049
F1_global_robust_only,source_family,id_calib:fit:20000|ood_val:fit:11295|ood_stress:fit:20000,sealed_final_ood,all,154900,5,0.0,0.0
F1_device_family_robust_tail,device_family,id_calib:fit:20000|ood_val:fit:11295|ood_stress:fit:20000,id_calib,select,51497,5,0.9999611627861817,0.9999611627861817
