candidate,feature_set,seed,role,phase,label,rows,feature_dim,group_fallback_rate,split,held_field,held_value
CKL_F1_device_family_robust_only_seed44,F1_device_family_robust_only,44,ood_stress,fit,2,20000,690,nan,main,,
CKL_F0_raw115_seed45,F0_raw115,45,support_train,fit,3,385,115,nan,main,,
CKL_F0_raw115_seed45,F0_raw115,45,id_calib,fit,0,20000,115,nan,main,,
CKL_F0_raw115_seed45,F0_raw115,45,ood_val,fit,1,11295,115,nan,main,,
CKL_F0_raw115_seed45,F0_raw115,45,ood_stress,fit,2,20000,115,nan,main,,
CKL_F1_global_robust_tail_seed45,F1_global_robust_tail,45,support_train,fit,3,385,460,nan,main,,
CKL_F1_global_robust_tail_seed45,F1_global_robust_tail,45,id_calib,fit,0,20000,460,nan,main,,
CKL_F1_global_robust_tail_seed45,F1_global_robust_tail,45,ood_val,fit,1,11295,460,nan,main,,
CKL_F1_global_robust_tail_seed45,F1_global_robust_tail,45,ood_stress,fit,2,20000,460,nan,main,,
CKL_F1_global_robust_only_seed45,F1_global_robust_only,45,support_train,fit,3,385,345,nan,main,,
CKL_F1_global_robust_only_seed45,F1_global_robust_only,45,id_calib,fit,0,20000,345,nan,main,,
CKL_F1_global_robust_only_seed45,F1_global_robust_only,45,ood_val,fit,1,11295,345,nan,main,,
CKL_F1_global_robust_only_seed45,F1_global_robust_only,45,ood_stress,fit,2,20000,345,nan,main,,
CKL_F1_device_family_robust_tail_seed45,F1_device_family_robust_tail,45,support_train,fit,3,385,805,1.0,main,,
CKL_F1_device_family_robust_tail_seed45,F1_device_family_robust_tail,45,id_calib,fit,0,20000,805,0.0,main,,
CKL_F1_device_family_robust_tail_seed45,F1_device_family_robust_tail,45,ood_val,fit,1,11295,805,0.0,main,,
CKL_F1_device_family_robust_tail_seed45,F1_device_family_robust_tail,45,ood_stress,fit,2,20000,805,0.0,main,,
CKL_F1_device_family_robust_only_seed45,F1_device_family_robust_only,45,support_train,fit,3,385,690,nan,main,,
CKL_F1_device_family_robust_only_seed45,F1_device_family_robust_only,45,id_calib,fit,0,20000,690,nan,main,,
CKL_F1_device_family_robust_only_seed45,F1_device_family_robust_only,45,ood_val,fit,1,11295,690,nan,main,,
CKL_F1_device_family_robust_only_seed45,F1_device_family_robust_only,45,ood_stress,fit,2,20000,690,nan,main,,
CKL_F0_raw115_seed46,F0_raw115,46,support_train,fit,3,385,115,nan,main,,
CKL_F0_raw115_seed46,F0_raw115,46,id_calib,fit,0,20000,115,nan,main,,
CKL_F0_raw115_seed46,F0_raw115,46,ood_val,fit,1,11295,115,nan,main,,
CKL_F0_raw115_seed46,F0_raw115,46,ood_stress,fit,2,20000,115,nan,main,,
CKL_F1_global_robust_tail_seed46,F1_global_robust_tail,46,support_train,fit,3,385,460,nan,main,,
CKL_F1_global_robust_tail_seed46,F1_global_robust_tail,46,id_calib,fit,0,20000,460,nan,main,,
CKL_F1_global_robust_tail_seed46,F1_global_robust_tail,46,ood_val,fit,1,11295,460,nan,main,,
CKL_F1_global_robust_tail_seed46,F1_global_robust_tail,46,ood_stress,fit,2,20000,460,nan,main,,
CKL_F1_global_robust_only_seed46,F1_global_robust_only,46,support_train,fit,3,385,345,nan,main,,
CKL_F1_global_robust_only_seed46,F1_global_robust_only,46,id_calib,fit,0,20000,345,nan,main,,
CKL_F1_global_robust_only_seed46,F1_global_robust_only,46,ood_val,fit,1,11295,345,nan,main,,
CKL_F1_global_robust_only_seed46,F1_global_robust_only,46,ood_stress,fit,2,20000,345,nan,main,,
CKL_F1_device_family_robust_tail_seed46,F1_device_family_robust_tail,46,support_train,fit,3,385,805,1.0,main,,
CKL_F1_device_family_robust_tail_seed46,F1_device_family_robust_tail,46,id_calib,fit,0,20000,805,0.0,main,,
CKL_F1_device_family_robust_tail_seed46,F1_device_family_robust_tail,46,ood_val,fit,1,11295,805,0.0,main,,
CKL_F1_device_family_robust_tail_seed46,F1_device_family_robust_tail,46,ood_stress,fit,2,20000,805,0.0,main,,
CKL_F1_device_family_robust_only_seed46,F1_device_family_robust_only,46,support_train,fit,3,385,690,nan,main,,
CKL_F1_device_family_robust_only_seed46,F1_device_family_robust_only,46,id_calib,fit,0,20000,690,nan,main,,
CKL_F1_device_family_robust_only_seed46,F1_device_family_robust_only,46,ood_val,fit,1,11295,690,nan,main,,
CKL_F1_device_family_robust_only_seed46,F1_device_family_robust_only,46,ood_stress,fit,2,20000,690,nan,main,,
CKL_F0_raw115_seed42,F0_raw115,42,support_train,fit,3,385,115,nan,leave_device_family,device_family,iotsim-ip-camera-street
CKL_F0_raw115_seed42,F0_raw115,42,id_calib,fit,0,20000,115,nan,leave_device_family,device_family,iotsim-ip-camera-street
CKL_F0_raw115_seed42,F0_raw115,42,ood_val,fit,1,11295,115,nan,leave_device_family,device_family,iotsim-ip-camera-street
CKL_F0_raw115_seed42,F0_raw115,42,ood_stress,fit,2,20000,115,nan,leave_device_family,device_family,iotsim-ip-camera-street
CKL_F1_global_robust_tail_seed42,F1_global_robust_tail,42,support_train,fit,3,385,460,nan,leave_device_family,device_family,iotsim-ip-camera-street
CKL_F1_global_robust_tail_seed42,F1_global_robust_tail,42,id_calib,fit,0,20000,460,nan,leave_device_family,device_family,iotsim-ip-camera-street
CKL_F1_global_robust_tail_seed42,F1_global_robust_tail,42,ood_val,fit,1,11295,460,nan,leave_device_family,device_family,iotsim-ip-camera-street
CKL_F1_global_robust_tail_seed42,F1_global_robust_tail,42,ood_stress,fit,2,20000,460,nan,leave_device_family,device_family,iotsim-ip-camera-street
CKL_F1_global_robust_only_seed42,F1_global_robust_only,42,support_train,fit,3,385,345,nan,leave_device_family,device_family,iotsim-ip-camera-street
CKL_F1_global_robust_only_seed42,F1_global_robust_only,42,id_calib,fit,0,20000,345,nan,leave_device_family,device_family,iotsim-ip-camera-street
CKL_F1_global_robust_only_seed42,F1_global_robust_only,42,ood_val,fit,1,11295,345,nan,leave_device_family,device_family,iotsim-ip-camera-street
CKL_F1_global_robust_only_seed42,F1_global_robust_only,42,ood_stress,fit,2,20000,345,nan,leave_device_family,device_family,iotsim-ip-camera-street
CKL_F1_device_family_robust_tail_seed42,F1_device_family_robust_tail,42,support_train,fit,3,385,805,1.0,leave_device_family,device_family,iotsim-ip-camera-street
CKL_F1_device_family_robust_tail_seed42,F1_device_family_robust_tail,42,id_calib,fit,0,20000,805,0.0,leave_device_family,device_family,iotsim-ip-camera-street
CKL_F1_device_family_robust_tail_seed42,F1_device_family_robust_tail,42,ood_val,fit,1,11295,805,0.0,leave_device_family,device_family,iotsim-ip-camera-street
CKL_F1_device_family_robust_tail_seed42,F1_device_family_robust_tail,42,ood_stress,fit,2,20000,805,0.0,leave_device_family,device_family,iotsim-ip-camera-street
CKL_F1_device_family_robust_only_seed42,F1_device_family_robust_only,42,support_train,fit,3,385,690,nan,leave_device_family,device_family,iotsim-ip-camera-street
CKL_F1_device_family_robust_only_seed42,F1_device_family_robust_only,42,id_calib,fit,0,20000,690,nan,leave_device_family,device_family,iotsim-ip-camera-street
CKL_F1_device_family_robust_only_seed42,F1_device_family_robust_only,42,ood_val,fit,1,11295,690,nan,leave_device_family,device_family,iotsim-ip-camera-street
CKL_F1_device_family_robust_only_seed42,F1_device_family_robust_only,42,ood_stress,fit,2,20000,690,nan,leave_device_family,device_family,iotsim-ip-camera-street
CKL_F0_raw115_seed42,F0_raw115,42,support_train,fit,3,385,115,nan,leave_device_family,device_family,iotsim-ip-camera-museum
CKL_F0_raw115_seed42,F0_raw115,42,id_calib,fit,0,20000,115,nan,leave_device_family,device_family,iotsim-ip-camera-museum
CKL_F0_raw115_seed42,F0_raw115,42,ood_val,fit,1,11295,115,nan,leave_device_family,device_family,iotsim-ip-camera-museum
CKL_F0_raw115_seed42,F0_raw115,42,ood_stress,fit,2,20000,115,nan,leave_device_family,device_family,iotsim-ip-camera-museum
CKL_F1_global_robust_tail_seed42,F1_global_robust_tail,42,support_train,fit,3,385,460,nan,leave_device_family,device_family,iotsim-ip-camera-museum
CKL_F1_global_robust_tail_seed42,F1_global_robust_tail,42,id_calib,fit,0,20000,460,nan,leave_device_family,device_family,iotsim-ip-camera-museum
CKL_F1_global_robust_tail_seed42,F1_global_robust_tail,42,ood_val,fit,1,11295,460,nan,leave_device_family,device_family,iotsim-ip-camera-museum
CKL_F1_global_robust_tail_seed42,F1_global_robust_tail,42,ood_stress,fit,2,20000,460,nan,leave_device_family,device_family,iotsim-ip-camera-museum
CKL_F1_global_robust_only_seed42,F1_global_robust_only,42,support_train,fit,3,385,345,nan,leave_device_family,device_family,iotsim-ip-camera-museum
CKL_F1_global_robust_only_seed42,F1_global_robust_only,42,id_calib,fit,0,20000,345,nan,leave_device_family,device_family,iotsim-ip-camera-museum
CKL_F1_global_robust_only_seed42,F1_global_robust_only,42,ood_val,fit,1,11295,345,nan,leave_device_family,device_family,iotsim-ip-camera-museum
CKL_F1_global_robust_only_seed42,F1_global_robust_only,42,ood_stress,fit,2,20000,345,nan,leave_device_family,device_family,iotsim-ip-camera-museum
CKL_F1_device_family_robust_tail_seed42,F1_device_family_robust_tail,42,support_train,fit,3,385,805,1.0,leave_device_family,device_family,iotsim-ip-camera-museum
CKL_F1_device_family_robust_tail_seed42,F1_device_family_robust_tail,42,id_calib,fit,0,20000,805,0.0,leave_device_family,device_family,iotsim-ip-camera-museum
CKL_F1_device_family_robust_tail_seed42,F1_device_family_robust_tail,42,ood_val,fit,1,11295,805,0.0,leave_device_family,device_family,iotsim-ip-camera-museum
CKL_F1_device_family_robust_tail_seed42,F1_device_family_robust_tail,42,ood_stress,fit,2,20000,805,0.0,leave_device_family,device_family,iotsim-ip-camera-museum
CKL_F1_device_family_robust_only_seed42,F1_device_family_robust_only,42,support_train,fit,3,385,690,nan,leave_device_family,device_family,iotsim-ip-camera-museum
CKL_F1_device_family_robust_only_seed42,F1_device_family_robust_only,42,id_calib,fit,0,20000,690,nan,leave_device_family,device_family,iotsim-ip-camera-museum
CKL_F1_device_family_robust_only_seed42,F1_device_family_robust_only,42,ood_val,fit,1,11295,690,nan,leave_device_family,device_family,iotsim-ip-camera-museum
CKL_F1_device_family_robust_only_seed42,F1_device_family_robust_only,42,ood_stress,fit,2,20000,690,nan,leave_device_family,device_family,iotsim-ip-camera-museum
CKL_F0_raw115_seed42,F0_raw115,42,support_train,fit,3,385,115,nan,leave_device_family,device_family,iotsim-stream-consumer
CKL_F0_raw115_seed42,F0_raw115,42,id_calib,fit,0,20000,115,nan,leave_device_family,device_family,iotsim-stream-consumer
CKL_F0_raw115_seed42,F0_raw115,42,ood_val,fit,1,11295,115,nan,leave_device_family,device_family,iotsim-stream-consumer
CKL_F0_raw115_seed42,F0_raw115,42,ood_stress,fit,2,0,115,nan,leave_device_family,device_family,iotsim-stream-consumer
CKL_F1_global_robust_tail_seed42,F1_global_robust_tail,42,support_train,fit,3,385,460,nan,leave_device_family,device_family,iotsim-stream-consumer
CKL_F1_global_robust_tail_seed42,F1_global_robust_tail,42,id_calib,fit,0,20000,460,nan,leave_device_family,device_family,iotsim-stream-consumer
CKL_F1_global_robust_tail_seed42,F1_global_robust_tail,42,ood_val,fit,1,11295,460,nan,leave_device_family,device_family,iotsim-stream-consumer
CKL_F1_global_robust_tail_seed42,F1_global_robust_tail,42,ood_stress,fit,2,0,460,nan,leave_device_family,device_family,iotsim-stream-consumer
CKL_F1_global_robust_only_seed42,F1_global_robust_only,42,support_train,fit,3,385,345,nan,leave_device_family,device_family,iotsim-stream-consumer
CKL_F1_global_robust_only_seed42,F1_global_robust_only,42,id_calib,fit,0,20000,345,nan,leave_device_family,device_family,iotsim-stream-consumer
CKL_F1_global_robust_only_seed42,F1_global_robust_only,42,ood_val,fit,1,11295,345,nan,leave_device_family,device_family,iotsim-stream-consumer
CKL_F1_global_robust_only_seed42,F1_global_robust_only,42,ood_stress,fit,2,0,345,nan,leave_device_family,device_family,iotsim-stream-consumer
CKL_F1_device_family_robust_tail_seed42,F1_device_family_robust_tail,42,support_train,fit,3,385,805,1.0,leave_device_family,device_family,iotsim-stream-consumer
CKL_F1_device_family_robust_tail_seed42,F1_device_family_robust_tail,42,id_calib,fit,0,20000,805,0.0,leave_device_family,device_family,iotsim-stream-consumer
CKL_F1_device_family_robust_tail_seed42,F1_device_family_robust_tail,42,ood_val,fit,1,11295,805,0.0,leave_device_family,device_family,iotsim-stream-consumer
CKL_F1_device_family_robust_tail_seed42,F1_device_family_robust_tail,42,ood_stress,fit,2,0,805,nan,leave_device_family,device_family,iotsim-stream-consumer
CKL_F1_device_family_robust_only_seed42,F1_device_family_robust_only,42,support_train,fit,3,385,690,nan,leave_device_family,device_family,iotsim-stream-consumer
CKL_F1_device_family_robust_only_seed42,F1_device_family_robust_only,42,id_calib,fit,0,20000,690,nan,leave_device_family,device_family,iotsim-stream-consumer
CKL_F1_device_family_robust_only_seed42,F1_device_family_robust_only,42,ood_val,fit,1,11295,690,nan,leave_device_family,device_family,iotsim-stream-consumer
CKL_F1_device_family_robust_only_seed42,F1_device_family_robust_only,42,ood_stress,fit,2,0,690,nan,leave_device_family,device_family,iotsim-stream-consumer
CKL_F0_raw115_seed42,F0_raw115,42,support_train,fit,3,385,115,nan,leave_device_family,device_family,iotsim-hydraulic-system
CKL_F0_raw115_seed42,F0_raw115,42,id_calib,fit,0,20000,115,nan,leave_device_family,device_family,iotsim-hydraulic-system
CKL_F0_raw115_seed42,F0_raw115,42,ood_val,fit,1,2604,115,nan,leave_device_family,device_family,iotsim-hydraulic-system
CKL_F0_raw115_seed42,F0_raw115,42,ood_stress,fit,2,20000,115,nan,leave_device_family,device_family,iotsim-hydraulic-system
CKL_F1_global_robust_tail_seed42,F1_global_robust_tail,42,support_train,fit,3,385,460,nan,leave_device_family,device_family,iotsim-hydraulic-system
CKL_F1_global_robust_tail_seed42,F1_global_robust_tail,42,id_calib,fit,0,20000,460,nan,leave_device_family,device_family,iotsim-hydraulic-system
CKL_F1_global_robust_tail_seed42,F1_global_robust_tail,42,ood_val,fit,1,2604,460,nan,leave_device_family,device_family,iotsim-hydraulic-system
CKL_F1_global_robust_tail_seed42,F1_global_robust_tail,42,ood_stress,fit,2,20000,460,nan,leave_device_family,device_family,iotsim-hydraulic-system
CKL_F1_global_robust_only_seed42,F1_global_robust_only,42,support_train,fit,3,385,345,nan,leave_device_family,device_family,iotsim-hydraulic-system
CKL_F1_global_robust_only_seed42,F1_global_robust_only,42,id_calib,fit,0,20000,345,nan,leave_device_family,device_family,iotsim-hydraulic-system
CKL_F1_global_robust_only_seed42,F1_global_robust_only,42,ood_val,fit,1,2604,345,nan,leave_device_family,device_family,iotsim-hydraulic-system
CKL_F1_global_robust_only_seed42,F1_global_robust_only,42,ood_stress,fit,2,20000,345,nan,leave_device_family,device_family,iotsim-hydraulic-system
CKL_F1_device_family_robust_tail_seed42,F1_device_family_robust_tail,42,support_train,fit,3,385,805,1.0,leave_device_family,device_family,iotsim-hydraulic-system
CKL_F1_device_family_robust_tail_seed42,F1_device_family_robust_tail,42,id_calib,fit,0,20000,805,0.0,leave_device_family,device_family,iotsim-hydraulic-system
CKL_F1_device_family_robust_tail_seed42,F1_device_family_robust_tail,42,ood_val,fit,1,2604,805,0.0,leave_device_family,device_family,iotsim-hydraulic-system
CKL_F1_device_family_robust_tail_seed42,F1_device_family_robust_tail,42,ood_stress,fit,2,20000,805,0.0,leave_device_family,device_family,iotsim-hydraulic-system
CKL_F1_device_family_robust_only_seed42,F1_device_family_robust_only,42,support_train,fit,3,385,690,nan,leave_device_family,device_family,iotsim-hydraulic-system
CKL_F1_device_family_robust_only_seed42,F1_device_family_robust_only,42,id_calib,fit,0,20000,690,nan,leave_device_family,device_family,iotsim-hydraulic-system
CKL_F1_device_family_robust_only_seed42,F1_device_family_robust_only,42,ood_val,fit,1,2604,690,nan,leave_device_family,device_family,iotsim-hydraulic-system
CKL_F1_device_family_robust_only_seed42,F1_device_family_robust_only,42,ood_stress,fit,2,20000,690,nan,leave_device_family,device_family,iotsim-hydraulic-system
