candidate,feature_set,split,seed,role,phase,role_kind,rows,attack_threshold,raw_alarm_rate,conflict_review_rate,hard_alarm_rate,attack_score_mean,conflict_score_mean,group_fallback_rate
CKL_F0_raw115_seed42,F0_raw115,main,42,id_calib,select,benign_id,51497,0.010761205956304138,0.0011456978076392799,0.0011456978076392799,0.0,0.0003555123290367833,0.9991554620571163,nan
CKL_F0_raw115_seed42,F0_raw115,main,42,ood_val,select,benign_ood,12205,0.010761205956304138,0.009176566980745596,0.009176566980745596,0.0,0.0011079825834643883,0.9492462299689463,nan
CKL_F0_raw115_seed42,F0_raw115,main,42,ood_stress,select,hard_ood,79950,0.010761205956304138,0.005666041275797374,0.005403377110694184,0.0002626641651031895,0.0006625180196149276,0.9984500657093468,nan
CKL_F0_raw115_seed42,F0_raw115,main,42,support_val,select,attack,69,0.010761205956304138,1.0,0.014492753623188406,0.9855072463768116,0.977043480127615,0.0220042659898386,nan
CKL_F0_raw115_seed42,F0_raw115,main,42,same_file_query,select,attack,67749,0.010761205956304138,1.0,0.0017417231250645767,0.9982582768749354,0.9872947705773211,0.008545779614274536,nan
CKL_F0_raw115_seed42,F0_raw115,main,42,future_query,select,attack,228649,0.010761205956304138,0.9987929096562854,0.006149163127763515,0.9926437465285218,0.8996116691416112,0.06628355637275922,nan
CKL_F0_raw115_seed42,F0_raw115,main,42,sealed_final_ood,all,benign_ood_report,154900,0.010761205956304138,0.0403098773402195,0.03703034215622983,0.003279535183989671,0.005632595740500388,0.9930975503218229,nan
CKL_F0_raw115_seed42,F0_raw115,main,42,sealed_final_attack,all,attack_report,110104,0.010761205956304138,0.9983651820097362,0.006185061396497857,0.9921801206132383,0.9702413288825302,0.017599795323326974,nan
CKL_F1_global_robust_tail_seed42,F1_global_robust_tail,main,42,id_calib,select,benign_id,51497,0.008016045861305329,0.001262209449094122,0.001262209449094122,0.0,0.0002999797960453425,0.9991883391610477,nan
CKL_F1_global_robust_tail_seed42,F1_global_robust_tail,main,42,ood_val,select,benign_ood,12205,0.008016045861305329,0.009504301515772225,0.009504301515772225,0.0,0.0010287070907362198,0.9499159405733966,nan
CKL_F1_global_robust_tail_seed42,F1_global_robust_tail,main,42,ood_stress,select,hard_ood,79950,0.008016045861305329,0.0051532207629768605,0.004915572232645404,0.00023764853033145716,0.0005973151782687661,0.9985305953256001,nan
CKL_F1_global_robust_tail_seed42,F1_global_robust_tail,main,42,support_val,select,attack,69,0.008016045861305329,1.0,0.028985507246376812,0.9710144927536232,0.9681180062882824,0.03103632755271338,nan
CKL_F1_global_robust_tail_seed42,F1_global_robust_tail,main,42,same_file_query,select,attack,67749,0.008016045861305329,1.0,0.003217759671729472,0.9967822403282706,0.9913007256340157,0.005835145754658363,nan
CKL_F1_global_robust_tail_seed42,F1_global_robust_tail,main,42,future_query,select,attack,228649,0.008016045861305329,0.9995276603002856,0.009958495335645466,0.9895691649646401,0.9166548217244265,0.06340908866343468,nan
CKL_F1_global_robust_tail_seed42,F1_global_robust_tail,main,42,sealed_final_ood,all,benign_ood_report,154900,0.008016045861305329,0.0891349257585539,0.0729244673983215,0.016210458360232407,0.01791022047259275,0.979728527707348,nan
CKL_F1_global_robust_tail_seed42,F1_global_robust_tail,main,42,sealed_final_attack,all,attack_report,110104,0.008016045861305329,0.9986285693526121,0.006039744241807745,0.9925888251108044,0.9756660659681425,0.013775898593956292,nan
CKL_F1_global_robust_only_seed42,F1_global_robust_only,main,42,id_calib,select,benign_id,51497,0.061766288688528605,0.002058372332368876,0.002000116511641455,5.825582072742101e-05,0.0013153449692131964,0.9975714324054306,nan
CKL_F1_global_robust_only_seed42,F1_global_robust_only,main,42,ood_val,select,benign_ood,12205,0.061766288688528605,0.010077836952068825,0.009750102417042196,0.0003277345350266284,0.003183918594055312,0.9419272343270555,nan
CKL_F1_global_robust_only_seed42,F1_global_robust_only,main,42,ood_stress,select,hard_ood,79950,0.061766288688528605,0.0009255784865540963,0.0008005003126954346,0.00012507817385866166,0.0006797272945360505,0.9985060560347395,nan
CKL_F1_global_robust_only_seed42,F1_global_robust_only,main,42,support_val,select,attack,69,0.061766288688528605,1.0,0.014492753623188406,0.9855072463768116,0.9717711888417373,0.020707093380162057,nan
CKL_F1_global_robust_only_seed42,F1_global_robust_only,main,42,same_file_query,select,attack,67749,0.061766288688528605,0.9993210231885341,0.022199589661840026,0.9771214335266941,0.9721316416436176,0.02003235077323542,nan
CKL_F1_global_robust_only_seed42,F1_global_robust_only,main,42,future_query,select,attack,228649,0.061766288688528605,0.8695511460797992,0.09826415160354955,0.7712869944762496,0.7727367194612431,0.20926685880417234,nan
CKL_F1_global_robust_only_seed42,F1_global_robust_only,main,42,sealed_final_ood,all,benign_ood_report,154900,0.061766288688528605,0.028198837959974177,0.014783731439638476,0.013415106520335701,0.015906675931714513,0.9815201461229955,nan
CKL_F1_global_robust_only_seed42,F1_global_robust_only,main,42,sealed_final_attack,all,attack_report,110104,0.061766288688528605,0.997311632638233,0.01105318607861658,0.9862584465596164,0.9721692024824605,0.01807979753704795,nan
CKL_F1_device_family_robust_tail_seed42,F1_device_family_robust_tail,main,42,id_calib,select,benign_id,51497,0.0005290484553913644,0.002000116511641455,0.002000116511641455,0.0,0.00012188040630062633,0.9996315477928678,0.0
CKL_F1_device_family_robust_tail_seed42,F1_device_family_robust_tail,main,42,ood_val,select,benign_ood,12205,0.0005290484553913644,0.00040966816878328555,0.00040966816878328555,0.0,0.00011693953300524271,0.9996456269152566,0.0
CKL_F1_device_family_robust_tail_seed42,F1_device_family_robust_tail,main,42,ood_stress,select,hard_ood,79950,0.0005290484553913644,0.009956222639149468,0.009956222639149468,0.0,0.00015403840968154612,0.9995974521205917,0.0
CKL_F1_device_family_robust_tail_seed42,F1_device_family_robust_tail,main,42,support_val,select,attack,69,0.0005290484553913644,1.0,0.0,1.0,0.99963783084616,0.00012520628441613276,1.0
CKL_F1_device_family_robust_tail_seed42,F1_device_family_robust_tail,main,42,same_file_query,select,attack,67749,0.0005290484553913644,1.0,0.000664216445999203,0.9993357835540008,0.9987085060676533,0.0008131841214393534,1.0
CKL_F1_device_family_robust_tail_seed42,F1_device_family_robust_tail,main,42,future_query,select,attack,228649,0.0005290484553913644,1.0,0.001333922300119397,0.9986660776998806,0.9975129829859098,0.0022304523341020906,1.0
CKL_F1_device_family_robust_tail_seed42,F1_device_family_robust_tail,main,42,sealed_final_ood,all,benign_ood_report,154900,0.0005290484553913644,0.22824402840542285,0.20146546158812137,0.026778566817301484,0.028190073351893205,0.9647560961876888,1.0
CKL_F1_device_family_robust_tail_seed42,F1_device_family_robust_tail,main,42,sealed_final_attack,all,attack_report,110104,0.0005290484553913644,0.9999455060669912,0.0007719973842912156,0.9991735086826999,0.9975226436375991,0.0022319479382479335,1.0
CKL_F1_device_family_robust_only_seed42,F1_device_family_robust_only,main,42,id_calib,select,benign_id,51497,0.0004827615004065783,0.002136046760005437,0.002136046760005437,0.0,0.00012147853473514807,0.9996328233554336,nan
CKL_F1_device_family_robust_only_seed42,F1_device_family_robust_only,main,42,ood_val,select,benign_ood,12205,0.0004827615004065783,0.0008193363375665711,0.0008193363375665711,0.0,0.00011711234354963565,0.9996455034316404,nan
