candidate,feature_set,split,seed,role,phase,role_kind,rows,attack_threshold,raw_alarm_rate,conflict_review_rate,hard_alarm_rate,attack_score_mean,conflict_score_mean,group_fallback_rate,held_field,held_value
CKL_F0_raw115_seed42,F0_raw115,leave_device_family,42,id_calib,select,,0,0.010761205956304138,nan,nan,nan,nan,nan,nan,device_family,iotsim-ip-camera-street
CKL_F0_raw115_seed42,F0_raw115,leave_device_family,42,ood_val,select,,0,0.010761205956304138,nan,nan,nan,nan,nan,nan,device_family,iotsim-ip-camera-street
CKL_F0_raw115_seed42,F0_raw115,leave_device_family,42,ood_stress,select,,0,0.010761205956304138,nan,nan,nan,nan,nan,nan,device_family,iotsim-ip-camera-street
CKL_F0_raw115_seed42,F0_raw115,leave_device_family,42,support_val,select,,0,0.010761205956304138,nan,nan,nan,nan,nan,nan,device_family,iotsim-ip-camera-street
CKL_F0_raw115_seed42,F0_raw115,leave_device_family,42,same_file_query,select,,0,0.010761205956304138,nan,nan,nan,nan,nan,nan,device_family,iotsim-ip-camera-street
CKL_F0_raw115_seed42,F0_raw115,leave_device_family,42,future_query,select,,0,0.010761205956304138,nan,nan,nan,nan,nan,nan,device_family,iotsim-ip-camera-street
CKL_F0_raw115_seed42,F0_raw115,leave_device_family,42,sealed_final_ood,all,benign_ood_report,99950,0.010761205956304138,0.05042521260630315,0.04676338169084542,0.0036618309154577288,0.006633086889657149,0.9920304072177126,nan,device_family,iotsim-ip-camera-street
CKL_F0_raw115_seed42,F0_raw115,leave_device_family,42,sealed_final_attack,all,,0,0.010761205956304138,nan,nan,nan,nan,nan,nan,device_family,iotsim-ip-camera-street
CKL_F1_global_robust_tail_seed42,F1_global_robust_tail,leave_device_family,42,id_calib,select,,0,0.008016045861305329,nan,nan,nan,nan,nan,nan,device_family,iotsim-ip-camera-street
CKL_F1_global_robust_tail_seed42,F1_global_robust_tail,leave_device_family,42,ood_val,select,,0,0.008016045861305329,nan,nan,nan,nan,nan,nan,device_family,iotsim-ip-camera-street
CKL_F1_global_robust_tail_seed42,F1_global_robust_tail,leave_device_family,42,ood_stress,select,,0,0.008016045861305329,nan,nan,nan,nan,nan,nan,device_family,iotsim-ip-camera-street
CKL_F1_global_robust_tail_seed42,F1_global_robust_tail,leave_device_family,42,support_val,select,,0,0.008016045861305329,nan,nan,nan,nan,nan,nan,device_family,iotsim-ip-camera-street
CKL_F1_global_robust_tail_seed42,F1_global_robust_tail,leave_device_family,42,same_file_query,select,,0,0.008016045861305329,nan,nan,nan,nan,nan,nan,device_family,iotsim-ip-camera-street
CKL_F1_global_robust_tail_seed42,F1_global_robust_tail,leave_device_family,42,future_query,select,,0,0.008016045861305329,nan,nan,nan,nan,nan,nan,device_family,iotsim-ip-camera-street
CKL_F1_global_robust_tail_seed42,F1_global_robust_tail,leave_device_family,42,sealed_final_ood,all,benign_ood_report,99950,0.008016045861305329,0.1233816908454227,0.09972986493246623,0.02365182591295648,0.024785851221313493,0.9721005791798707,nan,device_family,iotsim-ip-camera-street
CKL_F1_global_robust_tail_seed42,F1_global_robust_tail,leave_device_family,42,sealed_final_attack,all,,0,0.008016045861305329,nan,nan,nan,nan,nan,nan,device_family,iotsim-ip-camera-street
CKL_F1_global_robust_only_seed42,F1_global_robust_only,leave_device_family,42,id_calib,select,,0,0.061766288688528605,nan,nan,nan,nan,nan,nan,device_family,iotsim-ip-camera-street
CKL_F1_global_robust_only_seed42,F1_global_robust_only,leave_device_family,42,ood_val,select,,0,0.061766288688528605,nan,nan,nan,nan,nan,nan,device_family,iotsim-ip-camera-street
CKL_F1_global_robust_only_seed42,F1_global_robust_only,leave_device_family,42,ood_stress,select,,0,0.061766288688528605,nan,nan,nan,nan,nan,nan,device_family,iotsim-ip-camera-street
