held_value,model,fit_rows,fit_sources,fit_attack_rows,fit_report_rows,model_sha256,report_gradient_updates,report_threshold_updates,select_report_transform_batch_crossing,seed,upstream,fit_normal_rows,fit_normal_sources,fit_attack_families,all_support_train_used,family_balanced_attack_weights,source_balanced_normal_weights,window_length,input_channels,requested_features,actual_features,parameter_sha256,ridge_alpha,weighted_training_mse,ridge_penalty_per_row,nan_count,wall_seconds
GLOBAL_ATTACK_PRESERVATION,global_static_normal_conformal,8609,16.0,0,0,1a9aaf8bef6b7d51a7033e699fd1cff7ee1da9ff9807007ee34212395dededfb,0,0,0,27,,,,,,,,,,,,,,,,,
GLOBAL_ATTACK_PRESERVATION,MiniRocketMultivariate_v0.24.1_algorithm_port_plus_RidgeClassifier,8994,,385,0,824130e69787faddd9d8a114f6ace486fed02fe945788a0849b182d64b27dca3,0,0,0,27,sktime/sktime v0.24.1 BSD-3-Clause,8609.0,16.0,10.0,True,True,True,32.0,9.0,3360.0,3360.0,d368a5b0720fcc32cc6fb954ced694001797a0b3ff8616a758ed6518b9b6b436,1.0,0.00024174875321459033,7.272388769815777e-05,0.0,4.2229461669921875
iotsim-ip-camera-street,global_static_normal_conformal,8609,16.0,0,0,1a9aaf8bef6b7d51a7033e699fd1cff7ee1da9ff9807007ee34212395dededfb,0,0,0,27,,,,,,,,,,,,,,,,,
iotsim-ip-camera-street,MiniRocketMultivariate_v0.24.1_algorithm_port_plus_RidgeClassifier,8994,,385,0,824130e69787faddd9d8a114f6ace486fed02fe945788a0849b182d64b27dca3,0,0,0,27,sktime/sktime v0.24.1 BSD-3-Clause,8609.0,16.0,10.0,True,True,True,32.0,9.0,3360.0,3360.0,d368a5b0720fcc32cc6fb954ced694001797a0b3ff8616a758ed6518b9b6b436,1.0,0.00024174875321459033,7.272388769815777e-05,0.0,2.5636024475097656
iotsim-predictive-maintenance,global_static_normal_conformal,8609,16.0,0,0,1a9aaf8bef6b7d51a7033e699fd1cff7ee1da9ff9807007ee34212395dededfb,0,0,0,27,,,,,,,,,,,,,,,,,
iotsim-predictive-maintenance,MiniRocketMultivariate_v0.24.1_algorithm_port_plus_RidgeClassifier,8994,,385,0,824130e69787faddd9d8a114f6ace486fed02fe945788a0849b182d64b27dca3,0,0,0,27,sktime/sktime v0.24.1 BSD-3-Clause,8609.0,16.0,10.0,True,True,True,32.0,9.0,3360.0,3360.0,d368a5b0720fcc32cc6fb954ced694001797a0b3ff8616a758ed6518b9b6b436,1.0,0.00024174875321459033,7.272388769815777e-05,0.0,2.5553648471832275
iotsim-stream-consumer,global_static_normal_conformal,8609,16.0,0,0,1a9aaf8bef6b7d51a7033e699fd1cff7ee1da9ff9807007ee34212395dededfb,0,0,0,27,,,,,,,,,,,,,,,,,
iotsim-stream-consumer,MiniRocketMultivariate_v0.24.1_algorithm_port_plus_RidgeClassifier,8994,,385,0,824130e69787faddd9d8a114f6ace486fed02fe945788a0849b182d64b27dca3,0,0,0,27,sktime/sktime v0.24.1 BSD-3-Clause,8609.0,16.0,10.0,True,True,True,32.0,9.0,3360.0,3360.0,d368a5b0720fcc32cc6fb954ced694001797a0b3ff8616a758ed6518b9b6b436,1.0,0.00024174875321459033,7.272388769815777e-05,0.0,2.5502007007598877
iotsim-hydraulic-system,global_static_normal_conformal,8609,16.0,0,0,1a9aaf8bef6b7d51a7033e699fd1cff7ee1da9ff9807007ee34212395dededfb,0,0,0,27,,,,,,,,,,,,,,,,,
iotsim-hydraulic-system,MiniRocketMultivariate_v0.24.1_algorithm_port_plus_RidgeClassifier,8994,,385,0,824130e69787faddd9d8a114f6ace486fed02fe945788a0849b182d64b27dca3,0,0,0,27,sktime/sktime v0.24.1 BSD-3-Clause,8609.0,16.0,10.0,True,True,True,32.0,9.0,3360.0,3360.0,d368a5b0720fcc32cc6fb954ced694001797a0b3ff8616a758ed6518b9b6b436,1.0,0.00024174875321459033,7.272388769815777e-05,0.0,2.543900489807129
