candidate,protocol,held_value,role,rows,sources,label,metric,hard_rate,ci_low,ci_high,ci_cluster_unit,ci_clusters,review_rate,seed
M0-C1,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,131391,5,1,attack_hard_recall,0.8683395361934988,0.713809354950101,0.9065232042904874,source,5,0.0,27
M0-C1,attack_preservation,GLOBAL_ATTACK_PRESERVATION,same_file_query,2486,1,1,attack_hard_recall,0.6351568785197104,0.6019568957888531,0.6715121666684638,episode,14,0.0,27
M0-C1,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_attack,110104,1,1,attack_hard_recall,0.9725078107970646,0.9223006135849778,0.9961961028086475,episode,208,0.0,27
M0-C1,attack_preservation,GLOBAL_ATTACK_PRESERVATION,support_val,69,3,1,attack_hard_recall,1.0,1.0,1.0,source,3,0.0,27
A0-GlobalNormalConformal,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,131391,5,1,attack_hard_recall,0.7042643712278619,0.35241507870753935,0.7894691788965085,source,5,0.0,27
A0-GlobalNormalConformal,attack_preservation,GLOBAL_ATTACK_PRESERVATION,same_file_query,2486,1,1,attack_hard_recall,0.5502815768302494,0.5141489535330261,0.596581923106489,episode,14,0.0,27
A0-GlobalNormalConformal,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_attack,110104,1,1,attack_hard_recall,0.9696287146697667,0.9196067796003473,0.9934736475107213,episode,208,0.0,27
A0-GlobalNormalConformal,attack_preservation,GLOBAL_ATTACK_PRESERVATION,support_val,69,3,1,attack_hard_recall,1.0,1.0,1.0,source,3,0.0,27
M1-ShieldedStatic,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,131391,5,1,attack_hard_recall,0.7416718040048406,0.40545263142366256,0.8232881584908851,source,5,0.0,27
M1-ShieldedStatic,attack_preservation,GLOBAL_ATTACK_PRESERVATION,same_file_query,2486,1,1,attack_hard_recall,0.589300080450523,0.5538636733788888,0.6311961229928439,episode,14,0.0,27
M1-ShieldedStatic,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_attack,110104,1,1,attack_hard_recall,0.9704188766983942,0.9202994837250795,0.9940514135067592,episode,208,0.0,27
M1-ShieldedStatic,attack_preservation,GLOBAL_ATTACK_PRESERVATION,support_val,69,3,1,attack_hard_recall,1.0,1.0,1.0,source,3,0.0,27
M2-ShieldedTemporal,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,131391,5,1,attack_hard_recall,0.8680198795960149,0.7135739927449802,0.9061790475462103,source,5,0.0,27
