stage,rows,seconds,loss,closed_form,held_value,seed
fit_minirocket_biases_normal_only,8609,0.6973402500152588,,False,GLOBAL_ATTACK_PRESERVATION,27
transform_fit_windows,8994,1.690281629562378,,False,GLOBAL_ATTACK_PRESERVATION,27
fit_weighted_ridge,8994,1.8353421688079834,0.0003144726409127481,True,GLOBAL_ATTACK_PRESERVATION,27
fit_minirocket_biases_normal_only,8609,0.024014711380004883,,False,iotsim-ip-camera-street,27
transform_fit_windows,8994,1.5118238925933838,,False,iotsim-ip-camera-street,27
fit_weighted_ridge,8994,1.0277767181396484,0.0003144726409127481,True,iotsim-ip-camera-street,27
fit_minirocket_biases_normal_only,8609,0.023451805114746094,,False,iotsim-predictive-maintenance,27
transform_fit_windows,8994,1.5082871913909912,,False,iotsim-predictive-maintenance,27
fit_weighted_ridge,8994,1.0236389636993408,0.0003144726409127481,True,iotsim-predictive-maintenance,27
fit_minirocket_biases_normal_only,8609,0.02328777313232422,,False,iotsim-stream-consumer,27
transform_fit_windows,8994,1.5081326961517334,,False,iotsim-stream-consumer,27
fit_weighted_ridge,8994,1.0187928676605225,0.0003144726409127481,True,iotsim-stream-consumer,27
fit_minirocket_biases_normal_only,8609,0.02307438850402832,,False,iotsim-hydraulic-system,27
transform_fit_windows,8994,1.5011332035064697,,False,iotsim-hydraulic-system,27
fit_weighted_ridge,8994,1.0197045803070068,0.0003144726409127481,True,iotsim-hydraulic-system,27
