job_index,job_label,weighting,seed,stage,role,attack_label,device,support_coverage,rows,parent_hard_detection,temporal_hard_detection,temporal_suppress_rate,temporal_attack_min,temporal_attack_p50,temporal_attack_p90,temporal_attack_p95,temporal_attack_p99,temporal_attack_max,temporal_attack_mean,temporal_attack_std
7,strict_weight4_seed43,strict_frozen_weight4,43,calibration_select,support_val,File Download,combined-cycle,seen_in_support,3,1.0,1.0,0.0,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.0
7,strict_weight4_seed43,strict_frozen_weight4,43,calibration_select,support_val,Ingress Tool Transfer,combined-cycle,seen_in_support,3,0.6666666666666666,0.6666666666666666,0.0,2.939835892077895e-05,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.6665569125582548,0.47130612513776193
7,strict_weight4_seed43,strict_frozen_weight4,43,calibration_select,support_val,Merlin C&C Communication,ip-camera-museum,seen_in_support,5,1.0,1.0,0.0,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579219,1.1102230246251565e-16
7,strict_weight4_seed43,strict_frozen_weight4,43,calibration_select,support_val,Merlin ICMP Flooding,city-power,seen_in_support,1,1.0,1.0,0.0,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.0
7,strict_weight4_seed43,strict_frozen_weight4,43,calibration_select,support_val,Merlin ICMP Flooding,ip-camera-museum,seen_in_support,7,1.0,1.0,0.0,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.0
7,strict_weight4_seed43,strict_frozen_weight4,43,calibration_select,support_val,Merlin TCP Flooding,city-power,seen_in_support,6,1.0,1.0,0.0,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.0
7,strict_weight4_seed43,strict_frozen_weight4,43,calibration_select,support_val,Merlin TCP Flooding,ip-camera-museum,seen_in_support,5,1.0,1.0,0.0,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579219,1.1102230246251565e-16
7,strict_weight4_seed43,strict_frozen_weight4,43,calibration_select,support_val,Merlin UDP Flooding,city-power,seen_in_support,3,1.0,1.0,0.0,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.0
7,strict_weight4_seed43,strict_frozen_weight4,43,calibration_select,support_val,Merlin UDP Flooding,ip-camera-museum,seen_in_support,3,1.0,1.0,0.0,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.0
7,strict_weight4_seed43,strict_frozen_weight4,43,calibration_select,support_val,Mirai C&C Communication,ip-camera-museum,seen_in_support,2,0.0,0.0,0.0,2.939835892077895e-05,2.939835892077895e-05,2.939835892077895e-05,2.939835892077895e-05,2.939835892077895e-05,2.939835892077895e-05,2.939835892077895e-05,0.0
7,strict_weight4_seed43,strict_frozen_weight4,43,calibration_select,support_val,Mirai GRE Flooding,city-power,seen_in_support,4,1.0,1.0,0.0,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.0
7,strict_weight4_seed43,strict_frozen_weight4,43,calibration_select,support_val,Mirai GRE Flooding,ip-camera-museum,seen_in_support,6,1.0,1.0,0.0,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.0
7,strict_weight4_seed43,strict_frozen_weight4,43,calibration_select,support_val,Mirai TCP Flooding,city-power,seen_in_support,4,1.0,1.0,0.0,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.0
7,strict_weight4_seed43,strict_frozen_weight4,43,calibration_select,support_val,Mirai TCP Flooding,ip-camera-museum,seen_in_support,6,1.0,1.0,0.0,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.0
7,strict_weight4_seed43,strict_frozen_weight4,43,calibration_select,support_val,Mirai UDP Flooding,city-power,seen_in_support,5,1.0,1.0,0.0,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579219,1.1102230246251565e-16
7,strict_weight4_seed43,strict_frozen_weight4,43,calibration_select,support_val,Mirai UDP Flooding,ip-camera-museum,seen_in_support,6,1.0,1.0,0.0,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.0
7,strict_weight4_seed43,strict_frozen_weight4,43,read_only,same_file_query,File Download,combined-cycle,seen_in_support,105,1.0,1.0,0.0,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.0
7,strict_weight4_seed43,strict_frozen_weight4,43,read_only,same_file_query,Ingress Tool Transfer,combined-cycle,seen_in_support,2381,0.004619907601847963,0.004619907601847963,0.0,2.939835892077895e-05,2.939835892077895e-05,2.939835892077895e-05,2.939835892077895e-05,2.939835892077895e-05,0.9998206696579218,0.004648341653456273,0.06779855862290514
7,strict_weight4_seed43,strict_frozen_weight4,43,read_only,same_file_query,Merlin C&C Communication,ip-camera-museum,seen_in_support,6827,0.9506371759191445,0.9506371759191445,0.0,2.939835892077895e-05,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9504681490152145,0.2165791958185129
7,strict_weight4_seed43,strict_frozen_weight4,43,read_only,same_file_query,Merlin ICMP Flooding,city-power,seen_in_support,6680,0.0002994011976047904,0.0002994011976047904,0.0,2.939835892077895e-05,2.939835892077895e-05,2.939835892077895e-05,2.939835892077895e-05,2.939835892077895e-05,0.9998206696579218,0.0003287370629025158,0.017297011873245467
7,strict_weight4_seed43,strict_frozen_weight4,43,read_only,same_file_query,Merlin ICMP Flooding,ip-camera-museum,seen_in_support,7038,0.998437055981813,0.998437055981813,0.0,2.939835892077895e-05,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9982580518710095,0.03949493447751926
7,strict_weight4_seed43,strict_frozen_weight4,43,read_only,same_file_query,Merlin TCP Flooding,city-power,seen_in_support,12000,0.9998333333333334,0.9998333333333334,0.0,2.939835892077895e-05,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.999654037779372,0.012906174162443712
7,strict_weight4_seed43,strict_frozen_weight4,43,read_only,same_file_query,Merlin TCP Flooding,ip-camera-museum,seen_in_support,12000,0.9999166666666667,0.9999166666666667,0.0,2.939835892077895e-05,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9997373537186468,0.009126423576703098
7,strict_weight4_seed43,strict_frozen_weight4,43,read_only,same_file_query,Merlin UDP Flooding,city-power,seen_in_support,3250,1.0,1.0,0.0,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.0
7,strict_weight4_seed43,strict_frozen_weight4,43,read_only,same_file_query,Merlin UDP Flooding,ip-camera-museum,seen_in_support,3292,1.0,1.0,0.0,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579217,1.1102230246251565e-16
7,strict_weight4_seed43,strict_frozen_weight4,43,read_only,same_file_query,Mirai C&C Communication,ip-camera-museum,seen_in_support,106,0.009433962264150943,0.009433962264150943,0.0,2.939835892077895e-05,2.939835892077895e-05,2.939835892077895e-05,2.939835892077895e-05,2.939835892077895e-05,0.9998206696579218,0.009461391484383054,0.09664916918148132
7,strict_weight4_seed43,strict_frozen_weight4,43,read_only,same_file_query,Mirai GRE Flooding,city-power,seen_in_support,12000,1.0,1.0,0.0,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.0
7,strict_weight4_seed43,strict_frozen_weight4,43,read_only,same_file_query,Mirai GRE Flooding,ip-camera-museum,seen_in_support,12000,1.0,1.0,0.0,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.0
7,strict_weight4_seed43,strict_frozen_weight4,43,read_only,same_file_query,Mirai TCP Flooding,city-power,seen_in_support,12000,1.0,1.0,0.0,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.0
7,strict_weight4_seed43,strict_frozen_weight4,43,read_only,same_file_query,Mirai TCP Flooding,ip-camera-museum,seen_in_support,12000,1.0,1.0,0.0,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.0
