strategy,kcenter_size,first32_size,overlap_count,kcenter_only_count,first32_only_count,comparison_scope
reset_at_split_boundary,32,32,0,32,32,static_selector_overlap_only_no_performance_conclusion
train_state_then_eval_online,32,32,0,32,32,static_selector_overlap_only_no_performance_conclusion
