role,issue27cd_expected_rows,issue27cd_emitted_rows,issue27cd_missing_rows,certified_chunks,partial_chunks_excluded,excluded_expected_rows,excluded_emitted_rows,excluded_missing_rows,certified_rows,certified_status
attack_support_candidate_pool_targeted,69492,69492,0,16,0,0,0,0,69492,all_chunks_complete
dev_future_attack_query_exact,411781,383606,28175,49,6,33636,5461,28175,378145,complete_only
same_file_time_forward_dev_query_exact,125679,125679,0,16,0,0,0,0,125679,all_chunks_complete
sealed_final_attack_exact_realign,110104,110104,0,12,0,0,0,0,110104,all_chunks_complete
