variant,role,true_attack_label,rows,core_rate,core_plus_near_rate,uncertain_rate,out_of_region_rate,nearest_label_match_rate,true_region_core_rate,true_region_core_plus_near_rate,true_region_uncertain_rate,true_region_out_of_region_rate,read_only,evidence_status
B0_frozen512_two_medoid,dev_future_attack_query_exact,C&C Communication,256,0.8984375,0.97265625,0.01171875,0.015625,0.0,,,,,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,CoAP Amplification,12000,0.0005,0.0013333333333333333,0.00025,0.9984166666666666,0.0,,,,,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,File Download,2378,0.9974768713204374,0.9974768713204374,0.0,0.002523128679562658,0.9949537426408747,0.9957947855340622,0.9983179142136249,0.0008410428931875525,0.0008410428931875525,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Ingress Tool Transfer,7754,0.05803456280629352,0.32086664947124066,0.12096982202734073,0.5581635285014186,0.42648955377869485,0.04242971369615682,0.3742584472530307,0.5263090018055198,0.09943255094144958,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Merlin C&C Communication,19590,0.2459418070444104,0.3431852986217458,0.29433384379785604,0.36248085758039816,0.07044410413476264,0.43333333333333335,0.552833078101072,0.42429811128126593,0.022868810617662074,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Merlin ICMP Flooding,27985,0.1334286224763266,0.9902090405574415,0.009719492585313561,7.146685724495266e-05,0.9985349294264785,0.13217795247453992,0.9891370376987672,0.009683759156691084,0.0011792031445417189,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Merlin TCP Flooding,36000,0.18877777777777777,0.20394444444444446,0.01425,0.7818055555555555,0.18680555555555556,0.8485277777777778,0.8814166666666666,0.09933333333333333,0.01925,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Merlin UDP Flooding,15000,0.0094,0.03573333333333333,0.027533333333333333,0.9367333333333333,0.112,0.009533333333333333,0.035866666666666665,0.0728,0.8913333333333333,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Mirai C&C Communication,716,0.9720670391061452,0.9748603351955307,0.012569832402234637,0.012569832402234637,0.012569832402234637,0.17597765363128492,0.5865921787709497,0.0935754189944134,0.3198324022346369,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Mirai GRE Flooding,36000,0.8701666666666666,0.9048055555555555,0.03288888888888889,0.06230555555555556,0.09502777777777778,0.07727777777777778,0.3342222222222222,0.43272222222222223,0.23305555555555554,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Mirai TCP Flooding,36000,0.7288333333333333,0.7676666666666667,0.03025,0.20208333333333334,0.7606944444444445,0.7388055555555556,0.8190555555555555,0.17897222222222223,0.0019722222222222224,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Mirai UDP Flooding,36000,0.05138888888888889,0.15288888888888888,0.06944444444444445,0.7776666666666666,1.0,0.05138888888888889,0.15288888888888888,0.06944444444444445,0.7776666666666666,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Reporting,224,0.5625,0.625,0.12053571428571429,0.2544642857142857,0.0,,,,,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,TCP Scan,72000,0.11951388888888889,0.7004444444444444,0.21840277777777778,0.08115277777777778,0.0,,,,,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Telnet Brute Force,72000,0.007916666666666667,0.4977361111111111,0.38784722222222223,0.11441666666666667,0.0,,,,,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,UDP Scan,4242,0.8175388967468176,0.9363507779349364,0.04337576614804337,0.020273455917020275,0.0,,,,,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,same_file_time_forward_dev_query_exact,File Download,105,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,same_file_time_forward_dev_query_exact,Ingress Tool Transfer,2381,0.013439731205375893,0.14237715245695087,0.17177656446871062,0.6858462830743385,0.3015539689206216,0.0008399832003359933,0.20285594288114236,0.6631667366652667,0.13397732045359093,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,same_file_time_forward_dev_query_exact,Merlin C&C Communication,6827,0.3097993262047752,0.5116449392119525,0.10458473707338509,0.38377032371466235,0.09052292368536692,0.5574923099458035,0.7230115717006006,0.2725941116156438,0.004394316683755676,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,same_file_time_forward_dev_query_exact,Merlin ICMP Flooding,13718,0.32533897069543666,0.7436215191718909,7.289692374981776e-05,0.25630558390435926,0.9982504738300044,0.3243184137629392,0.7420906837731448,0.0,0.2579093162268552,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,same_file_time_forward_dev_query_exact,Merlin TCP Flooding,24000,0.019625,0.041166666666666664,0.01975,0.9390833333333334,4.1666666666666665e-05,0.30583333333333335,0.4539166666666667,0.33125,0.21483333333333332,True,reused_development_diagnostic_not_fresh_validation
