variant,role,true_attack_label,nearest_attack_label,rows,rate_within_true_label,read_only,evidence_status
B0_frozen512_two_medoid,dev_future_attack_query_exact,C&C Communication,Ingress Tool Transfer,3,0.01171875,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,C&C Communication,Merlin TCP Flooding,192,0.75,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,C&C Communication,Merlin UDP Flooding,23,0.08984375,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,C&C Communication,Mirai C&C Communication,35,0.13671875,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,C&C Communication,Mirai UDP Flooding,3,0.01171875,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,CoAP Amplification,Merlin ICMP Flooding,7,0.0005833333333333334,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,CoAP Amplification,Mirai UDP Flooding,11993,0.9994166666666666,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,File Download,File Download,2366,0.9949537426408747,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,File Download,Mirai C&C Communication,6,0.002523128679562658,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,File Download,Mirai UDP Flooding,6,0.002523128679562658,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Ingress Tool Transfer,File Download,49,0.00631931906112974,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Ingress Tool Transfer,Ingress Tool Transfer,3307,0.42648955377869485,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Ingress Tool Transfer,Merlin C&C Communication,2,0.00025793139025019347,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Ingress Tool Transfer,Merlin ICMP Flooding,2865,0.3694867165334021,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Ingress Tool Transfer,Merlin TCP Flooding,98,0.01263863812225948,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Ingress Tool Transfer,Mirai C&C Communication,290,0.03740005158627805,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Ingress Tool Transfer,Mirai GRE Flooding,539,0.06951250967242713,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Ingress Tool Transfer,Mirai TCP Flooding,523,0.06744905855042559,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Ingress Tool Transfer,Mirai UDP Flooding,81,0.010446221305132834,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Merlin C&C Communication,File Download,11031,0.563093415007657,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Merlin C&C Communication,Ingress Tool Transfer,1607,0.08203164880040838,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Merlin C&C Communication,Merlin C&C Communication,1380,0.07044410413476264,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Merlin C&C Communication,Merlin ICMP Flooding,3,0.00015313935681470137,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Merlin C&C Communication,Merlin TCP Flooding,343,0.017508933129147523,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Merlin C&C Communication,Merlin UDP Flooding,133,0.006789178152118428,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Merlin C&C Communication,Mirai C&C Communication,1,5.104645227156713e-05,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Merlin C&C Communication,Mirai GRE Flooding,193,0.009851965288412456,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Merlin C&C Communication,Mirai TCP Flooding,2387,0.12184788157223073,True,reused_development_diagnostic_not_fresh_validation
B0_frozen512_two_medoid,dev_future_attack_query_exact,Merlin C&C Communication,Mirai UDP Flooding,2512,0.12822868810617663,True,reused_development_diagnostic_not_fresh_validation
