variant,role,rows,nearest_core_rate,nearest_core_plus_near_rate,nearest_out_of_region_rate,evidence_status
B0_frozen512_two_medoid,ood_benign_stress,230000,0.00728695652173913,0.04113913043478261,0.9430521739130435,reused_development_diagnostic_not_fresh_validation
E64_nested_source_time_balanced,ood_benign_stress,230000,0.008747826086956522,0.04548695652173913,0.9401652173913043,reused_development_diagnostic_not_fresh_validation
