sample_id,global_candidate_id,max_abs_feature_delta,pass
support_000154,cand_00039001,0.0,True
support_000155,cand_00039035,0.0,True
support_000156,cand_00002400,0.0,True
support_000157,cand_00002399,0.0,True
support_000158,cand_00002394,0.0,True
support_000159,cand_00002409,0.0,True
support_000160,cand_00002458,0.0,True
support_000161,cand_00039000,0.0,True
support_000162,cand_00043960,0.0,True
support_000163,cand_00002422,0.0,True
support_000164,cand_00039040,0.0,True
support_000165,cand_00039228,0.0,True
support_000166,cand_00039014,0.0,True
support_000167,cand_00038997,0.0,True
support_000168,cand_00039002,0.0,True
support_000169,cand_00002398,0.0,True
support_000170,cand_00039830,0.0,True
support_000171,cand_00002396,0.0,True
support_000172,cand_00038994,0.0,True
support_000173,cand_00002920,0.0,True
support_000174,cand_00002417,0.0,True
support_000175,cand_00002405,0.0,True
support_000176,cand_00007391,0.0,True
support_000177,cand_00002401,0.0,True
support_000178,cand_00002445,0.0,True
support_000179,cand_00039101,0.0,True
support_000180,cand_00039739,0.0,True
support_000181,cand_00039073,0.0,True
support_000182,cand_00003872,0.0,True
support_000183,cand_00002578,0.0,True
support_000184,cand_00039017,0.0,True
support_000185,cand_00040873,0.0,True
support_000186,cand_00039006,0.0,True
support_000187,cand_00002402,0.0,True
support_000188,cand_00002414,0.0,True
support_000189,cand_00039450,0.0,True
support_000190,cand_00039010,0.0,True
support_000191,cand_00039023,0.0,True
support_000192,cand_00002403,0.0,True
support_000193,cand_00038996,0.0,True
support_000194,cand_00002428,0.0,True
support_000195,cand_00039003,0.0,True
support_000196,cand_00002411,0.0,True
support_000197,cand_00002480,0.0,True
support_000198,cand_00043982,0.0,True
support_000199,cand_00004790,0.0,True
support_000200,cand_00002633,0.0,True
support_000201,cand_00003106,0.0,True
support_000202,cand_00005978,0.0,True
support_000203,cand_00003444,0.0,True
support_000204,cand_00039009,0.0,True
support_000205,cand_00002406,0.0,True
support_000206,cand_00002769,0.0,True
support_000207,cand_00002430,0.0,True
support_000208,cand_00039150,0.0,True
support_000209,cand_00040336,0.0,True
support_000210,cand_00039065,0.0,True
support_000211,cand_00039429,0.0,True
support_000212,cand_00039123,0.0,True
support_000213,cand_00042417,0.0,True
support_000214,cand_00039050,0.0,True
support_000215,cand_00002513,0.0,True
support_000216,cand_00039025,0.0,True
support_000217,cand_00039011,0.0,True
support_000218,cand_00040300,0.0,True
support_000219,cand_00038999,0.0,True
support_000220,cand_00044533,0.0,True
support_000221,cand_00043992,0.0,True
support_000222,cand_00007394,0.0,True
support_000223,cand_00043996,0.0,True
support_000224,cand_00007393,0.0,True
support_000225,cand_00007399,0.0,True
support_000226,cand_00043993,0.0,True
support_000227,cand_00044012,0.0,True
support_000228,cand_00007456,0.0,True
support_000229,cand_00008641,0.0,True
support_000230,cand_00043994,0.0,True
support_000231,cand_00007396,0.0,True
support_000232,cand_00044106,0.0,True
support_000233,cand_00044000,0.0,True
support_000234,cand_00007406,0.0,True
support_000235,cand_00007757,0.0,True
support_000236,cand_00007395,0.0,True
support_000237,cand_00045241,0.0,True
support_000238,cand_00044224,0.0,True
support_000239,cand_00044035,0.0,True
support_000240,cand_00043995,0.0,True
support_000241,cand_00007397,0.0,True
support_000242,cand_00044004,0.0,True
support_000243,cand_00043998,0.0,True
support_000244,cand_00007417,0.0,True
support_000245,cand_00008098,0.0,True
support_000246,cand_00007564,0.0,True
support_000247,cand_00007401,0.0,True
support_000248,cand_00007398,0.0,True
support_000249,cand_00044388,0.0,True
support_000250,cand_00044847,0.0,True
support_000251,cand_00043997,0.0,True
support_000252,cand_00044057,0.0,True
support_000253,cand_00044021,0.0,True
support_000254,cand_00044160,0.0,True
support_000255,cand_00007403,0.0,True
support_000256,cand_00044002,0.0,True
support_000257,cand_00043999,0.0,True
support_000258,cand_00044007,0.0,True
support_000259,cand_00007410,0.0,True
support_000260,cand_00045491,0.0,True
support_000261,cand_00045248,0.0,True
support_000262,cand_00045399,0.0,True
support_000263,cand_00045246,0.0,True
support_000264,cand_00045398,0.0,True
support_000265,cand_00045250,0.0,True
support_000266,cand_00045245,0.0,True
support_000267,cand_00045402,0.0,True
support_000268,cand_00045388,0.0,True
support_000269,cand_00045252,0.0,True
support_000270,cand_00045247,0.0,True
support_000271,cand_00045387,0.0,True
support_000272,cand_00049088,0.0,True
support_000273,cand_00046179,0.0,True
support_000274,cand_00045492,0.0,True
support_000275,cand_00046180,0.0,True
support_000276,cand_00045493,0.0,True
support_000277,cand_00008645,0.0,True
support_000278,cand_00008643,0.0,True
support_000279,cand_00045499,0.0,True
support_000280,cand_00045549,0.0,True
support_000281,cand_00008673,0.0,True
support_000282,cand_00008650,0.0,True
support_000283,cand_00045495,0.0,True
support_000284,cand_00045723,0.0,True
support_000285,cand_00008699,0.0,True
support_000286,cand_00008644,0.0,True
support_000287,cand_00045508,0.0,True
support_000288,cand_00008664,0.0,True
support_000289,cand_00045494,0.0,True
support_000290,cand_00008647,0.0,True
support_000291,cand_00010072,0.0,True
support_000292,cand_00046177,0.0,True
support_000293,cand_00016635,0.0,True
support_000294,cand_00008694,0.0,True
support_000295,cand_00046181,0.0,True
support_000296,cand_00045605,0.0,True
support_000297,cand_00045496,0.0,True
support_000298,cand_00045521,0.0,True
support_000299,cand_00045502,0.0,True
support_000300,cand_00009093,0.0,True
support_000301,cand_00053491,0.0,True
support_000302,cand_00008654,0.0,True
support_000303,cand_00008646,0.0,True
support_000304,cand_00045497,0.0,True
support_000305,cand_00008890,0.0,True
support_000306,cand_00008680,0.0,True
support_000307,cand_00045868,0.0,True
support_000308,cand_00012593,0.0,True
support_000309,cand_00008669,0.0,True
support_000310,cand_00008648,0.0,True
support_000311,cand_00046998,0.0,True
support_000312,cand_00045652,0.0,True
support_000313,cand_00045572,0.0,True
support_000314,cand_00008693,0.0,True
support_000315,cand_00045533,0.0,True
support_000316,cand_00045513,0.0,True
support_000317,cand_00045498,0.0,True
support_000318,cand_00051209,0.0,True
support_000319,cand_00009092,0.0,True
support_000320,cand_00045504,0.0,True
support_000321,cand_00008658,0.0,True
support_000322,cand_00045500,0.0,True
support_000323,cand_00008684,0.0,True
support_000324,cand_00008652,0.0,True
support_000325,cand_00008788,0.0,True
support_000326,cand_00008649,0.0,True
support_000327,cand_00008981,0.0,True
support_000328,cand_00008678,0.0,True
support_000329,cand_00011187,0.0,True
support_000330,cand_00009034,0.0,True
support_000331,cand_00009203,0.0,True
support_000332,cand_00045784,0.0,True
support_000333,cand_00045990,0.0,True
support_000334,cand_00014433,0.0,True
support_000335,cand_00008676,0.0,True
support_000336,cand_00008717,0.0,True
support_000337,cand_00047893,0.0,True
support_000338,cand_00046476,0.0,True
support_000339,cand_00045587,0.0,True
support_000340,cand_00045626,0.0,True
support_000341,cand_00045684,0.0,True
support_000342,cand_00009054,0.0,True
support_000343,cand_00045501,0.0,True
support_000344,cand_00045506,0.0,True
support_000345,cand_00008724,0.0,True
support_000346,cand_00008682,0.0,True
support_000347,cand_00008697,0.0,True
support_000348,cand_00045560,0.0,True
support_000349,cand_00045526,0.0,True
support_000350,cand_00045540,0.0,True
support_000351,cand_00045517,0.0,True
support_000352,cand_00021046,0.0,True
support_000353,cand_00061491,0.0,True
support_000354,cand_00016656,0.0,True
support_000355,cand_00053492,0.0,True
support_000356,cand_00054527,0.0,True
support_000357,cand_00053493,0.0,True
support_000358,cand_00016661,0.0,True
support_000359,cand_00016646,0.0,True
support_000360,cand_00053500,0.0,True
support_000361,cand_00016643,0.0,True
support_000362,cand_00054233,0.0,True
support_000363,cand_00016657,0.0,True
support_000364,cand_00054555,0.0,True
support_000365,cand_00054547,0.0,True
support_000366,cand_00053609,0.0,True
support_000367,cand_00016644,0.0,True
support_000368,cand_00016652,0.0,True
support_000369,cand_00053495,0.0,True
support_000370,cand_00016658,0.0,True
support_000371,cand_00016667,0.0,True
support_000372,cand_00016722,0.0,True
support_000373,cand_00016662,0.0,True
support_000374,cand_00016659,0.0,True
support_000375,cand_00016677,0.0,True
support_000376,cand_00053516,0.0,True
support_000377,cand_00054017,0.0,True
support_000378,cand_00023504,0.0,True
support_000379,cand_00061218,0.0,True
support_000380,cand_00017988,0.0,True
support_000381,cand_00054541,0.0,True
support_000382,cand_00016648,0.0,True
support_000383,cand_00055013,0.0,True
support_000384,cand_00016743,0.0,True
support_000385,cand_00016663,0.0,True
support_000386,cand_00016693,0.0,True
support_000387,cand_00054566,0.0,True
support_000388,cand_00024536,0.0,True
support_000389,cand_00055063,0.0,True
support_000390,cand_00016645,0.0,True
support_000391,cand_00053494,0.0,True
support_000392,cand_00053497,0.0,True
support_000393,cand_00058482,0.0,True
support_000394,cand_00016872,0.0,True
support_000395,cand_00054548,0.0,True
support_000396,cand_00024315,0.0,True
support_000397,cand_00054551,0.0,True
support_000398,cand_00016847,0.0,True
support_000399,cand_00053546,0.0,True
support_000400,cand_00018012,0.0,True
support_000401,cand_00060302,0.0,True
support_000402,cand_00053751,0.0,True
support_000403,cand_00061069,0.0,True
support_000404,cand_00024150,0.0,True
support_000405,cand_00016660,0.0,True
support_000406,cand_00053505,0.0,True
support_000407,cand_00054821,0.0,True
support_000408,cand_00016756,0.0,True
support_000409,cand_00017283,0.0,True
support_000410,cand_00017479,0.0,True
support_000411,cand_00054969,0.0,True
support_000412,cand_00054549,0.0,True
support_000413,cand_00016668,0.0,True
support_000414,cand_00021116,0.0,True
support_000415,cand_00016650,0.0,True
support_000416,cand_00016647,0.0,True
support_000417,cand_00019506,0.0,True
support_000418,cand_00061168,0.0,True
support_000419,cand_00058251,0.0,True
support_000420,cand_00016655,0.0,True
support_000421,cand_00054073,0.0,True
support_000422,cand_00053496,0.0,True
support_000423,cand_00017565,0.0,True
support_000424,cand_00054559,0.0,True
support_000425,cand_00054446,0.0,True
support_000426,cand_00053664,0.0,True
support_000427,cand_00019927,0.0,True
support_000428,cand_00016837,0.0,True
support_000429,cand_00053675,0.0,True
support_000430,cand_00020098,0.0,True
support_000431,cand_00053564,0.0,True
support_000432,cand_00065118,0.0,True
support_000433,cand_00024665,0.0,True
support_000434,cand_00024644,0.0,True
support_000435,cand_00024645,0.0,True
support_000436,cand_00024667,0.0,True
support_000437,cand_00024647,0.0,True
support_000438,cand_00061492,0.0,True
support_000439,cand_00061630,0.0,True
support_000440,cand_00024652,0.0,True
support_000441,cand_00024666,0.0,True
support_000442,cand_00024669,0.0,True
support_000443,cand_00061522,0.0,True
support_000444,cand_00024699,0.0,True
support_000445,cand_00062014,0.0,True
support_000446,cand_00024646,0.0,True
support_000447,cand_00032642,0.0,True
support_000448,cand_00069491,0.0,True
support_000449,cand_00024649,0.0,True
support_000450,cand_00062780,0.0,True
support_000451,cand_00061559,0.0,True
support_000452,cand_00061503,0.0,True
support_000453,cand_00061755,0.0,True
support_000454,cand_00028101,0.0,True
support_000455,cand_00024657,0.0,True
support_000456,cand_00024643,0.0,True
support_000457,cand_00024668,0.0,True
support_000458,cand_00024648,0.0,True
support_000459,cand_00067240,0.0,True
support_000460,cand_00024650,0.0,True
support_000461,cand_00063730,0.0,True
support_000462,cand_00062284,0.0,True
support_000463,cand_00061589,0.0,True
support_000464,cand_00061511,0.0,True
support_000465,cand_00024663,0.0,True
support_000466,cand_00061537,0.0,True
support_000467,cand_00061683,0.0,True
support_000468,cand_00061858,0.0,True
support_000469,cand_00061497,0.0,True
support_000470,cand_00026233,0.0,True
support_000471,cand_00030250,0.0,True
support_000472,cand_00024654,0.0,True
support_000473,cand_00066144,0.0,True
support_000474,cand_00068353,0.0,True
support_000475,cand_00024651,0.0,True
support_000476,cand_00024684,0.0,True
support_000477,cand_00063188,0.0,True
support_000478,cand_00064386,0.0,True
support_000479,cand_00061547,0.0,True
support_000480,cand_00061608,0.0,True
support_000481,cand_00062492,0.0,True
support_000482,cand_00062130,0.0,True
support_000483,cand_00025321,0.0,True
support_000484,cand_00061573,0.0,True
support_000485,cand_00061516,0.0,True
support_000486,cand_00061529,0.0,True
support_000487,cand_00061716,0.0,True
support_000488,cand_00061927,0.0,True
support_000489,cand_00061654,0.0,True
support_000490,cand_00061802,0.0,True
support_000491,cand_00027135,0.0,True
support_000492,cand_00031384,0.0,True
support_000493,cand_00029148,0.0,True
support_000494,cand_00061507,0.0,True
support_000495,cand_00061500,0.0,True
support_000496,cand_00061494,0.0,True
support_000497,cand_00024653,0.0,True
support_000498,cand_00024659,0.0,True
support_000499,cand_00024745,0.0,True
support_000500,cand_00024655,0.0,True
support_000501,cand_00066694,0.0,True
support_000502,cand_00065623,0.0,True
support_000503,cand_00068919,0.0,True
support_000504,cand_00067793,0.0,True
support_000505,cand_00024690,0.0,True
support_000506,cand_00063443,0.0,True
support_000507,cand_00062968,0.0,True
support_000508,cand_00064046,0.0,True
support_000509,cand_00064744,0.0,True
support_000510,cand_00061505,0.0,True
support_000511,cand_00024670,0.0,True
