exact_attack_label,baseline_core_plus_near_rate,selected_core_plus_near_rate,delta,descriptive_caveat_over_0_01,evidence_status
Mirai GRE Flooding,0.0,0.022069565217391306,0.022069565217391306,True,reused_development_diagnostic_not_preregistered_selection_gate
Mirai UDP Flooding,8.695652173913043e-06,8.695652173913043e-06,0.0,False,reused_development_diagnostic_not_preregistered_selection_gate
