strategy,variant,seed,score_role,n,min,p50,p90,p95,p99,max,mean,std
reset_at_split_boundary,old_formal_fit32,42,id_calib,600,0.0014663845948532988,0.003333788360833054,0.01588128349796499,0.017676350322381643,0.030694464742008026,0.0407382151201405,0.005965278682135029,0.006150471003684638
reset_at_split_boundary,old_formal_fit32,42,ood_val,1500,0.0014763795572710888,0.009094928469402271,0.021058427925796232,0.030176437426010734,0.053658319253798964,0.07642332651233849,0.012568599205412728,0.01056074765847543
reset_at_split_boundary,old_formal_fit32,42,final_ood_eval,3000,0.00110866508835635,0.006078309224500615,0.01310223730927139,0.014375405068972972,0.029479847050874655,0.32646590780006124,0.007636985424904312,0.013389990650225668
reset_at_split_boundary,old_formal_fit32,42,attack_eval,2250,0.0022301358019084145,0.4355497060905604,0.850995332905945,0.869033338303666,0.972895411561508,0.972895411561508,0.46002000819550054,0.31002058439000457
reset_at_split_boundary,old_formal_fit32,42,support_train,32,0.05991502855339784,0.8327075136880234,0.972895411561508,0.972895411561508,0.972895411561508,0.972895411561508,0.703967838373671,0.30110203216766007
reset_at_split_boundary,old_formal_fit32,42,support_val,0,nan,nan,nan,nan,nan,nan,nan,nan
reset_at_split_boundary,old_formal_fit32,42,new_heldout_attack_eval_probe,6000,0.002673962159854592,0.018684022896862156,0.4544483530428707,0.5790164989924006,0.869033338303666,0.869033338303666,0.10566646101984253,0.20413666398010874
reset_at_split_boundary,old_selection_style_24_8,42,id_calib,600,0.0013898189370659777,0.0027058006454827514,0.01312932230989519,0.01625740443395229,0.03492053752904691,0.07379054043442634,0.005657884939929282,0.007078418069681004
reset_at_split_boundary,old_selection_style_24_8,42,ood_val,1500,0.0009218765792991412,0.012214225488194628,0.018111457689241266,0.0216676767341039,0.024785833410969814,0.04895108039533597,0.011937409216823897,0.005846167769873529
reset_at_split_boundary,old_selection_style_24_8,42,final_ood_eval,3000,0.0008620516519277736,0.0057247863442282205,0.017069033367900277,0.019869553844283145,0.04839203866563875,0.39197408155884106,0.008519453483687201,0.016853612296633548
reset_at_split_boundary,old_selection_style_24_8,42,attack_eval,2250,0.002326577347826679,0.3186810919899529,0.6627676730643112,0.7591450136327299,0.934397177290495,0.9667189065298033,0.36430044049662325,0.2254362468985988
reset_at_split_boundary,old_selection_style_24_8,42,support_train,24,0.07138221138721264,0.7315699649454316,0.9537784188586286,0.9629682150080473,0.9662292450882171,0.9667189065298033,0.652196671127285,0.29666083130049886
reset_at_split_boundary,old_selection_style_24_8,42,support_val,8,0.13728405365887034,0.6828051528467991,0.9123601643277005,0.9233786708090977,0.9321934759942155,0.934397177290495,0.6683611307356561,0.2504237344769793
reset_at_split_boundary,old_selection_style_24_8,42,new_heldout_attack_eval_probe,6000,0.0016721908073241338,0.007413422078044712,0.3070976229149905,0.5223085102268417,0.6627676730643112,0.6627676730643112,0.07449668283672256,0.15947577061799872
