evidence_space,role,exact_attack_label,rows,direct_core_rate,direct_core_plus_near_rate,read_only
S1_bounded_heavytail_global,ood_benign_stress,Merlin C&C Communication,230000,0.8677739130434783,0.9960826086956521,True
S1_bounded_heavytail_global,ood_benign_stress,Merlin ICMP Flooding,230000,0.23877391304347825,0.6858695652173913,True
S1_bounded_heavytail_global,ood_benign_stress,Merlin TCP Flooding,230000,0.0024,0.02945217391304348,True
S1_bounded_heavytail_global,ood_benign_stress,Merlin UDP Flooding,230000,0.0008043478260869565,0.0056217391304347825,True
S1_bounded_heavytail_global,ood_benign_stress,Mirai C&C Communication,230000,0.8871260869565217,0.8877739130434783,True
S1_bounded_heavytail_global,ood_benign_stress,Mirai GRE Flooding,230000,0.001391304347826087,1.0,True
S1_bounded_heavytail_global,ood_benign_stress,Mirai TCP Flooding,230000,0.15656521739130436,1.0,True
S1_bounded_heavytail_global,ood_benign_stress,Mirai UDP Flooding,230000,0.9995347826086957,1.0,True
S2_raw_family_balanced,ood_benign_stress,File Download,230000,0.4888608695652174,0.8699869565217392,True
S2_raw_family_balanced,ood_benign_stress,Ingress Tool Transfer,230000,0.00833913043478261,0.008847826086956521,True
S2_raw_family_balanced,ood_benign_stress,Merlin C&C Communication,230000,0.010482608695652174,0.9987173913043478,True
S2_raw_family_balanced,ood_benign_stress,Merlin ICMP Flooding,230000,0.0073391304347826085,0.007678260869565218,True
S2_raw_family_balanced,ood_benign_stress,Merlin TCP Flooding,230000,0.008547826086956522,0.008756521739130435,True
S2_raw_family_balanced,ood_benign_stress,Merlin UDP Flooding,230000,0.007208695652173913,0.007295652173913043,True
S2_raw_family_balanced,ood_benign_stress,Mirai C&C Communication,230000,0.9932826086956522,0.9967478260869566,True
S2_raw_family_balanced,ood_benign_stress,Mirai GRE Flooding,230000,0.00023478260869565218,0.003930434782608696,True
S2_raw_family_balanced,ood_benign_stress,Mirai TCP Flooding,230000,0.008847826086956521,0.008847826086956521,True
S2_raw_family_balanced,ood_benign_stress,Mirai UDP Flooding,230000,0.0010739130434782608,0.004639130434782608,True
S3_bounded_heavytail_family_balanced,ood_benign_stress,File Download,230000,0.0022391304347826086,0.7065391304347826,True
S3_bounded_heavytail_family_balanced,ood_benign_stress,Ingress Tool Transfer,230000,0.9879391304347827,0.9890869565217392,True
S3_bounded_heavytail_family_balanced,ood_benign_stress,Merlin C&C Communication,230000,0.05038695652173913,0.9642,True
S3_bounded_heavytail_family_balanced,ood_benign_stress,Merlin ICMP Flooding,230000,0.4709608695652174,0.5632347826086956,True
S3_bounded_heavytail_family_balanced,ood_benign_stress,Merlin TCP Flooding,230000,0.005969565217391304,0.009330434782608695,True
S3_bounded_heavytail_family_balanced,ood_benign_stress,Merlin UDP Flooding,230000,0.780395652173913,0.8214304347826087,True
S3_bounded_heavytail_family_balanced,ood_benign_stress,Mirai C&C Communication,230000,0.9128521739130435,0.9487130434782609,True
S3_bounded_heavytail_family_balanced,ood_benign_stress,Mirai GRE Flooding,230000,0.16519130434782608,0.1924695652173913,True
S3_bounded_heavytail_family_balanced,ood_benign_stress,Mirai TCP Flooding,230000,0.9678565217391304,0.9703913043478261,True
S3_bounded_heavytail_family_balanced,ood_benign_stress,Mirai UDP Flooding,230000,0.0008217391304347826,0.008621739130434783,True
