evidence_space,role,rows,nearest_core_rate,nearest_core_plus_near_rate,nearest_out_of_region_rate
S0_raw_robust_global,ood_benign_val,24000,0.8507083333333333,0.873125,0.10191666666666667
S1_bounded_heavytail_global,ood_benign_val,24000,0.9882916666666667,0.9962916666666667,0.0028333333333333335
S2_raw_family_balanced,ood_benign_val,24000,0.7930833333333334,0.8203333333333334,0.17808333333333334
S3_bounded_heavytail_family_balanced,ood_benign_val,24000,0.7350833333333333,0.7557916666666666,0.19033333333333333
S0_raw_robust_global,ood_benign_stress,230000,0.9566608695652173,0.9655956521739131,0.027904347826086955
S1_bounded_heavytail_global,ood_benign_stress,230000,0.9669521739130434,0.969391304347826,0.0006130434782608696
S2_raw_family_balanced,ood_benign_stress,230000,0.9982347826086957,0.9990478260869565,0.0009130434782608696
S3_bounded_heavytail_family_balanced,ood_benign_stress,230000,0.00858695652173913,0.04754347826086956,0.6544478260869565
