candidate,held_value,rows,sources,metric,hard_rate,c1_hard_rate,delta_vs_c1_pp,delta_ci_low_pp,delta_ci_high_pp,ci_cluster_unit,ci_clusters,review_rate,seed
M0-C1,iotsim-ip-camera-street,3000,1,benign_ood_hard_rate,1.0,1.0,0.0,0.0,0.0,episode,22,0.0,27
M1-GlobalNormalConformal,iotsim-ip-camera-street,3000,1,benign_ood_hard_rate,0.05466666666666667,1.0,-94.53333333333333,-96.39777708372084,-92.27058029689609,episode,22,0.0,27
M2-CappedSourceConformal,iotsim-ip-camera-street,3000,1,benign_ood_hard_rate,0.021333333333333333,1.0,-97.86666666666667,-100.0,-92.61934471674972,episode,22,0.0,27
A1-UnboundedSourceConformal,iotsim-ip-camera-street,3000,1,benign_ood_hard_rate,0.021333333333333333,1.0,-97.86666666666667,-100.0,-92.61934471674972,episode,22,0.0,27
A2-LocalRobustDeviation,iotsim-ip-camera-street,3000,1,benign_ood_hard_rate,0.021333333333333333,1.0,-97.86666666666667,-100.0,-92.61934471674972,episode,22,0.0,27
M0-C1,iotsim-predictive-maintenance,9000,15,benign_ood_hard_rate,1.0,1.0,0.0,0.0,0.0,source,15,0.0,27
M1-GlobalNormalConformal,iotsim-predictive-maintenance,9000,15,benign_ood_hard_rate,0.5548888888888889,1.0,-44.51111111111111,-53.28472222222222,-33.14861111111111,source,15,0.0,27
M2-CappedSourceConformal,iotsim-predictive-maintenance,9000,15,benign_ood_hard_rate,0.10666666666666667,1.0,-89.33333333333333,-89.33333333333333,-89.33333333333333,source,15,0.0,27
A1-UnboundedSourceConformal,iotsim-predictive-maintenance,9000,15,benign_ood_hard_rate,0.10666666666666667,1.0,-89.33333333333333,-89.33333333333333,-89.33333333333333,source,15,0.0,27
A2-LocalRobustDeviation,iotsim-predictive-maintenance,9000,15,benign_ood_hard_rate,0.10666666666666667,1.0,-89.33333333333333,-89.33333333333333,-89.33333333333333,source,15,0.0,27
M0-C1,iotsim-stream-consumer,3000,1,benign_ood_hard_rate,1.0,1.0,0.0,0.0,0.0,episode,28,0.0,27
M1-GlobalNormalConformal,iotsim-stream-consumer,3000,1,benign_ood_hard_rate,0.269,1.0,-73.1,-78.89003560928643,-66.837422284002,episode,28,0.0,27
M2-CappedSourceConformal,iotsim-stream-consumer,3000,1,benign_ood_hard_rate,0.021333333333333333,1.0,-97.86666666666667,-100.0,-91.87194322795129,episode,28,0.0,27
A1-UnboundedSourceConformal,iotsim-stream-consumer,3000,1,benign_ood_hard_rate,0.021333333333333333,1.0,-97.86666666666667,-100.0,-91.87194322795129,episode,28,0.0,27
A2-LocalRobustDeviation,iotsim-stream-consumer,3000,1,benign_ood_hard_rate,0.021333333333333333,1.0,-97.86666666666667,-100.0,-91.87194322795129,episode,28,0.0,27
M0-C1,iotsim-hydraulic-system,3000,5,benign_ood_hard_rate,0.7236666666666667,0.7236666666666667,0.0,0.0,0.0,source,5,0.0,27
M1-GlobalNormalConformal,iotsim-hydraulic-system,3000,5,benign_ood_hard_rate,0.42833333333333334,0.7236666666666667,-29.533333333333335,-32.414480239123215,-27.237735206657003,source,5,0.0,27
M2-CappedSourceConformal,iotsim-hydraulic-system,3000,5,benign_ood_hard_rate,0.08166666666666667,0.7236666666666667,-64.2,-66.53359946773121,-61.857047428189716,source,5,0.0,27
A1-UnboundedSourceConformal,iotsim-hydraulic-system,3000,5,benign_ood_hard_rate,0.08166666666666667,0.7236666666666667,-64.2,-66.53359946773121,-61.857047428189716,source,5,0.0,27
A2-LocalRobustDeviation,iotsim-hydraulic-system,3000,5,benign_ood_hard_rate,0.08166666666666667,0.7236666666666667,-64.2,-66.53359946773121,-61.857047428189716,source,5,0.0,27
